* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 74270615
* Experiment Comments = template for CSF slinical run
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1A\2011-10-26CSFMEC029A.eds
* Experiment Name = 2011-10-26CSFMEC029A
* Experiment Run End Time = 2011-10-26 19:21:51 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = AW
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-let-7a-4373169	37.165	0.200	3	21	N
2	hsa-let-7c-4373167	25.554	0.200	3	20	N
3	hsa-let-7d-4395394	28.076	0.200	3	22	N
4	hsa-let-7e-4395517	26.706	0.200	3	20	N
5	hsa-let-7f-4373164	Undetermined	0.200	3	39	N
6	hsa-let-7g-4395393	31.688	0.200	3	23	N
7	hsa-miR-1-4395333	34.421	0.200	3	27	N
8	hsa-miR-9-4373285	30.426	0.200	3	22	N
9	hsa-miR-10a-4373153	25.308	0.200	3	20	N
10	hsa-miR-10b-4395329	29.724	0.200	3	21	N
11	MammU6-4395470	28.916	0.200	3	23	N
12	MammU6-4395470	28.795	0.200	3	23	N
13	hsa-miR-15a-4373123	Undetermined	0.200	3	39	N
14	hsa-miR-15b-4373122	30.005	0.200	3	22	N
15	hsa-miR-16-4373121	27.927	0.200	3	22	N
16	hsa-miR-17-4395419	25.357	0.200	3	18	N
17	hsa-miR-18a-4395533	35.010	0.200	3	24	N
18	hsa-miR-18b-4395328	Undetermined	0.200	3	39	N
19	hsa-miR-19a-4373099	33.109	0.200	3	26	N
20	hsa-miR-19b-4373098	25.190	0.200	3	19	N
21	hsa-miR-20a-4373286	23.773	0.200	3	18	N
22	hsa-miR-20b-4373263	28.453	0.200	3	22	N
23	hsa-miR-21-4373090	26.253	0.200	3	20	N
24	hsa-miR-22-4373079	Undetermined	0.200	3	39	N
25	hsa-miR-23a-4373074	Undetermined	0.200	3	27	N
26	hsa-miR-23b-4373073	30.383	0.200	3	22	N
27	hsa-miR-24-4373072	23.216	0.200	3	18	N
28	hsa-miR-25-4373071	25.526	0.200	3	20	N
29	hsa-miR-26a-4395166	25.688	0.200	3	20	N
30	hsa-miR-26b-4395167	27.318	0.200	3	22	N
31	hsa-miR-27a-4373287	25.986	0.200	3	21	N
32	hsa-miR-27b-4373068	25.796	0.200	3	20	N
33	hsa-miR-28-3p-4395557	25.745	0.200	3	21	N
34	hsa-miR-28-5p-4373067	26.971	0.200	3	22	N
35	MammU6-4395470	28.821	0.200	3	23	N
36	MammU6-4395470	28.974	0.200	3	23	N
37	hsa-miR-29a-4395223	27.218	0.200	3	21	N
38	hsa-miR-29b-4373288	28.831	0.200	3	24	N
39	hsa-miR-29c-4395171	28.951	0.200	3	21	N
40	hsa-miR-30b-4373290	21.049	0.200	3	16	N
41	hsa-miR-30c-4373060	20.895	0.200	3	16	N
42	hsa-miR-31-4395390	26.888	0.200	3	21	N
43	hsa-miR-32-4395220	37.732	0.200	3	29	N
44	hsa-miR-33b-4395196	Undetermined	0.200	3	39	N
45	hsa-miR-34a-4395168	25.945	0.200	3	20	N
46	hsa-miR-34c-5p-4373036	28.750	0.200	3	23	N
47	hsa-miR-92a-4395169	23.641	0.200	3	18	N
48	hsa-miR-93-4373302	30.969	0.200	3	23	N
49	hsa-miR-95-4373011	30.672	0.200	3	23	N
50	hsa-miR-96-4373372	Undetermined	0.200	3	39	N
51	hsa-miR-98-4373009	Undetermined	0.200	3	39	N
52	hsa-miR-99a-4373008	25.477	0.200	3	20	N
53	hsa-miR-99b-4373007	25.681	0.200	3	19	N
54	hsa-miR-100-4373160	25.406	0.200	3	19	N
55	hsa-miR-101-4395364	37.139	0.200	3	28	N
56	hsa-miR-103-4373158	32.608	0.200	3	24	N
57	hsa-miR-105-4395278	Undetermined	0.200	3	28	N
58	hsa-miR-106a-4395280	25.224	0.200	3	17	N
59	RNU44-4373384	Undetermined	0.200	3	39	N
60	hsa-miR-106b-4373155	25.681	0.200	3	17	N
61	hsa-miR-107-4373154	29.934	0.200	3	23	N
62	hsa-miR-122-4395356	36.219	0.200	3	25	N
63	hsa-miR-124-4373295	Undetermined	0.200	3	39	N
64	hsa-miR-125a-3p-4395310	38.130	0.200	3	27	N
65	hsa-miR-125a-5p-4395309	31.131	0.200	3	25	N
66	hsa-miR-125b-4373148	24.225	0.200	3	19	N
67	hsa-miR-126-4395339	28.298	0.200	3	22	N
68	hsa-miR-127-3p-4373147	27.144	0.200	3	21	N
69	hsa-miR-127-5p-4395340	Undetermined	0.200	3	39	N
70	hsa-miR-128-4395327	28.966	0.200	3	23	N
71	hsa-miR-129-3p-4373297	36.599	0.200	3	25	N
72	hsa-miR-129-5p-4373171	Undetermined	0.200	3	25	N
73	hsa-miR-130a-4373145	31.997	0.200	3	24	N
74	hsa-miR-130b-4373144	29.021	0.200	3	23	N
75	hsa-miR-132-4373143	26.400	0.200	3	19	N
76	hsa-miR-133a-4395357	26.027	0.200	3	20	N
77	hsa-miR-133b-4395358	30.330	0.200	3	23	N
78	hsa-miR-134-4373299	37.960	0.200	3	26	N
79	hsa-miR-135a-4373140	28.707	0.200	3	23	N
80	hsa-miR-135b-4395372	30.253	0.200	3	24	N
81	hsa-miR-136-4373173	Undetermined	0.200	3	31	N
82	hsa-miR-137-4373301	30.655	0.200	3	23	N
83	hsa-miR-138-4395395	28.890	0.200	3	23	N
84	hsa-miR-139-3p-4395424	29.046	0.200	3	22	N
85	hsa-miR-139-5p-4395400	30.410	0.200	3	22	N
86	hsa-miR-140-3p-4395345	Undetermined	0.200	3	28	N
87	hsa-miR-140-5p-4373374	27.629	0.200	3	22	N
88	hsa-miR-141-4373137	27.153	0.200	3	22	N
89	hsa-miR-142-3p-4373136	27.735	0.200	3	22	N
90	hsa-miR-142-5p-4395359	39.392	0.200	3	29	N
