* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 68820219
* Experiment Comments = CSF set 1 B
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1B\2011-10-31CSFMEC197B.eds
* Experiment Name = 2011-10-31CSFMEC197B
* Experiment Run End Time = 2011-10-31 17:27:17 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = AW
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-miR-30a*-4373062	24.650	0.200	3	18	N
2	hsa-miR-30e*-4373057	23.742	0.200	3	17	N
3	hsa-miR-34b*-4373037	29.283	0.200	3	22	N
4	hsa-miR-126*-4373269	Undetermined	0.200	3	30	N
5	hsa-miR-154*-4378065	Undetermined	0.200	3	39	Y
6	hsa-miR-182*-4378066	30.742	0.200	3	23	N
7	hsa-miR-181a*-4373086	30.092	0.200	3	23	N
8	hsa-miR-302c*-4373277	31.887	0.200	3	24	N
9	hsa-miR-373*-4373279	Undetermined	0.200	3	39	Y
10	hsa-miR-378*-4373024	27.765	0.200	3	17	N
11	MammU6-4395470	26.042	0.200	3	19	N
12	MammU6-4395470	25.923	0.200	3	19	N
13	hsa-miR-380*-4373021	25.688	0.200	3	19	N
14	hsa-miR-200a*-4373273	31.455	0.200	3	23	N
15	hsa-miR-432*-4378076	39.379	0.200	3	26	N
16	hsa-miR-493*-4373218	Undetermined	0.200	3	39	Y
17	hsa-miR-500*-4373225	37.042	0.200	3	26	N
18	hsa-miR-488*-4373213	26.096	0.200	3	18	N
19	hsa-miR-517*-4378078	Undetermined	0.200	3	39	N
20	hsa-miR-518c*-4378082	Undetermined	0.200	3	39	N
21	hsa-miR-519e*-4378084	Undetermined	0.200	3	39	Y
22	hsa-let-7d*-4378108	Undetermined	0.200	3	39	Y
