DirectoryCombine.py

Well	Target_Name	1008	1018	1020	1022	1026	1047	1059	1076	1094	1105	1118	1134	1137	1150	2030	2033	2049	2070	2072	2096	2104	2114	2128	3004	3005	3015	3027	3029	3034	3044	3046	3056	3066	3081	3090	3135

1	hsa-mir-495-3pA	23.194	25.69	25.429	21.519	26.726	26.266	25.974	26.527	26.622	25.257	24.262	26.678	25.171	23.424	21.448	27.03	27.65	22.887	23.905	28.078	24.512	23.182	23.485	28.305	27.984	25.014	25.715	22.887	26.681	26.002	27.138	24.64	29.196	26.224	23.334	22.909
2	hsa-mir-let-7cA	18.48	22.749	20.789	21.089	Undetermined	24.427	23.931	21.824	21.868	21.9	18.46	20.289	19.155	17.095	20.602	22.983	24.859	21.8	23.984	25.194	22.442	22.35	23.834	23.219	24.156	23.529	24.614	21.8	24.4	25.069	22.518	24.271	26.081	25.519	23.185	21.383
3	hsa-mir-3141A	16.279	20.071	17.344	14.561	20.538	21.602	20.28	21.284	20.944	20.659	21.038	21.953	19.288	16.255	14.575	21.875	23.06	16.405	17.232	22.488	18.063	16.242	16.415	27.754	25.294	21.578	24.269	16.405	22.005	22.542	20.29	23.587	22.999	22.16	16.869	24.423
4	hsa-mir-184A	25.32	30.029	26.543	23.173	29.84	30.435	29.873	30.162	27.938	28.623	29.973	29.635	27.081	24.801	23.6	27.939	30.108	25.791	25.803	28.871	25.973	25.423	25.321	33.376	Undetermined	28.185	27.458	25.791	32.778	30.264	28.362	30.229	Undetermined	30.094	25.093	31.615
5	hsa-mir-532-5pA	21.053	25.755	21.866	20.805	26.692	26.597	26.339	24.688	25.173	25.064	21.235	24.511	21.585	20.785	20.779	24.151	26.409	22.326	23.424	24.344	22.855	21.775	22.775	28.062	27.208	25.489	25.713	22.326	26.45	25.8	23.909	26.97	28.118	26.873	22.997	23.442
6	hsa-mir-152A	15.237	19.868	17.26	18.606	22.107	21.23	21.245	20.803	18.815	18.364	18.521	17.647	15.044	14.465	17.027	20.828	25.282	20.141	22.193	23.926	18.975	18.476	20.952	26.704	25.201	23.381	23.361	20.141	25.357	24.788	24.993	23.409	26.094	25.038	22.545	21.915
7	hsa-mir-1231A	18.286	22.037	19.314	16.442	22.423	23.484	22.026	23.365	22.588	22.405	22.991	23.84	21.021	18.819	16.774	23.397	24.607	18.285	19.151	22.105	20.135	18.7	18.696	29.841	26.899	23.531	24.839	18.285	23.994	20.457	22.653	25.038	24.48	24.131	18.964	26.352
8	hsa-mir-3911A	18.12	20.92	18.608	17.293	20.953	22.38	22.049	20.96	22.297	21.528	21.882	22.282	21.039	18.724	17.077	22.562	21.651	18.478	18.894	23.548	20.536	17.819	19.068	26.728	24.313	22.568	25.383	18.478	20.617	21.686	21.048	23.144	22.059	21.587	18.937	26.429
9	hsa-mir-223-5pA	23.682	26.355	24.435	22.668	27.096	27.153	26.635	27.68	24.646	23.923	20.67	23.226	23.212	23.211	22.751	24.6	28.862	23.112	25.218	26.104	24.472	24.232	24.475	25.733	26.855	24.387	24.938	23.112	24.608	26.573	25.134	24.471	28.901	25.424	23.245	24.678
10	hsa-mir-1909-5pA	16.731	20.392	17.962	15.049	21.174	21.922	20.826	21.494	21.288	21.028	21.655	22.504	19.646	17.171	15.179	21.935	23.474	16.823	17.62	23.504	18.613	16.981	17.198	28.856	25.775	22.093	24.989	16.823	22.542	23.247	21.265	23.895	23.789	22.88	17.195	24.702
11	hsa-mir-4291A	18.762	22.304	19.222	16.873	22.95	23.615	22.342	23.283	22.989	22.535	19.641	23.356	20.077	18.868	17.104	22.803	24.571	18.683	19.577	24.332	20.53	18.966	19.135	29.463	24.568	23.176	23.52	18.683	23.719	24.083	22.726	24.201	25.009	24.148	19.174	21.869
12	hsa-mir-205-5pA	21.993	27.278	23.623	21.763	27.376	28.294	26.266	24.873	27.085	27.094	22.651	26.86	25.807	24.096	21.335	25.394	26.074	22.503	23.696	26.41	22.301	18.294	23.659	Undetermined	26.192	26.519	22.844	22.503	26.633	25.787	24.948	27.23	25.895	25.983	22.186	23.126
13	hsa-mir-3651A	21.834	26.152	23.158	20.617	26.848	26.562	26.354	26.411	25.811	25.435	21.295	24.491	24.304	22.448	20.602	23.994	27.038	22.255	23.08	26.263	23.991	22.131	22.328	33.535	28.072	25.144	26.098	22.255	24.701	25.371	23.942	26.174	27.604	25.683	20.59	27.723
14	hsa-mir-1587A	13.133	16.798	14.286	11.865	17.226	18.258	17.272	17.561	17.583	16.908	17.32	18.031	15.984	13.242	11.923	18.376	19.461	13.218	14.412	19.761	15.087	13.099	13.966	24.182	21.85	18.767	20.85	13.218	19.316	19.62	17.784	20.302	19.918	19.04	14.096	21.397
15	hsa-mir-372A	22.848	26.276	22.902	20.158	26.898	27.47	26.778	27.42	26.928	26.312	27.152	29.555	25.377	22.5	20.293	27.713	28.61	22.223	22.986	28.618	24.23	22.005	22.399	33.357	30.323	28.171	29.703	22.223	29.64	28.62	26.082	29.169	28.826	27.753	22.294	30.444
16	hsa-mir-1260aA	14.055	17.283	14.902	12.281	17.768	18.643	17.134	17.962	17.99	17.681	17.612	18.861	16.367	14.486	12.297	16.825	18.4	14.053	14.501	18.55	15.329	13.95	14.354	24.207	20.971	18.592	19.839	14.053	19.153	19.488	17.88	19.692	20.094	18.954	14.168	19.385
17	hsa-mir-19b-1-5pA	19.129	23.165	20.136	17.32	23.623	24.629	23.195	24.405	23.859	23.204	23.599	24.68	22.736	19.92	17.49	23.838	25.451	19.254	19.938	25.771	20.989	19.14	19.758	30.522	28.509	24.176	28.297	19.254	24.568	25.419	23.309	25.75	25.606	24.909	19.334	28.355
18	hsa-let-7a-3pA	17.201	22.431	18.371	21.735	25.283	22.148	22.939	22.251	21.104	20.725	19.42	19.612	17.406	18.221	20.093	21.835	26.483	22.495	24.137	24.896	20.953	20.797	22.164	26.331	25.263	24.298	24.952	22.495	25.566	26.701	24.36	23.98	27.872	25.314	23.12	22.83
19	hsa-mir-183-3pA	23.545	26.405	24.157	21.269	27.554	27.738	26.215	26.767	26.831	26.891	26.295	27.182	25.181	23.822	21.558	27.202	27.24	23.038	24.254	29.808	25.039	23.414	23.185	29.095	28.899	27.199	28.702	23.038	27.005	26.947	26.557	27.248	27.309	26.969	23.781	27.431
20	hsa-mir-1290A	18.881	20.008	19.773	17.752	18.329	21.089	20.474	22.213	20.815	18.981	22.123	21.213	18.033	16.658	19.063	23.149	23.243	17.524	21.309	23.969	22.572	21.149	19.917	27.0	26.497	25.314	29.404	17.524	26.255	26.434	24.528	26.257	26.236	25.291	23.935	26.461
21	hsa-mir-628-3pA	19.892	21.943	20.514	19.523	21.796	22.447	21.9	22.807	22.235	21.902	21.415	21.738	20.615	20.077	19.604	23.616	23.09	20.402	21.675	24.163	22.151	20.716	20.245	22.484	22.834	22.292	23.889	20.402	22.439	22.265	22.255	22.722	22.469	22.326	22.156	22.714
22	hsa-mir-92b-3pA	20.301	24.035	20.685	20.473	24.741	25.267	24.24	23.432	23.619	23.894	21.06	24.49	21.167	19.973	19.964	23.533	26.459	22.049	23.379	26.723	20.809	21.106	22.269	27.138	26.359	23.492	23.815	22.049	25.11	24.848	22.816	25.392	27.023	26.027	22.522	22.426
23	hsa-mir-7-2-3pA	23.093	23.944	22.823	20.958	23.304	23.766	23.333	23.659	24.094	23.589	24.163	24.086	23.646	23.004	20.918	25.656	24.136	21.837	23.271	21.709	22.327	22.256	21.981	23.72	23.755	24.506	23.949	21.837	24.799	24.226	24.805	23.603	24.713	24.863	23.471	25.3
24	hsa-mir-144-5pA	22.99	24.141	23.78	22.579	23.913	23.083	23.805	23.18	24.314	22.281	21.952	23.638	23.696	23.794	23.648	24.302	23.964	22.133	23.511	23.579	21.88	25.925	25.841	24.958	24.454	22.226	23.586	22.133	23.455	23.762	23.441	22.794	23.993	25.006	21.887	24.258
25	hsa-mir-3610A	12.511	16.752	16.754	15.243	18.199	18.818	18.758	18.703	17.217	16.926	18.974	18.731	15.512	16.22	12.737	19.64	21.582	13.832	17.288	19.741	16.185	13.583	18.801	25.842	22.368	21.039	21.049	13.832	19.681	18.236	19.672	22.53	20.88	19.438	18.577	22.898
26	hsa-mir-199b-5pA	23.517	29.915	25.408	23.597	29.558	32.97	29.082	26.513	27.398	26.579	19.742	26.511	26.435	25.552	23.766	23.154	28.3	23.648	26.216	25.632	24.286	22.392	25.899	36.425	24.923	23.259	24.462	23.648	22.497	23.895	23.368	27.677	25.742	25.432	22.194	23.151
27	hsa-mir-1286A	19.983	23.491	20.74	17.848	24.081	24.803	23.557	24.572	24.34	24.079	24.556	26.074	22.53	20.166	18.046	24.437	26.317	19.725	20.442	26.334	21.603	19.914	19.998	32.399	29.069	24.885	27.929	19.725	25.655	26.153	23.82	27.403	26.988	26.029	20.179	28.789
28	hsa-mir-497-5pA	16.095	21.65	19.393	19.292	22.693	23.951	24.104	22.828	21.957	20.625	19.911	22.653	18.228	17.182	18.223	23.593	26.472	21.008	22.2	25.832	20.217	17.067	21.9	31.152	26.831	26.205	24.735	21.008	26.061	26.919	25.101	28.451	28.421	26.465	22.175	23.554
29	hsa-mir-18b-5pA	22.943	26.404	23.982	21.16	27.228	28.088	26.784	27.61	27.109	26.364	23.871	27.895	25.388	23.369	21.369	26.805	29.126	22.893	23.974	28.528	24.643	23.222	23.27	34.285	31.428	27.356	27.488	22.893	28.303	28.146	26.128	28.185	28.355	28.834	23.654	24.762
