DirectoryCombine.py

358 assays were A assays that had a numerical CT for every patient

 Well     Target Name                   Chi-Squared         

    1     hsa-mir-188-5p                0.808               
    2     hsa-mir-532-3p                0.942               
    3     hsa-mir-320e                  1.014               
    4     hsa-mir-30a-3p                1.17                
    5     hsa-mir-4291                  1.494               
    6     hsa-mir-30b-5p                1.554               
    7     hsa-mir-28-3p                 1.581               
    8     hsa-mir-28-5p                 1.593               
    9     hsa-mir-181b-5p               1.674               
   10     hsa-mir-139-5p                1.759               
   11     hsa-mir-339-5p                1.832               
   12     hsa-mir-433                   1.91                
   13     hsa-mir-151a-3p               1.919               
   14     hsa-mir-145-5p                1.961               
   15     hsa-mir-30c-5p                2.185               
   16     hsa-mir-2276                  2.244               
   17     hsa-mir-629-3p                2.275               
   18     hsa-mir-378e                  2.356               
   19     hsa-mir-4732-5p               2.411               
   20     hsa-mir-3185                  2.445               
   21     hsa-mir-3200-5p               2.47                
   22     hsa-mir-370                   2.526               
   23     hsa-mir-342-3p                2.559               
   24     hsa-mir-93-3p                 2.56                
   25     hsa-mir-103a-3p               2.593               
   26     hsa-mir-140-3p                2.594               
   27     hsa-mir-1301                  2.688               
   28     hsa-mir-128                   2.693               
   29     hsa-mir-4732-3p               2.707               
   30     hsa-mir-92b-3p                2.753               
   31     hsa-mir-345-5p                2.847               
   32     hsa-mir-132-3p                2.854               
   33     hsa-mir-548d-5p               2.872               
   34     hsa-mir-675-3p                2.874               
   35     hsa-mir-3176                  2.906               
   36     hsa-mir-5095                  2.916               
   37     hsa-mir-330-5p                2.917               
   38     hsa-mir-1180                  2.923               
   39     hsa-mir-324-5p                2.924               
   40     hsa-let-7d-3p                 2.932               
   41     hsa-mir-378a-5p               2.946               
   42     hsa-mir-15a-3p                3.021               
   43     hsa-mir-628-3p                3.045               
   44     hsa-mir-485-3p                3.065               
   45     hsa-mir-151a-5p               3.08                
   46     hsa-mir-30e-3p                3.091               
   47     hsa-mir-2110                  3.107               
   48     hsa-mir-193b-3p               3.118               
   49     hsa-mir-1203                  3.145               
   50     hsa-mir-671-3p                3.197               
   51     hsa-mir-125a-5p               3.293               
   52     hsa-mir-214-3p                3.334               
   53     hsa-mir-340-5p                3.338               
   54     hsa-mir-127-3p                3.415               
   55     hsa-mir-210                   3.464               
   56     hsa-mir-3191-3p               3.489               
   57     hsa-mir-605                   3.499               
   58     hsa-mir-519b-5p               3.536               
   59     hsa-mir-942                   3.551               
   60     hsa-let-7g-3p                 3.564               
   61     hsa-mir-1231                  3.594               
   62     hsa-mir-422a                  3.62                
   63     hsa-mir-1539                  3.664               
   64     hsa-mir-339-3p                3.728               
   65     hsa-mir-425-5p                3.733               
   66     hsa-mir-139-3p                3.811               
   67     hsa-mir-4267                  3.844               
   68     hsa-mir-29b-3p                3.875               
   69     hsa-mir-3183                  3.884               
   70     hsa-mir-4258                  4.079               
   71     hsa-mir-4688                  4.123               
   72     hsa-mir-3159                  4.147               
   73     hsa-mir-338-5p                4.184               
   74     hsa-mir-1287                  4.189               
   75     hsa-mir-4301                  4.257               
   76     hsa-mir-186-5p                4.283               
   77     hsa-mir-744-5p                4.334               
   78     hsa-mir-548c-5p               4.338               
   79     hsa-mir-99b-5p                4.338               
   80     hsa-mir-378b                  4.439               
   81     hsa-mir-15a-5p                4.442               
   82     hsa-mir-4306                  4.478               
   83     hsa-mir-26b-5p                4.482               
   84     hsa-mir-19b-1-5p              4.488               
   85     hsa-mir-1237-3p               4.543               
   86     hsa-mir-652-3p                4.561               
   87     hsa-mir-412                   4.562               
   88     hsa-mir-296-5p                4.617               
   89     hsa-mir-489                   4.627               
   90     hsa-mir-199a-3p               4.871               
   91     hsa-mir-222-3p                4.875               
   92     hsa-mir-3911                  4.903               
   93     hsa-mir-4302                  4.928               
   94     hsa-mir-146b-5p               4.935               
   95     hsa-let-7a-3p                 4.951               
   96     hsa-mir-4323                  5.098               
   97     hsa-mir-202-3p                5.194               
   98     hsa-mir-497-5p                5.278               
   99     hsa-mir-660-5p                5.307               
  100     hsa-mir-10a-5p                5.332               
  101     hsa-mir-196a-5p               5.422               
  102     hsa-mir-3613-3p               5.468               
  103     hsa-mir-421                   5.487               
  104     hsa-mir-4296                  5.531               
  105     hsa-mir-143-3p                5.544               
  106     hsa-mir-627                   5.602               
  107     hsa-let-7g-5p                 5.654               
  108     hsa-let-7d-5p                 5.694               
  109     hsa-mir-4422                  5.709               
  110     hsa-mir-1913                  5.758               
  111     hsa-mir-505-3p                5.822               
  112     hsa-mir-487b                  5.845               
  113     hsa-mir-1307-3p               5.88                
  114     hsa-mir-22-5p                 5.882               
  115     hsa-mir-2467-3p               5.892               
  116     hsa-mir-130a-3p               5.911               
  117     hsa-mir-18a-3p                5.917               
  118     hsa-mir-375                   5.964               
  119     hsa-mir-15b-3p                6.052               
  120     hsa-mir-625-3p                6.172               
  121     hsa-mir-34a-5p                6.205               
  122     hsa-mir-1976                  6.32                
  123     hsa-mir-130b-3p               6.44                
  124     hsa-mir-196b-3p               6.461               
  125     hsa-mir-134                   6.618               
  126     hsa-mir-1233-3p               6.69                
  127     hsa-mir-146a-5p               6.723               
  128     hsa-mir-3655                  6.726               
  129     hsa-mir-335-5p                6.832               
  130     hsa-mir-596                   6.898               
  131     hsa-mir-532-5p                6.928               
  132     hsa-mir-1247-5p               6.93                
  133     hsa-mir-16-2-3p               6.957               
  134     hsa-mir-1286                  6.979               
  135     hsa-mir-124-3p                6.987               
