DirectoryCombine.py

Well	Target_Name	003	029	157	174	197

1	hsa-let-7a-4373169A	Undetermined	8.038	Undetermined	Undetermined	Undetermined
2	hsa-let-7c-4373167A	-3.461	-3.573	-2.072	-3.141	-3.184
3	hsa-let-7d-4395394A	2.015	-1.051	0.333	6.386	0.362
4	hsa-let-7e-4395517A	3.227	-2.421	-0.094	2.501	-0.068
5	hsa-let-7f-4373164A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
6	hsa-let-7g-4395393A	8.66	2.561	4.941	7.912	3.913
7	hsa-miR-1-4395333A	1.991	5.294	7.693	4.327	6.192
8	hsa-miR-9-4373285A	3.122	1.299	-0.343	2.324	3.746
9	hsa-miR-10a-4373153A	-1.722	-3.819	-0.045	0.275	-0.173
10	hsa-miR-10b-4395329A	9.032	0.597	Undetermined	6.533	Undetermined
11	MammU6-43954701A	-5.612	-0.211	-3.477	-6.624	-2.418
12	MammU6-43954702A	-5.636	-0.332	-3.304	-6.829	-2.44
13	hsa-miR-15a-4373123A	Undetermined	Undetermined	4.976	Undetermined	Undetermined
14	hsa-miR-15b-4373122A	3.057	0.878	2.491	2.19	8.547
15	hsa-miR-16-4373121A	-2.003	-1.2	0.556	-0.819	-0.49
16	hsa-miR-17-4395419A	-4.707	-3.77	-1.465	-2.666	-3.233
17	hsa-miR-18a-4395533A	Undetermined	5.883	Undetermined	8.217	9.169
18	hsa-miR-18b-4395328A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
19	hsa-miR-19a-4373099A	2.419	3.982	1.62	1.564	3.11
20	hsa-miR-19b-4373098A	-5.182	-3.937	-2.992	-3.536	-3.517
21	hsa-miR-20a-4373286A	-7.693	-5.354	-4.526	-4.938	-5.371
22	hsa-miR-20b-4373263A	1.874	-0.674	1.908	4.113	3.741
23	hsa-miR-21-4373090A	-5.269	-2.874	-4.684	-3.53	-2.222
24	hsa-miR-22-4373079A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
25	hsa-miR-23a-4373074A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
26	hsa-miR-23b-4373073A	8.744	1.256	Undetermined	6.289	4.248
27	hsa-miR-24-4373072A	-3.806	-5.911	-2.371	-2.779	-3.269
28	hsa-miR-25-4373071A	-5.673	-3.601	-2.067	-3.571	-3.756
29	hsa-miR-26a-4395166A	-2.28	-3.439	-2.472	-1.96	-2.677
30	hsa-miR-26b-4395167A	-1.051	-1.809	-1.677	-1.305	-0.686
31	hsa-miR-27a-4373287A	-3.983	-3.141	-3.025	-2.095	-1.963
32	hsa-miR-27b-4373068A	-1.973	-3.331	-2.772	-0.605	0.187
33	hsa-miR-28-3p-4395557A	-3.103	-3.382	-2.122	-2.9	-3.028
34	hsa-miR-28-5p-4373067A	-2.465	-2.156	-1.825	-2.945	-2.257
35	MammU6-43954703A	-5.715	-0.306	-3.34	-6.551	-2.366
36	MammU6-43954704A	-5.724	-0.153	-3.439	-6.299	-2.341
37	hsa-miR-29a-4395223A	-2.537	-1.909	-1.742	-0.861	-1.304
38	hsa-miR-29b-4373288A	1.474	-0.296	1.314	9.351	0.723
39	hsa-miR-29c-4395171A	-1.212	-0.176	-0.98	0.856	0.632
40	hsa-miR-30b-4373290A	-4.895	-8.078	-4.787	-4.904	-5.042
41	hsa-miR-30c-4373060A	-5.081	-8.232	-5.115	-5.468	-5.581
42	hsa-miR-31-4395390A	-1.059	-2.239	-0.65	0.065	1.407
43	hsa-miR-32-4395220A	Undetermined	8.605	9.041	Undetermined	Undetermined
44	hsa-miR-33b-4395196A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
45	hsa-miR-34a-4395168A	-4.087	-3.182	-3.897	-2.884	-2.691
46	hsa-miR-34c-5p-4373036A	-0.741	-0.377	-2.858	-0.33	-1.985
47	hsa-miR-92a-4395169A	-7.885	-5.486	-5.047	-6.214	-5.673
48	hsa-miR-93-4373302A	6.43	1.842	5.261	5.739	Undetermined
49	hsa-miR-95-4373011A	-0.007	1.545	-0.131	2.074	4.788
50	hsa-miR-96-4373372A	Undetermined	Undetermined	Undetermined	Undetermined	8.402
51	hsa-miR-98-4373009A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
52	hsa-miR-99a-4373008A	-1.263	-3.65	-1.618	-3.147	-3.85
53	hsa-miR-99b-4373007A	-2.097	-3.446	-1.821	-2.406	-2.245
54	hsa-miR-100-4373160A	-3.721	-3.721	-3.77	-3.582	-3.814
55	hsa-miR-101-4395364A	3.911	8.012	5.478	9.583	2.458
56	hsa-miR-103-4373158A	Undetermined	3.481	7.07	4.626	Undetermined
57	hsa-miR-105-4395278A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
58	hsa-miR-106a-4395280A	-5.094	-3.903	-1.898	-2.358	-3.341
59	RNU44-4373384A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
60	hsa-miR-106b-4373155A	-4.368	-3.446	-2.326	-3.349	-4.199
61	hsa-miR-107-4373154A	10.812	0.807	Undetermined	Undetermined	7.28
62	hsa-miR-122-4395356A	Undetermined	7.092	8.945	8.034	-3.55
63	hsa-miR-124-4373295A	Undetermined	Undetermined	Undetermined	7.646	Undetermined
64	hsa-miR-125a-3p-4395310A	3.278	9.003	4.478	8.436	Undetermined
65	hsa-miR-125a-5p-4395309A	4.171	2.004	3.272	4.331	1.282
66	hsa-miR-125b-4373148A	-6.936	-4.902	-5.076	-5.079	-5.514
67	hsa-miR-126-4395339A	-1.344	-0.829	-0.063	0.221	-1.614
68	hsa-miR-127-3p-4373147A	-2.922	-1.983	-2.027	-3.438	-2.182
69	hsa-miR-127-5p-4395340A	Undetermined	Undetermined	Undetermined	Undetermined	8.411
70	hsa-miR-128-4395327A	3.495	-0.161	-0.394	-0.039	2.04
71	hsa-miR-129-3p-4373297A	Undetermined	7.472	Undetermined	6.004	Undetermined
72	hsa-miR-129-5p-4373171A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
73	hsa-miR-130a-4373145A	2.215	2.87	-1.132	2.198	1.109
74	hsa-miR-130b-4373144A	-0.726	-0.106	-1.154	-0.972	-1.287
75	hsa-miR-132-4373143A	-3.634	-2.727	-2.391	-2.232	-1.907
76	hsa-miR-133a-4395357A	-4.367	-3.1	-2.089	-3.26	-3.214
77	hsa-miR-133b-4395358A	1.709	1.203	2.967	1.479	0.567
78	hsa-miR-134-4373299A	8.961	8.833	Undetermined	9.312	Undetermined
79	hsa-miR-135a-4373140A	-0.576	-0.42	-1.708	-0.649	0.246
80	hsa-miR-135b-4395372A	4.752	1.126	1.336	1.581	1.11
