* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 62050008
* Experiment Comments = SOFTWARE ISSUE WOULDN'T START
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1A\2011-10-25 CSF MEC003A.eds
* Experiment Name = 2011-10-25 CSF MEC003A
* Experiment Run End Time = 2011-10-25 12:39:55 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = AW
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-let-7a-4373169	Undetermined	0.200	3	13	N
2	hsa-let-7c-4373167	25.621	0.200	3	20	N
3	hsa-let-7d-4395394	31.097	0.200	3	22	N
4	hsa-let-7e-4395517	32.309	0.200	3	22	N
5	hsa-let-7f-4373164	Undetermined	0.200	3	39	Y
6	hsa-let-7g-4395393	37.742	0.200	3	26	N
7	hsa-miR-1-4395333	31.073	0.200	3	24	N
8	hsa-miR-9-4373285	32.204	0.200	3	22	N
9	hsa-miR-10a-4373153	27.360	0.200	3	21	N
10	hsa-miR-10b-4395329	38.114	0.200	3	27	N
11	MammU6-4395470	23.470	0.200	3	17	N
12	MammU6-4395470	23.446	0.200	3	18	N
13	hsa-miR-15a-4373123	Undetermined	0.200	3	39	N
14	hsa-miR-15b-4373122	32.139	0.200	3	22	N
15	hsa-miR-16-4373121	27.079	0.200	3	20	N
16	hsa-miR-17-4395419	24.375	0.200	3	17	N
17	hsa-miR-18a-4395533	Undetermined	0.200	3	26	N
18	hsa-miR-18b-4395328	Undetermined	0.200	3	39	N
19	hsa-miR-19a-4373099	31.501	0.200	3	22	N
20	hsa-miR-19b-4373098	23.900	0.200	3	18	N
21	hsa-miR-20a-4373286	21.389	0.200	3	16	N
22	hsa-miR-20b-4373263	30.956	0.200	3	22	N
23	hsa-miR-21-4373090	23.813	0.200	3	18	N
