* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 68820299
* Experiment Comments = CSF set 1 B
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1B\2011-10-27CSFMEC157B.eds
* Experiment Name = 2011-10-27CSFMEC157B
* Experiment Run End Time = 2011-10-27 17:41:12 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = aw
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-miR-30a*-4373062	24.025	0.200	3	17	N
2	hsa-miR-30e*-4373057	23.572	0.200	3	17	N
3	hsa-miR-34b*-4373037	29.751	0.200	3	22	N
4	hsa-miR-126*-4373269	Undetermined	0.200	3	39	N
5	hsa-miR-154*-4378065	Undetermined	0.200	3	39	N
6	hsa-miR-182*-4378066	29.905	0.200	3	23	N
7	hsa-miR-181a*-4373086	28.584	0.200	3	21	N
8	hsa-miR-302c*-4373277	Undetermined	0.200	3	28	N
9	hsa-miR-373*-4373279	Undetermined	0.200	3	39	N
10	hsa-miR-378*-4373024	24.630	0.200	3	16	N
11	MammU6-4395470	23.352	0.200	3	16	N
12	MammU6-4395470	23.725	0.200	3	18	N
13	hsa-miR-380*-4373021	25.990	0.200	3	19	N
14	hsa-miR-200a*-4373273	29.838	0.200	3	23	N
15	hsa-miR-432*-4378076	33.809	0.200	3	25	N
16	hsa-miR-493*-4373218	Undetermined	0.200	3	39	N
17	hsa-miR-500*-4373225	32.999	0.200	3	24	N
18	hsa-miR-488*-4373213	25.110	0.200	3	17	N
19	hsa-miR-517*-4378078	Undetermined	0.200	3	39	N
20	hsa-miR-518c*-4378082	39.698	0.200	3	27	N
21	hsa-miR-519e*-4378084	Undetermined	0.200	3	28	N
22	hsa-let-7d*-4378108	Undetermined	0.200	3	39	N
23	hsa-miR-363*-4380917	34.568	0.200	3	25	N
24	hsa-miR-7-1*-4381118	31.286	0.200	3	21	N
25	hsa-miR-589*-4380953	27.616	0.200	3	21	N
26	hsa-miR-550*-4380954	Undetermined	0.200	3	39	N
27	hsa-miR-593*-4380957	26.881	0.200	3	20	N
28	hsa-miR-624*-4380964	27.528	0.200	3	20	N
29	hsa-miR-629*-4380969	30.260	0.200	3	22	N
30	hsa-miR-616*-4380992	30.197	0.200	3	23	N
31	hsa-miR-29c*-4381131	36.637	0.200	3	27	N
32	hsa-miR-454*-4395185	35.989	0.200	3	28	N
33	hsa-miR-505*-4395198	31.037	0.200	3	23	N
34	hsa-miR-221*-4395207	35.070	0.200	3	27	N
35	MammU6-4395470	23.648	0.200	3	18	N
36	MammU6-4395470	23.441	0.200	3	17	N
37	hsa-miR-222*-4395208	27.359	0.200	3	21	N
38	hsa-miR-223*-4395209	25.795	0.200	3	19	N
39	hsa-miR-136*-4395211	32.007	0.200	3	24	N
40	hsa-miR-185*-4395215	32.937	0.200	3	24	N
41	hsa-miR-186*-4395216	Undetermined	0.200	3	39	N
42	hsa-miR-195*-4395218	Undetermined	0.200	3	39	N
43	hsa-miR-30c-1*-4395219	Undetermined	0.200	3	39	Y
44	hsa-miR-30c-2*-4395221	Undetermined	0.200	3	39	Y
45	hsa-miR-32*-4395222	Undetermined	0.200	3	39	N
46	hsa-miR-130b*-4395225	Undetermined	0.200	3	39	N
47	hsa-miR-26a-2*-4395226	Undetermined	0.200	3	30	N
48	hsa-let-7g*-4395229	38.054	0.200	3	28	N
49	hsa-miR-302b*-4395230	29.649	0.200	3	23	N
50	hsa-miR-302d*-4395231	27.911	0.200	3	22	N
51	hsa-miR-367*-4395232	Undetermined	0.200	3	39	N
52	hsa-miR-374a*-4395236	36.292	0.200	3	28	N
53	hsa-miR-23b*-4395237	Undetermined	0.200	3	39	N
54	hsa-miR-376a*-4395238	38.796	0.200	3	30	N
55	hsa-miR-377*-4395239	35.056	0.200	3	26	N
56	hsa-miR-30b*-4395240	Undetermined	0.200	3	39	Y
57	hsa-miR-122*-4395241	37.297	0.200	3	30	N
58	hsa-miR-130a*-4395242	37.773	0.200	3	28	N
59	RNU48-4373383	28.659	0.200	3	22	N
60	RNU48-4373383	29.112	0.200	3	23	N
61	hsa-miR-132*-4395243	Undetermined	0.200	3	39	N
62	hsa-miR-379*-4395244	32.898	0.200	3	24	N
63	hsa-miR-148a*-4395245	Undetermined	0.200	3	39	N
64	hsa-miR-33a*-4395247	29.482	0.200	3	22	N
65	hsa-miR-92a-1*-4395248	31.371	0.200	3	25	N
66	hsa-miR-92a-2*-4395249	Undetermined	0.200	3	31	N
67	hsa-miR-93*-4395250	29.130	0.200	3	22	N
68	hsa-miR-96*-4395251	Undetermined	0.200	3	39	N
69	hsa-miR-99a*-4395252	30.614	0.200	3	20	N
70	hsa-miR-100*-4395253	39.147	0.200	3	28	N
71	hsa-miR-101*-4395254	Undetermined	0.200	3	39	N
72	hsa-miR-138-2*-4395255	31.760	0.200	3	16	N
73	hsa-miR-141*-4395256	35.793	0.200	3	26	N
74	hsa-miR-143*-4395257	Undetermined	0.200	3	30	N
75	hsa-miR-144*-4395259	32.811	0.200	3	25	N
76	hsa-miR-145*-4395260	29.991	0.200	3	23	N
77	hsa-miR-125b-2*-4395269	36.731	0.200	3	5	N
78	hsa-miR-135b*-4395270	23.010	0.200	3	15	N
79	hsa-miR-148b*-4395271	36.267	0.200	3	29	N
80	hsa-miR-138-1*-4395273	24.234	0.200	3	16	N
81	hsa-miR-146a*-4395274	Undetermined	0.200	3	39	N
82	hsa-miR-149*-4395275	Undetermined	0.200	3	39	N
83	RNU48-4373383	28.918	0.200	3	23	N
84	RNU48-4373383	29.083	0.200	3	23	N
85	hsa-miR-29b-1*-4395276	Undetermined	0.200	3	28	N
86	hsa-miR-29b-2*-4395277	33.082	0.200	3	26	N
87	hsa-miR-105*-4395279	33.773	0.200	3	26	N
88	hsa-miR-106a*-4395281	Undetermined	0.200	3	39	N
89	hsa-miR-16-2*-4395282	Undetermined	0.200	3	39	N
90	hsa-let-7i*-4395283	Undetermined	0.200	3	39	Y
91	hsa-miR-15b*-4395284	Undetermined	0.200	3	39	N
92	hsa-miR-27b*-4395285	32.422	0.200	3	24	N
93	hsa-miR-335*-4395296	Undetermined	0.200	3	39	N
94	hsa-miR-99b*-4395307	28.463	0.200	3	20	N
