* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 7427050
* Experiment Comments = template for CSF slinical run
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1A\2011-10-26CSFMEC174A.eds
* Experiment Name = 2011-10-26CSFMEC174
* Experiment Run End Time = 2011-10-26 21:24:45 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = AW
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-let-7a-4373169	Undetermined	0.200	3	39	N
2	hsa-let-7c-4373167	26.098	0.200	3	20	N
3	hsa-let-7d-4395394	35.625	0.200	3	25	N
4	hsa-let-7e-4395517	31.740	0.200	3	22	N
5	hsa-let-7f-4373164	Undetermined	0.200	3	39	Y
6	hsa-let-7g-4395393	37.151	0.200	3	26	N
7	hsa-miR-1-4395333	33.566	0.200	3	27	N
8	hsa-miR-9-4373285	31.563	0.200	3	23	N
9	hsa-miR-10a-4373153	29.514	0.200	3	24	N
10	hsa-miR-10b-4395329	35.772	0.200	3	26	N
11	MammU6-4395470	22.615	0.200	3	17	N
12	MammU6-4395470	22.410	0.200	3	17	N
13	hsa-miR-15a-4373123	Undetermined	0.200	3	39	N
14	hsa-miR-15b-4373122	31.429	0.200	3	23	N
15	hsa-miR-16-4373121	28.420	0.200	3	22	N
16	hsa-miR-17-4395419	26.573	0.200	3	18	N
17	hsa-miR-18a-4395533	37.456	0.200	3	25	N
18	hsa-miR-18b-4395328	Undetermined	0.200	3	39	N
19	hsa-miR-19a-4373099	30.803	0.200	3	24	N
20	hsa-miR-19b-4373098	25.703	0.200	3	19	N
21	hsa-miR-20a-4373286	24.301	0.200	3	18	N
22	hsa-miR-20b-4373263	33.352	0.200	3	23	N
23	hsa-miR-21-4373090	25.709	0.200	3	19	N
24	hsa-miR-22-4373079	Undetermined	0.200	3	39	Y
25	hsa-miR-23a-4373074	Undetermined	0.200	3	39	N
26	hsa-miR-23b-4373073	35.528	0.200	3	25	N
27	hsa-miR-24-4373072	26.460	0.200	3	21	N
28	hsa-miR-25-4373071	25.668	0.200	3	20	N
29	hsa-miR-26a-4395166	27.279	0.200	3	21	N
30	hsa-miR-26b-4395167	27.934	0.200	3	22	N
