* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment Barcode = 74270622
* Experiment Comments = template for CSF slinical run
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\CSF_clinical\SET1A\2011-10-27 CSF MEC197A.eds
* Experiment Name = 2011-10-27 CSF MEC197A
* Experiment Run End Time = 2011-10-27 13:33:08 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Baseline Start	Baseline End	NOAMP
1	hsa-let-7a-4373169	Undetermined	0.200	3	24	N
2	hsa-let-7c-4373167	26.142	0.200	3	20	N
3	hsa-let-7d-4395394	29.688	0.200	3	23	N
4	hsa-let-7e-4395517	29.258	0.200	3	21	N
5	hsa-let-7f-4373164	Undetermined	0.200	3	39	Y
6	hsa-let-7g-4395393	33.239	0.200	3	25	N
7	hsa-miR-1-4395333	35.518	0.200	3	28	N
8	hsa-miR-9-4373285	33.072	0.200	3	23	N
9	hsa-miR-10a-4373153	29.153	0.200	3	23	N
10	hsa-miR-10b-4395329	Undetermined	0.200	3	28	N
11	MammU6-4395470	26.908	0.200	3	20	N
12	MammU6-4395470	26.886	0.200	3	21	N
13	hsa-miR-15a-4373123	Undetermined	0.200	3	39	Y
14	hsa-miR-15b-4373122	37.873	0.200	3	25	N
15	hsa-miR-16-4373121	28.836	0.200	3	23	N
16	hsa-miR-17-4395419	26.093	0.200	3	18	N
17	hsa-miR-18a-4395533	38.495	0.200	3	25	N
18	hsa-miR-18b-4395328	Undetermined	0.200	3	27	N
19	hsa-miR-19a-4373099	32.436	0.200	3	23	N
20	hsa-miR-19b-4373098	25.809	0.200	3	19	N
21	hsa-miR-20a-4373286	23.955	0.200	3	19	N
22	hsa-miR-20b-4373263	33.067	0.200	3	23	N
23	hsa-miR-21-4373090	27.104	0.200	3	21	N
