* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-19 pp09005 panelB.eds
* Experiment Name = 2012-03-19 pp09005 panelB
* Experiment Run End Time = 2012-03-19 11:55:49 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	29.479	29.479	N	N	N
2	hsa-miR-548I-002909	Undetermined		Y	Y	Y
3	hsa-miR-30a-3p-000416	24.294	24.294	N	N	N
4	hsa-miR-30a-5p-000417	20.051	20.051	N	N	N
5	hsa-miR-30d-000420	21.786	21.786	N	N	N
6	hsa-miR-30e-3p-000422	24.487	24.487	N	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	Y
8	hsa-miR-126#-000451	22.090	22.090	N	N	N
9	hsa-miR-154#-000478	Undetermined		N	Y	Y
10	hsa-miR-182#-000483	Undetermined		N	Y	Y
11	U6 snRNA-001973	32.887	32.983	N	N	N
12	U6 snRNA-001973	33.227	32.983	N	N	N
13	hsa-miR-206-000510	29.905	29.905	N	N	N
14	hsa-miR-213-000516	28.116	28.116	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	Y	Y
17	hsa-miR-378-000567	32.520	32.520	N	N	N
18	hsa-miR-380-5p-000570	Undetermined		N	Y	Y
19	hsa-miR-1257-002910	Undetermined		Y	Y	Y
20	hsa-miR-200a#-001011	Undetermined		Y	Y	Y
21	hsa-miR-432-001026	25.259	25.259	N	N	N
22	hsa-miR-432#-001027	Undetermined		N	Y	Y
23	hsa-miR-497-001043	28.582	28.582	N	N	N
24	hsa-miR-500-001046	30.877	30.877	N	N	N
25	hsa-miR-1238-002927	Undetermined		Y	Y	Y
26	hsa-miR-488-001106	Undetermined		Y	Y	Y
27	hsa-miR-517#-001113	Undetermined		Y	Y	Y
28	hsa-miR-516-3p-001149	Undetermined		N	N	Y
29	hsa-miR-518c#-001158	Undetermined		N	Y	Y
30	hsa-miR-519e#-001166	Undetermined		Y	Y	Y
