* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009U4T
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\4-10-13 67 miscript.eds
* Experiment Name = _C3009U4T
* Experiment Run End Time = 2013-04-10 23:27:31 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	25.690	3	23	N
2	hsa-mir-let-7c	22.749	3	20	N
3	hsa-mir-3141	20.071	3	17	N
4	hsa-mir-184	30.029	3	27	N
5	hsa-mir-532-5p	25.755	3	23	N
6	hsa-mir-152	19.868	3	17	N
7	hsa-mir-1231	22.037	3	19	N
8	hsa-mir-3911	20.920	3	18	N
9	hsa-mir-223-5p	26.355	3	23	N
10	hsa-mir-1909-5p	20.392	3	17	N
11	hsa-mir-4291	22.304	3	19	N
12	hsa-mir-205-5p	27.278	3	24	N
13	hsa-mir-3651	26.152	3	23	N
14	hsa-mir-1587	16.798	3	14	N
15	hsa-mir-372	26.276	3	23	N
16	hsa-mir-1260a	17.283	3	14	N
17	hsa-mir-19b-1-5p	23.165	3	20	N
18	hsa-let-7a-3p	22.431	3	19	N
19	hsa-mir-183-3p	26.405	3	23	N
20	hsa-mir-1290	20.008	3	17	N
21	hsa-mir-628-3p	21.943	3	19	N
22	hsa-mir-92b-3p	24.035	3	21	N
23	hsa-mir-7-2-3p	23.944	3	21	N
24	hsa-mir-144-5p	24.141	3	21	N
25	hsa-mir-3610	16.752	3	14	N
26	hsa-mir-199b-5p	29.915	3	27	N
27	hsa-mir-1286	23.491	3	20	N
28	hsa-mir-497-5p	21.650	3	18	N
29	hsa-mir-18b-5p	26.404	3	23	N
30	hsa-mir-214-3p	23.678	3	20	N
31	hsa-mir-34a-5p	22.540	3	19	N
32	hsa-mir-4732-5p	21.774	3	19	N
