* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 10:11:03 AM PST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 11:14:22 AM PST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 11:37:51 AM PST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 10:01:48 AM PST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 11:25:41 AM PST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 11:04:04 AM PST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 11:46:31 AM PST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 10:34:56 AM PST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 10:52:46 AM PST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIU
* Experiment Comments = 
* Experiment File Name = D:\Documents and Settings\INSTR-ADMIN\Desktop\6_30_13 apap\2013-06-30 200940\506.eds
* Experiment Name = _C300FKIU
* Experiment Run End Time = 2013-07-01 11:30:01 AM PDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Tm1	MTP
1	hsa-mir-495-3p	25.429	0.098	79.912	N
2	hsa-mir-let-7c	20.789	0.040	75.219	N
3	hsa-mir-3141	17.344	0.040	79.108	N
4	hsa-mir-184	26.543	0.093	85.679	Y
5	hsa-mir-532-5p	21.866	0.040	76.024	N
6	hsa-mir-152	17.260	0.040	75.889	N
7	hsa-mir-1231	19.314	0.040	77.767	N
8	hsa-mir-3911	18.608	0.040	76.828	N
9	hsa-mir-223-5p	24.435	0.040	75.889	N
10	hsa-mir-1909-5p	17.962	0.040	79.644	N
11	hsa-mir-4291	19.222	0.040	76.158	N
12	hsa-mir-205-5p	23.623	0.040	80.985	Y
13	hsa-mir-3651	23.158	0.040	79.778	N
14	hsa-mir-1587	14.286	0.040	77.365	Y
15	hsa-mir-372	22.902	0.040	80.181	N
16	hsa-mir-1260a	14.902	0.040	76.426	Y
17	hsa-mir-19b-1-5p	20.136	0.040	79.108	N
18	hsa-let-7a-3p	18.371	0.040	75.621	N
19	hsa-mir-183-3p	24.157	0.040	78.840	N
20	hsa-mir-1290	19.773	0.040	75.353	N
21	hsa-mir-628-3p	20.514	0.040	77.633	N
22	hsa-mir-92b-3p	20.685	0.040	77.096	N
23	hsa-mir-7-2-3p	22.823	0.040	75.889	N
24	hsa-mir-144-5p	23.780	0.040	75.219	N
25	hsa-mir-3610	16.754	0.040	77.096	N
26	hsa-mir-199b-5p	25.408	0.040	75.487	N
27	hsa-mir-1286	20.740	0.040	79.242	N
28	hsa-mir-497-5p	19.393	0.040	76.426	N
29	hsa-mir-18b-5p	23.982	0.040	78.303	N
30	hsa-mir-214-3p	20.717	0.040	77.365	N
31	hsa-mir-34a-5p	18.591	0.040	76.292	N
32	hsa-mir-4732-5p	19.626	0.040	79.376	N
33	hsa-mir-660-5p	17.645	0.040	75.755	N
34	hsa-mir-3120-3p	22.582	0.040	80.047	N
35	hsa-mir-151b	17.666	0.040	76.024	N
36	hsa-mir-423-5p	16.243	0.040	76.024	N
37	hsa-mir-4687-5p	17.932	0.040	76.694	N
38	hsa-mir-93-3p	21.007	0.040	79.510	N
39	hsa-mir-2276	21.275	0.040	76.560	N
40	hsa-mir-33a-5p	24.679	0.040	75.755	N
41	hsa-mir-150-5p	20.992	0.040	76.024	N
42	hsa-mir-21-5p	12.277	0.040	75.621	N
43	hsa-mir-329	23.555	0.040	79.242	N
44	hsa-mir-550a-5p	22.265	0.040	78.706	N
45	hsa-mir-378b	17.780	0.040	76.426	N
46	hsa-mir-28-5p	20.475	0.040	75.755	N
47	hsa-mir-138-1-3p	16.353	0.040	79.242	N
48	hsa-mir-193a-5p	16.728	0.040	76.426	N
49	hsa-mir-26b-3p	22.745	0.040	75.487	N
50	hsa-mir-16-2-3p	22.341	0.040	75.487	N
51	hsa-mir-146a-5p	21.046	0.040	75.353	N
52	hsa-mir-3200-3p	24.938	0.040	76.158	Y
53	hsa-mir-21-3p	22.759	0.040	79.644	N
54	hsa-let-7g-5p	21.688	0.040	75.487	N
55	hsa-mir-338-3p	25.317	0.040	75.353	N
56	hsa-mir-2110	20.265	0.040	79.778	N
57	hsa-mir-3200-5p	21.065	0.040	76.158	N
58	hsa-mir-196b-5p	22.392	0.040	78.571	N
59	hsa-mir-769-5p	21.269	0.040	79.108	N
60	hsa-mir-29c-3p	12.535	0.040	75.621	N
61	hsa-mir-4651	17.660	0.040	77.096	N
62	hsa-mir-127-3p	21.569	0.040	79.242	N
63	hsa-mir-29c-5p	22.668	0.040	75.889	N
64	hsa-mir-181b-5p	21.270	0.040	76.024	N
65	hsa-mir-1180	21.764	0.040	79.912	N
66	hsa-mir-133b	23.988	0.040	76.694	N
67	hsa-mir-324-3p	17.256	0.040	78.974	N
68	hsa-mir-3235b	16.283	0.040	78.303	N
69	hsa-mir-502-3p	21.423	0.040	76.292	N
70	hsa-mir-3655	22.097	0.040	79.644	N
71	hsa-mir-130b-5p	24.248	0.040	75.621	N
72	hsa-mir-324-5p	20.727	0.040	75.889	N
73	hsa-mir-373-3p	21.989	0.040	76.426	N
74	hsa-mir-3646	16.005	0.040	76.560	N
75	hsa-mir-1	25.651	0.040	75.085	N
76	hsa-mir-3907	17.868	0.040	76.828	N
77	hsa-mir-422a	19.443	0.040	76.292	N
78	hsa-mir-338-5p	20.578	0.040	79.778	N
79	hsa-mir-631	17.647	0.040	78.974	N
80	hsa-mir-143-3p	22.091	0.040	75.621	N
81	hsa-mir-627	21.708	0.040	75.487	N
82	hsa-let-7i-3p	22.620	0.040	78.840	N
83	hsa-mir-451a	11.728	0.040	75.755	N
84	hsa-mir-29b-3p	18.731	0.040	75.487	N
85	hsa-mir-194-5p	13.531	0.040	76.024	N
86	hsa-mir-605	20.079	0.040	78.974	N
87	hsa-mir-30b-5p	21.799	0.040	75.487	N
88	hsa-mir-199a-5p	23.204	0.040	78.169	N
89	hsa-mir-125a-5p	21.123	0.040	75.621	N
90	hsa-mir-376c-3p	25.545	0.040	75.755	N
