* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009U4N
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\4-10-13 108 miscript.eds
* Experiment Name = _C3009U4N
* Experiment Run End Time = 2013-04-11 05:11:38 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	26.726	3	24	N
2	hsa-mir-let-7c	Undetermined	3	16	N
3	hsa-mir-3141	20.538	3	17	N
4	hsa-mir-184	29.840	3	27	N
5	hsa-mir-532-5p	26.692	3	24	N
6	hsa-mir-152	22.107	3	19	N
7	hsa-mir-1231	22.423	3	19	N
8	hsa-mir-3911	20.953	3	18	N
9	hsa-mir-223-5p	27.096	3	24	N
10	hsa-mir-1909-5p	21.174	3	18	N
11	hsa-mir-4291	22.950	3	20	N
12	hsa-mir-205-5p	27.376	3	24	N
13	hsa-mir-3651	26.848	3	24	N
14	hsa-mir-1587	17.226	3	14	N
15	hsa-mir-372	26.898	3	24	N
16	hsa-mir-1260a	17.768	3	15	N
17	hsa-mir-19b-1-5p	23.623	3	20	N
18	hsa-let-7a-3p	25.283	3	22	N
19	hsa-mir-183-3p	27.554	3	24	N
20	hsa-mir-1290	18.329	3	15	N
21	hsa-mir-628-3p	21.796	3	19	N
22	hsa-mir-92b-3p	24.741	3	21	N
23	hsa-mir-7-2-3p	23.304	3	20	N
24	hsa-mir-144-5p	23.913	3	21	N
25	hsa-mir-3610	18.199	3	15	N
26	hsa-mir-199b-5p	29.558	3	26	N
27	hsa-mir-1286	24.081	3	21	N
28	hsa-mir-497-5p	22.693	3	20	N
29	hsa-mir-18b-5p	27.228	3	24	N
30	hsa-mir-214-3p	24.268	3	21	N
31	hsa-mir-34a-5p	23.161	3	20	N
32	hsa-mir-4732-5p	21.471	3	18	N
33	hsa-mir-660-5p	22.361	3	19	N
34	hsa-mir-3120-3p	25.726	3	22	N
35	hsa-mir-151b	20.937	3	18	N
36	hsa-mir-423-5p	19.548	3	16	N
37	hsa-mir-4687-5p	18.269	3	15	N
38	hsa-mir-93-3p	24.338	3	21	N
39	hsa-mir-2276	24.201	3	21	N
40	hsa-mir-33a-5p	31.387	3	28	N
41	hsa-mir-150-5p	20.678	3	17	N
42	hsa-mir-21-5p	14.027	3	11	N
43	hsa-mir-329	27.152	3	24	N
44	hsa-mir-550a-5p	25.246	3	22	N
45	hsa-mir-378b	22.928	3	20	N
46	hsa-mir-28-5p	23.722	3	21	N
47	hsa-mir-138-1-3p	20.102	3	17	N
48	hsa-mir-193a-5p	18.491	3	15	N
49	hsa-mir-26b-3p	26.470	3	23	N
50	hsa-mir-16-2-3p	26.090	3	23	N
51	hsa-mir-146a-5p	25.290	3	22	N
52	hsa-mir-3200-3p	27.286	3	24	N
53	hsa-mir-21-3p	25.917	3	23	N
54	hsa-let-7g-5p	22.253	3	19	N
55	hsa-mir-338-3p	28.273	3	25	N
56	hsa-mir-2110	23.198	3	20	N
57	hsa-mir-3200-5p	21.388	3	18	N
58	hsa-mir-196b-5p	25.280	3	22	N
59	hsa-mir-769-5p	25.112	3	22	N
60	hsa-mir-29c-3p	22.082	3	19	N
61	hsa-mir-4651	17.870	3	15	N
62	hsa-mir-127-3p	24.181	3	21	N
63	hsa-mir-29c-5p	26.514	3	23	N
64	hsa-mir-181b-5p	24.259	3	21	N
65	hsa-mir-1180	23.063	3	20	N
66	hsa-mir-133b	27.178	3	24	N
67	hsa-mir-324-3p	20.980	3	18	N
68	hsa-mir-3235b	18.894	3	16	N
69	hsa-mir-502-3p	25.496	3	22	N
70	hsa-mir-3655	24.327	3	21	N
71	hsa-mir-130b-5p	27.741	3	24	N
72	hsa-mir-324-5p	25.632	3	23	N
73	hsa-mir-373-3p	26.696	3	23	N
74	hsa-mir-3646	16.836	3	14	N
75	hsa-mir-1	28.263	3	25	N
76	hsa-mir-3907	20.652	3	17	N
77	hsa-mir-422a	23.960	3	21	N
78	hsa-mir-338-5p	23.324	3	20	N
79	hsa-mir-631	20.980	3	18	N
80	hsa-mir-143-3p	25.280	3	22	N
81	hsa-mir-627	23.644	3	21	N
82	hsa-let-7i-3p	26.126	3	23	N
83	hsa-mir-451a	19.751	3	17	N
84	hsa-mir-29b-3p	24.499	3	21	N
85	hsa-mir-194-5p	19.192	3	16	N
86	hsa-mir-605	22.938	3	20	N
87	hsa-mir-30b-5p	24.220	3	21	N
88	hsa-mir-199a-5p	26.932	3	24	N
89	hsa-mir-125a-5p	22.312	3	19	N
90	hsa-mir-376c-3p	27.400	3	24	N
91	hsa-mir-503-5p	26.431	3	23	N
92	hsa-mir-361-3p	28.447	3	25	N
93	hsa-mir-590-5p	27.525	3	24	N
94	hsa-mir-1207-5p	18.855	3	16	N
95	hsa-mir-342-5p	25.485	3	22	N
96	hsa-mir-1193	27.075	3	24	N
97	hsa-mir-624-5p	28.894	3	26	N
98	hsa-mir-4689	21.659	3	18	N
99	hsa-mir-139-3p	23.828	3	21	N
100	hsa-mir-4516	10.767	3	8	N
101	hsa-mir-1539	21.965	3	19	N
102	hsa-mir-377-3p	31.238	3	28	N
103	hsa-mir-130a-3p	21.620	3	19	N
104	hsa-mir-4323	21.966	3	19	N
105	hsa-mir-339-5p	24.251	3	21	N
106	hsa-mir-501-5p	24.320	3	21	N
107	hsa-mir-132-3p	24.997	3	22	N
108	hsa-mir-29a-3p	22.330	3	19	N
109	hsa-mir-22-5p	23.522	3	20	N
110	hsa-mir-596	21.147	3	18	N
111	hsa-mir-191-5p	20.707	3	17	N
112	hsa-mir-103a-2-5p	25.749	3	23	N
113	hsa-let-7b-5p	19.998	3	17	N
114	hsa-mir-103a-3p	24.071	3	21	N
115	hsa-mir-489	22.242	3	19	N
116	hsa-mir-4306	25.545	3	22	N
117	hsa-mir-378a-3p	20.671	3	17	N
118	hsa-mir-30e-3p	23.400	3	20	N
119	hsa-mir-107	25.761	3	22	N
120	hsa-mir-382-5p	26.252	3	23	N
121	hsa-mir-484	19.126	3	16	N
122	hsa-mir-1281	18.405	3	15	N
123	hsa-mir-3653	27.903	3	25	N
124	hsa-mir-423-3p	20.592	3	17	N
125	hsa-mir-224-5p	26.893	3	24	N
126	hsa-mir-877-3p	21.236	3	18	N
