* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009U4R
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\4-10-13 227 miscript.eds
* Experiment Name = _C3009U4R
* Experiment Run End Time = 2013-04-11 07:06:19 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	26.266	3	23	N
2	hsa-mir-let-7c	24.427	3	21	N
3	hsa-mir-3141	21.602	3	18	N
4	hsa-mir-184	30.435	3	27	N
5	hsa-mir-532-5p	26.597	3	23	N
6	hsa-mir-152	21.230	3	18	N
7	hsa-mir-1231	23.484	3	20	N
8	hsa-mir-3911	22.380	3	19	N
9	hsa-mir-223-5p	27.153	3	24	N
10	hsa-mir-1909-5p	21.922	3	19	N
11	hsa-mir-4291	23.615	3	20	N
12	hsa-mir-205-5p	28.294	3	25	N
13	hsa-mir-3651	26.562	3	23	N
14	hsa-mir-1587	18.258	3	15	N
15	hsa-mir-372	27.470	3	24	N
16	hsa-mir-1260a	18.643	3	15	N
17	hsa-mir-19b-1-5p	24.629	3	21	N
18	hsa-let-7a-3p	22.148	3	19	N
19	hsa-mir-183-3p	27.738	3	25	N
20	hsa-mir-1290	21.089	3	18	N
21	hsa-mir-628-3p	22.447	3	19	N
22	hsa-mir-92b-3p	25.267	3	22	N
23	hsa-mir-7-2-3p	23.766	3	20	N
24	hsa-mir-144-5p	23.083	3	20	N
25	hsa-mir-3610	18.818	3	16	N
26	hsa-mir-199b-5p	32.970	3	30	N
27	hsa-mir-1286	24.803	3	22	N
28	hsa-mir-497-5p	23.951	3	21	N
29	hsa-mir-18b-5p	28.088	3	25	N
30	hsa-mir-214-3p	25.771	3	23	N
31	hsa-mir-34a-5p	23.772	3	21	N
32	hsa-mir-4732-5p	23.380	3	20	N
33	hsa-mir-660-5p	23.183	3	20	N
34	hsa-mir-3120-3p	26.940	3	24	N
