* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006GGF
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\334.eds
* Experiment Name = _C3006GGF
* Experiment Run End Time = 2013-04-13 17:45:52 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	26.527	3	23	Y
2	hsa-mir-let-7c	21.824	3	19	N
3	hsa-mir-3141	21.284	3	18	N
4	hsa-mir-184	30.162	3	27	Y
5	hsa-mir-532-5p	24.688	3	22	N
6	hsa-mir-152	20.803	3	18	N
7	hsa-mir-1231	23.365	3	20	N
8	hsa-mir-3911	20.960	3	18	N
9	hsa-mir-223-5p	27.680	3	24	N
10	hsa-mir-1909-5p	21.494	3	18	N
11	hsa-mir-4291	23.283	3	20	N
12	hsa-mir-205-5p	24.873	3	22	N
13	hsa-mir-3651	26.411	3	23	N
14	hsa-mir-1587	17.561	3	14	N
15	hsa-mir-372	27.420	3	24	N
16	hsa-mir-1260a	17.962	3	15	N
17	hsa-mir-19b-1-5p	24.405	3	21	N
18	hsa-let-7a-3p	22.251	3	19	N
19	hsa-mir-183-3p	26.767	3	24	N
20	hsa-mir-1290	22.213	3	19	N
21	hsa-mir-628-3p	22.807	3	20	N
22	hsa-mir-92b-3p	23.432	3	20	N
23	hsa-mir-7-2-3p	23.659	3	20	N
24	hsa-mir-144-5p	23.180	3	20	N
25	hsa-mir-3610	18.703	3	16	N
26	hsa-mir-199b-5p	26.513	3	23	N
27	hsa-mir-1286	24.572	3	21	N
28	hsa-mir-497-5p	22.828	3	20	N
29	hsa-mir-18b-5p	27.610	3	24	N
30	hsa-mir-214-3p	25.354	3	22	N
31	hsa-mir-34a-5p	22.240	3	19	N
32	hsa-mir-4732-5p	23.583	3	20	N
33	hsa-mir-660-5p	21.354	3	18	N
34	hsa-mir-3120-3p	26.535	3	23	N
35	hsa-mir-151b	21.060	3	18	N
36	hsa-mir-423-5p	18.995	3	16	N
37	hsa-mir-4687-5p	18.826	3	16	N
38	hsa-mir-93-3p	24.878	3	22	N
39	hsa-mir-2276	23.795	3	20	N
40	hsa-mir-33a-5p	24.778	3	22	N
41	hsa-mir-150-5p	20.650	3	18	N
42	hsa-mir-21-5p	16.183	3	13	N
43	hsa-mir-329	26.796	3	24	Y
44	hsa-mir-550a-5p	26.346	3	23	N
45	hsa-mir-378b	20.297	3	17	N
46	hsa-mir-28-5p	23.890	3	21	N
47	hsa-mir-138-1-3p	20.268	3	17	N
48	hsa-mir-193a-5p	20.413	3	17	N
49	hsa-mir-26b-3p	26.403	3	23	Y
50	hsa-mir-16-2-3p	25.832	3	22	N
51	hsa-mir-146a-5p	22.449	3	19	N
52	hsa-mir-3200-3p	27.553	3	24	N
53	hsa-mir-21-3p	26.812	3	23	Y
54	hsa-let-7g-5p	22.178	3	19	N
55	hsa-mir-338-3p	26.478	3	23	N
56	hsa-mir-2110	24.218	3	21	N
57	hsa-mir-3200-5p	20.913	3	18	N
58	hsa-mir-196b-5p	25.313	3	22	N
59	hsa-mir-769-5p	25.468	3	22	N
60	hsa-mir-29c-3p	17.072	3	14	N
61	hsa-mir-4651	19.090	3	16	N
62	hsa-mir-127-3p	25.054	3	22	N
63	hsa-mir-29c-5p	25.020	3	22	N
64	hsa-mir-181b-5p	22.981	3	20	N
65	hsa-mir-1180	24.927	3	22	N
66	hsa-mir-133b	26.607	3	23	N
67	hsa-mir-324-3p	20.992	3	18	N
68	hsa-mir-3235b	18.899	3	15	N
69	hsa-mir-502-3p	25.501	3	22	N
70	hsa-mir-3655	24.477	3	21	N
71	hsa-mir-130b-5p	28.265	3	25	Y
72	hsa-mir-324-5p	21.454	3	18	N
73	hsa-mir-373-3p	27.447	3	24	Y
