* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = 
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\2013-04-19 395.eds
* Experiment Name = 2013-04-19 395
* Experiment Run End Time = 2013-04-19 15:19:16 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	26.622	3	23	Y
2	hsa-mir-let-7c	21.868	3	19	N
3	hsa-mir-3141	20.944	3	18	N
4	hsa-mir-184	27.938	3	25	Y
5	hsa-mir-532-5p	25.173	3	22	N
6	hsa-mir-152	18.815	3	16	N
7	hsa-mir-1231	22.588	3	20	N
8	hsa-mir-3911	22.297	3	19	N
9	hsa-mir-223-5p	24.646	3	22	N
10	hsa-mir-1909-5p	21.288	3	18	N
11	hsa-mir-4291	22.989	3	20	N
12	hsa-mir-205-5p	27.085	3	24	Y
13	hsa-mir-3651	25.811	3	23	N
14	hsa-mir-1587	17.583	3	14	N
15	hsa-mir-372	26.928	3	24	N
16	hsa-mir-1260a	17.990	3	15	N
17	hsa-mir-19b-1-5p	23.859	3	21	N
18	hsa-let-7a-3p	21.104	3	18	N
19	hsa-mir-183-3p	26.831	3	24	N
20	hsa-mir-1290	20.815	3	18	N
21	hsa-mir-628-3p	22.235	3	19	N
22	hsa-mir-92b-3p	23.619	3	20	N
23	hsa-mir-7-2-3p	24.094	3	21	N
24	hsa-mir-144-5p	24.314	3	21	N
25	hsa-mir-3610	17.217	3	14	N
26	hsa-mir-199b-5p	27.398	3	24	N
27	hsa-mir-1286	24.340	3	21	N
28	hsa-mir-497-5p	21.957	3	19	N
29	hsa-mir-18b-5p	27.109	3	24	N
30	hsa-mir-214-3p	24.607	3	22	N
31	hsa-mir-34a-5p	21.015	3	18	N
32	hsa-mir-4732-5p	22.904	3	20	N
33	hsa-mir-660-5p	21.583	3	18	N
34	hsa-mir-3120-3p	26.398	3	23	Y
35	hsa-mir-151b	20.644	3	17	N
36	hsa-mir-423-5p	18.485	3	15	N
37	hsa-mir-4687-5p	18.572	3	15	N
38	hsa-mir-93-3p	24.517	3	21	N
