* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006Z17
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\438.eds
* Experiment Name = _C3006Z17
* Experiment Run End Time = 2013-04-18 22:41:01 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	25.257	3	22	N
2	hsa-mir-let-7c	21.900	3	19	N
3	hsa-mir-3141	20.659	3	17	N
4	hsa-mir-184	28.623	3	25	N
5	hsa-mir-532-5p	25.064	3	22	N
6	hsa-mir-152	18.364	3	15	N
7	hsa-mir-1231	22.405	3	19	N
8	hsa-mir-3911	21.528	3	18	N
9	hsa-mir-223-5p	23.923	3	21	N
10	hsa-mir-1909-5p	21.028	3	18	N
11	hsa-mir-4291	22.535	3	19	N
12	hsa-mir-205-5p	27.094	3	24	N
13	hsa-mir-3651	25.435	3	22	N
14	hsa-mir-1587	16.908	3	14	N
15	hsa-mir-372	26.312	3	23	N
16	hsa-mir-1260a	17.681	3	14	N
17	hsa-mir-19b-1-5p	23.204	3	20	N
18	hsa-let-7a-3p	20.725	3	17	N
19	hsa-mir-183-3p	26.891	3	24	N
20	hsa-mir-1290	18.981	3	16	N
21	hsa-mir-628-3p	21.902	3	19	N
22	hsa-mir-92b-3p	23.894	3	21	N
23	hsa-mir-7-2-3p	23.589	3	20	N
24	hsa-mir-144-5p	22.281	3	19	N
25	hsa-mir-3610	16.926	3	14	N
26	hsa-mir-199b-5p	26.579	3	24	N
27	hsa-mir-1286	24.079	3	21	N
28	hsa-mir-497-5p	20.625	3	17	N
29	hsa-mir-18b-5p	26.364	3	23	N
30	hsa-mir-214-3p	24.078	3	21	N
31	hsa-mir-34a-5p	19.942	3	17	N
32	hsa-mir-4732-5p	21.949	3	19	N
33	hsa-mir-660-5p	20.254	3	17	N
34	hsa-mir-3120-3p	25.855	3	23	N
35	hsa-mir-151b	20.496	3	17	N
36	hsa-mir-423-5p	17.878	3	15	N
37	hsa-mir-4687-5p	18.324	3	15	N
38	hsa-mir-93-3p	23.759	3	20	N
39	hsa-mir-2276	23.744	3	21	N
40	hsa-mir-33a-5p	28.129	3	25	N
41	hsa-mir-150-5p	22.791	3	20	N
42	hsa-mir-21-5p	12.468	3	9	N
43	hsa-mir-329	26.455	3	23	N
44	hsa-mir-550a-5p	25.640	3	22	N
45	hsa-mir-378b	19.790	3	17	N
46	hsa-mir-28-5p	23.743	3	20	N
47	hsa-mir-138-1-3p	19.790	3	17	N
48	hsa-mir-193a-5p	18.338	3	15	N
49	hsa-mir-26b-3p	26.487	3	23	N
50	hsa-mir-16-2-3p	23.735	3	21	N
51	hsa-mir-146a-5p	21.079	3	18	N
52	hsa-mir-3200-3p	27.016	3	24	N
53	hsa-mir-21-3p	26.066	3	23	N
54	hsa-let-7g-5p	21.487	3	18	N
55	hsa-mir-338-3p	27.573	3	24	N
56	hsa-mir-2110	23.482	3	20	N
57	hsa-mir-3200-5p	22.715	3	19	N
58	hsa-mir-196b-5p	24.761	3	22	N
59	hsa-mir-769-5p	24.807	3	22	N
60	hsa-mir-29c-3p	17.535	3	14	N
61	hsa-mir-4651	19.318	3	16	N
62	hsa-mir-127-3p	24.159	3	21	N
63	hsa-mir-29c-5p	26.456	3	23	N
64	hsa-mir-181b-5p	21.216	3	18	N
65	hsa-mir-1180	23.900	3	21	N
66	hsa-mir-133b	27.103	3	24	N
67	hsa-mir-324-3p	20.893	3	18	N
68	hsa-mir-3235b	18.297	3	15	N
69	hsa-mir-502-3p	23.285	3	20	N
70	hsa-mir-3655	23.442	3	20	N
71	hsa-mir-130b-5p	27.053	3	24	N
72	hsa-mir-324-5p	24.337	3	21	N
73	hsa-mir-373-3p	26.977	3	24	N
74	hsa-mir-3646	17.257	3	14	N
75	hsa-mir-1	27.665	3	24	N
76	hsa-mir-3907	19.841	3	17	N
77	hsa-mir-422a	21.488	3	18	N
78	hsa-mir-338-5p	23.299	3	20	N
79	hsa-mir-631	20.884	3	18	N
80	hsa-mir-143-3p	24.324	3	21	N
81	hsa-mir-627	23.149	3	20	N
82	hsa-let-7i-3p	25.436	3	22	N
83	hsa-mir-451a	14.768	3	11	N
84	hsa-mir-29b-3p	23.727	3	20	N
85	hsa-mir-194-5p	16.086	3	13	N
86	hsa-mir-605	22.646	3	19	N
87	hsa-mir-30b-5p	23.292	3	20	N
88	hsa-mir-199a-5p	26.271	3	23	N
89	hsa-mir-125a-5p	22.668	3	20	N
90	hsa-mir-376c-3p	25.925	3	23	N
91	hsa-mir-503-5p	25.203	3	22	N
92	hsa-mir-361-3p	28.243	3	25	N
93	hsa-mir-590-5p	24.072	3	21	N
94	hsa-mir-1207-5p	18.744	3	15	N
95	hsa-mir-342-5p	25.305	3	22	N
96	hsa-mir-1193	27.693	3	25	N
97	hsa-mir-624-5p	27.137	3	24	N
98	hsa-mir-4689	21.192	3	18	N
99	hsa-mir-139-3p	23.814	3	21	N
100	hsa-mir-4516	13.451	3	10	N
101	hsa-mir-1539	22.351	3	19	N
102	hsa-mir-377-3p	29.042	3	26	N
103	hsa-mir-130a-3p	20.167	3	17	N
104	hsa-mir-4323	21.774	3	19	N
105	hsa-mir-339-5p	24.128	3	21	N
106	hsa-mir-501-5p	24.284	3	21	N
107	hsa-mir-132-3p	23.675	3	21	N
108	hsa-mir-29a-3p	17.641	3	14	N
