* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009SHL
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\569.eds
* Experiment Name = _C3009SHL
* Experiment Run End Time = 2013-05-01 09:00:30 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	26.678	3	23	N
2	hsa-mir-let-7c	20.289	3	17	N
3	hsa-mir-3141	21.953	3	19	N
4	hsa-mir-184	29.635	3	26	N
5	hsa-mir-532-5p	24.511	3	21	N
6	hsa-mir-152	17.647	3	14	N
7	hsa-mir-1231	23.840	3	21	N
8	hsa-mir-3911	22.282	3	19	N
9	hsa-mir-223-5p	23.226	3	20	N
10	hsa-mir-1909-5p	22.504	3	19	N
11	hsa-mir-4291	23.356	3	20	N
12	hsa-mir-205-5p	26.860	3	24	N
13	hsa-mir-3651	24.491	3	21	N
14	hsa-mir-1587	18.031	3	15	Y
15	hsa-mir-372	29.555	3	26	N
16	hsa-mir-1260a	18.861	3	16	N
17	hsa-mir-19b-1-5p	24.680	3	22	N
18	hsa-let-7a-3p	19.612	3	16	N
19	hsa-mir-183-3p	27.182	3	24	N
20	hsa-mir-1290	21.213	3	18	N
21	hsa-mir-628-3p	21.738	3	19	N
22	hsa-mir-92b-3p	24.490	3	21	N
23	hsa-mir-7-2-3p	24.086	3	21	N
24	hsa-mir-144-5p	23.638	3	20	N
25	hsa-mir-3610	18.731	3	16	N
26	hsa-mir-199b-5p	26.511	3	23	N
27	hsa-mir-1286	26.074	3	23	N
28	hsa-mir-497-5p	22.653	3	19	N
29	hsa-mir-18b-5p	27.895	3	25	N
30	hsa-mir-214-3p	25.153	3	22	N
31	hsa-mir-34a-5p	19.569	3	16	N
32	hsa-mir-4732-5p	23.669	3	20	N
33	hsa-mir-660-5p	19.420	3	16	N
34	hsa-mir-3120-3p	27.380	3	24	N
35	hsa-mir-151b	19.265	3	16	N
36	hsa-mir-423-5p	17.968	3	15	N
37	hsa-mir-4687-5p	20.889	3	18	N
38	hsa-mir-93-3p	23.744	3	21	N
39	hsa-mir-2276	23.665	3	21	N
40	hsa-mir-33a-5p	28.951	3	26	N
41	hsa-mir-150-5p	21.622	3	19	N
42	hsa-mir-21-5p	11.443	3	8	N
43	hsa-mir-329	26.437	3	23	N
