* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAY
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\587.eds
* Experiment Name = _C3009UAY
* Experiment Run End Time = 2013-05-02 05:33:00 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	25.171	3	22	N
2	hsa-mir-let-7c	19.155	3	16	N
3	hsa-mir-3141	19.288	3	16	N
4	hsa-mir-184	27.081	3	24	Y
5	hsa-mir-532-5p	21.585	3	18	N
6	hsa-mir-152	15.044	3	12	N
7	hsa-mir-1231	21.021	3	18	N
8	hsa-mir-3911	21.039	3	18	N
9	hsa-mir-223-5p	23.212	3	20	N
10	hsa-mir-1909-5p	19.646	3	16	N
11	hsa-mir-4291	20.077	3	17	N
12	hsa-mir-205-5p	25.807	3	23	Y
13	hsa-mir-3651	24.304	3	21	N
14	hsa-mir-1587	15.984	3	13	N
15	hsa-mir-372	25.377	3	22	N
16	hsa-mir-1260a	16.367	3	13	N
17	hsa-mir-19b-1-5p	22.736	3	20	N
18	hsa-let-7a-3p	17.406	3	14	N
19	hsa-mir-183-3p	25.181	3	22	N
20	hsa-mir-1290	18.033	3	15	N
21	hsa-mir-628-3p	20.615	3	18	N
22	hsa-mir-92b-3p	21.167	3	18	N
23	hsa-mir-7-2-3p	23.646	3	20	N
24	hsa-mir-144-5p	23.696	3	21	N
25	hsa-mir-3610	15.512	3	12	N
26	hsa-mir-199b-5p	26.435	3	23	N
27	hsa-mir-1286	22.530	3	19	N
28	hsa-mir-497-5p	18.228	3	15	N
29	hsa-mir-18b-5p	25.388	3	22	N
30	hsa-mir-214-3p	22.958	3	20	N
31	hsa-mir-34a-5p	17.113	3	14	N
32	hsa-mir-4732-5p	20.709	3	18	N
33	hsa-mir-660-5p	17.478	3	14	N
34	hsa-mir-3120-3p	24.525	3	21	Y
35	hsa-mir-151b	17.277	3	14	N
36	hsa-mir-423-5p	15.481	3	12	N
37	hsa-mir-4687-5p	18.475	3	15	N
38	hsa-mir-93-3p	22.173	3	19	N
39	hsa-mir-2276	22.581	3	19	N
40	hsa-mir-33a-5p	25.214	3	22	N
41	hsa-mir-150-5p	21.571	3	18	N
42	hsa-mir-21-5p	10.131	3	7	N
43	hsa-mir-329	25.325	3	22	N
44	hsa-mir-550a-5p	24.083	3	21	N
45	hsa-mir-378b	16.668	3	14	N
46	hsa-mir-28-5p	20.766	3	18	N
47	hsa-mir-138-1-3p	18.203	3	15	N
48	hsa-mir-193a-5p	14.511	3	11	N
49	hsa-mir-26b-3p	22.617	3	19	N
50	hsa-mir-16-2-3p	21.943	3	19	N
51	hsa-mir-146a-5p	20.317	3	17	N
52	hsa-mir-3200-3p	25.357	3	22	N
53	hsa-mir-21-3p	24.541	3	21	N
54	hsa-let-7g-5p	21.405	3	18	N
55	hsa-mir-338-3p	26.175	3	23	N
56	hsa-mir-2110	21.747	3	18	N
57	hsa-mir-3200-5p	21.795	3	19	N
58	hsa-mir-196b-5p	23.466	3	20	N
59	hsa-mir-769-5p	23.423	3	20	N
60	hsa-mir-29c-3p	13.248	3	10	N
61	hsa-mir-4651	18.686	3	15	N
62	hsa-mir-127-3p	23.201	3	20	N
63	hsa-mir-29c-5p	23.401	3	20	N
64	hsa-mir-181b-5p	20.324	3	17	N
65	hsa-mir-1180	22.049	3	19	N
66	hsa-mir-133b	25.498	3	22	N
67	hsa-mir-324-3p	18.385	3	15	N
68	hsa-mir-3235b	17.645	3	15	N
69	hsa-mir-502-3p	20.957	3	18	N
70	hsa-mir-3655	23.128	3	20	N
71	hsa-mir-130b-5p	23.210	3	20	N
72	hsa-mir-324-5p	19.597	3	16	N
73	hsa-mir-373-3p	24.805	3	21	N
74	hsa-mir-3646	16.531	3	13	N
75	hsa-mir-1	27.094	3	24	N
76	hsa-mir-3907	19.534	3	16	N
77	hsa-mir-422a	18.230	3	15	N
78	hsa-mir-338-5p	21.962	3	19	N
79	hsa-mir-631	19.473	3	16	N
80	hsa-mir-143-3p	23.113	3	20	N
81	hsa-mir-627	20.522	3	17	N
82	hsa-let-7i-3p	24.141	3	21	N
83	hsa-mir-451a	13.668	3	10	N
84	hsa-mir-29b-3p	18.547	3	15	N
85	hsa-mir-194-5p	11.779	3	8	N
86	hsa-mir-605	21.322	3	18	N
87	hsa-mir-30b-5p	22.006	3	19	N
88	hsa-mir-199a-5p	25.531	3	22	N
89	hsa-mir-125a-5p	20.601	3	17	N
90	hsa-mir-376c-3p	25.516	3	22	N
91	hsa-mir-503-5p	24.655	3	21	N
92	hsa-mir-361-3p	22.872	3	20	N
93	hsa-mir-590-5p	20.693	3	18	N
94	hsa-mir-1207-5p	17.397	3	14	Y
95	hsa-mir-342-5p	22.202	3	19	N
96	hsa-mir-1193	25.927	3	23	Y
97	hsa-mir-624-5p	22.532	3	19	N
98	hsa-mir-4689	19.647	3	16	N
99	hsa-mir-139-3p	22.341	3	19	N
100	hsa-mir-4516	14.017	3	11	N
101	hsa-mir-1539	20.800	3	18	N
102	hsa-mir-377-3p	28.277	3	25	Y
103	hsa-mir-130a-3p	16.930	3	14	N
104	hsa-mir-4323	20.292	3	17	N
105	hsa-mir-339-5p	22.041	3	19	N
106	hsa-mir-501-5p	22.980	3	20	N
107	hsa-mir-132-3p	20.748	3	18	N
108	hsa-mir-29a-3p	13.452	3	10	N
109	hsa-mir-22-5p	17.670	3	14	N
110	hsa-mir-596	19.484	3	16	N
111	hsa-mir-191-5p	17.720	3	14	N
112	hsa-mir-103a-2-5p	23.640	3	20	N
113	hsa-let-7b-5p	16.993	3	14	N
114	hsa-mir-103a-3p	18.641	3	15	N
115	hsa-mir-489	22.378	3	19	N
116	hsa-mir-4306	24.049	3	21	N
117	hsa-mir-378a-3p	14.360	3	11	N
118	hsa-mir-30e-3p	20.334	3	17	N
