* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006GGB
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\137.eds
* Experiment Name = _C3006GGB
* Experiment Run End Time = 2013-04-13 21:35:27 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	21.448	3	18	N
2	hsa-mir-let-7c	20.602	3	17	N
3	hsa-mir-3141	14.575	3	11	Y
4	hsa-mir-184	23.600	3	20	N
5	hsa-mir-532-5p	20.779	3	18	N
6	hsa-mir-152	17.027	3	14	N
7	hsa-mir-1231	16.774	3	14	N
8	hsa-mir-3911	17.077	3	14	N
9	hsa-mir-223-5p	22.751	3	20	N
10	hsa-mir-1909-5p	15.179	3	12	N
11	hsa-mir-4291	17.104	3	14	N
12	hsa-mir-205-5p	21.335	3	18	Y
13	hsa-mir-3651	20.602	3	17	N
14	hsa-mir-1587	11.923	3	9	N
15	hsa-mir-372	20.293	3	17	N
16	hsa-mir-1260a	12.297	3	9	Y
17	hsa-mir-19b-1-5p	17.490	3	14	N
18	hsa-let-7a-3p	20.093	3	17	N
19	hsa-mir-183-3p	21.558	3	18	N
20	hsa-mir-1290	19.063	3	16	N
21	hsa-mir-628-3p	19.604	3	16	N
22	hsa-mir-92b-3p	19.964	3	17	N
23	hsa-mir-7-2-3p	20.918	3	18	N
24	hsa-mir-144-5p	23.648	3	20	N
25	hsa-mir-3610	12.737	3	10	N
26	hsa-mir-199b-5p	23.766	3	20	N
27	hsa-mir-1286	18.046	3	15	N
28	hsa-mir-497-5p	18.223	3	15	N
29	hsa-mir-18b-5p	21.369	3	18	N
30	hsa-mir-214-3p	18.151	3	15	N
31	hsa-mir-34a-5p	19.543	3	16	N
32	hsa-mir-4732-5p	17.180	3	14	N
33	hsa-mir-660-5p	18.444	3	15	N
34	hsa-mir-3120-3p	19.867	3	17	N
35	hsa-mir-151b	15.689	3	12	N
36	hsa-mir-423-5p	15.311	3	12	N
37	hsa-mir-4687-5p	14.895	3	12	N
38	hsa-mir-93-3p	18.500	3	15	N
39	hsa-mir-2276	19.083	3	16	N
40	hsa-mir-33a-5p	23.526	3	20	N
41	hsa-mir-150-5p	19.663	3	16	N
42	hsa-mir-21-5p	11.984	3	9	N
43	hsa-mir-329	20.835	3	18	N
44	hsa-mir-550a-5p	20.032	3	17	N
45	hsa-mir-378b	16.868	3	14	N
46	hsa-mir-28-5p	18.742	3	16	N
47	hsa-mir-138-1-3p	13.420	3	10	N
48	hsa-mir-193a-5p	17.616	3	15	N
49	hsa-mir-26b-3p	20.737	3	18	N
50	hsa-mir-16-2-3p	21.663	3	19	N
51	hsa-mir-146a-5p	19.700	3	17	N
52	hsa-mir-3200-3p	22.595	3	19	N
53	hsa-mir-21-3p	20.304	3	17	N
54	hsa-let-7g-5p	21.080	3	18	N
55	hsa-mir-338-3p	23.342	3	20	N
56	hsa-mir-2110	17.474	3	14	N
57	hsa-mir-3200-5p	18.044	3	15	N
58	hsa-mir-196b-5p	19.517	3	16	N
59	hsa-mir-769-5p	18.835	3	16	N
60	hsa-mir-29c-3p	15.037	3	12	N
61	hsa-mir-4651	14.994	3	12	N
62	hsa-mir-127-3p	19.093	3	16	N
63	hsa-mir-29c-5p	20.961	3	18	Y
64	hsa-mir-181b-5p	18.956	3	16	N
65	hsa-mir-1180	19.236	3	16	N
66	hsa-mir-133b	21.253	3	18	N
67	hsa-mir-324-3p	14.836	3	12	N
68	hsa-mir-3235b	13.365	3	10	N
69	hsa-mir-502-3p	20.608	3	17	N
70	hsa-mir-3655	19.328	3	16	N
71	hsa-mir-130b-5p	22.575	3	19	N
72	hsa-mir-324-5p	19.510	3	16	N
73	hsa-mir-373-3p	21.432	3	18	N
74	hsa-mir-3646	12.259	3	9	N
75	hsa-mir-1	21.355	3	18	N
76	hsa-mir-3907	15.109	3	12	N
77	hsa-mir-422a	18.322	3	15	N
78	hsa-mir-338-5p	17.818	3	15	Y
79	hsa-mir-631	14.952	3	12	Y
80	hsa-mir-143-3p	21.006	3	18	N
81	hsa-mir-627	21.382	3	18	N
82	hsa-let-7i-3p	19.964	3	17	N
83	hsa-mir-451a	13.150	3	10	N
84	hsa-mir-29b-3p	20.998	3	18	N
85	hsa-mir-194-5p	13.189	3	10	N
86	hsa-mir-605	17.293	3	14	N
87	hsa-mir-30b-5p	19.206	3	16	N
88	hsa-mir-199a-5p	21.273	3	18	N
89	hsa-mir-125a-5p	19.472	3	16	N
90	hsa-mir-376c-3p	23.236	3	20	N
91	hsa-mir-503-5p	20.431	3	17	N
92	hsa-mir-361-3p	24.313	3	21	N
93	hsa-mir-590-5p	21.813	3	19	N
94	hsa-mir-1207-5p	12.729	3	10	Y
95	hsa-mir-342-5p	21.332	3	18	Y
96	hsa-mir-1193	21.878	3	19	N
97	hsa-mir-624-5p	23.144	3	20	N
98	hsa-mir-4689	15.543	3	12	N
99	hsa-mir-139-3p	17.877	3	15	N
100	hsa-mir-4516	9.663	3	7	N
101	hsa-mir-1539	16.918	3	14	N
102	hsa-mir-377-3p	24.370	3	21	N
