* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006GGE
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\221.eds
* Experiment Name = _C3006GGE
* Experiment Run End Time = 2013-04-13 15:51:07 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	27.650	3	24	N
2	hsa-mir-let-7c	24.859	3	21	N
3	hsa-mir-3141	23.060	3	20	N
4	hsa-mir-184	30.108	3	27	N
5	hsa-mir-532-5p	26.409	3	23	N
6	hsa-mir-152	25.282	3	22	N
7	hsa-mir-1231	24.607	3	22	N
8	hsa-mir-3911	21.651	3	19	N
9	hsa-mir-223-5p	28.862	3	26	N
10	hsa-mir-1909-5p	23.474	3	20	N
11	hsa-mir-4291	24.571	3	21	N
12	hsa-mir-205-5p	26.074	3	23	N
13	hsa-mir-3651	27.038	3	24	N
14	hsa-mir-1587	19.461	3	16	N
15	hsa-mir-372	28.610	3	25	N
16	hsa-mir-1260a	18.400	3	15	N
17	hsa-mir-19b-1-5p	25.451	3	22	N
18	hsa-let-7a-3p	26.483	3	23	N
19	hsa-mir-183-3p	27.240	3	24	N
20	hsa-mir-1290	23.243	3	20	N
21	hsa-mir-628-3p	23.090	3	20	N
22	hsa-mir-92b-3p	26.459	3	23	N
23	hsa-mir-7-2-3p	24.136	3	21	N
24	hsa-mir-144-5p	23.964	3	21	N
25	hsa-mir-3610	21.582	3	18	N
26	hsa-mir-199b-5p	28.300	3	25	N
27	hsa-mir-1286	26.317	3	23	N
28	hsa-mir-497-5p	26.472	3	23	N
29	hsa-mir-18b-5p	29.126	3	26	N
30	hsa-mir-214-3p	26.389	3	23	N
31	hsa-mir-34a-5p	23.174	3	20	N
32	hsa-mir-4732-5p	23.935	3	21	N
33	hsa-mir-660-5p	23.901	3	21	N
34	hsa-mir-3120-3p	28.742	3	26	N
35	hsa-mir-151b	22.813	3	20	N
36	hsa-mir-423-5p	22.770	3	20	N
37	hsa-mir-4687-5p	19.386	3	16	N
38	hsa-mir-93-3p	26.450	3	23	N
39	hsa-mir-2276	24.395	3	21	N
40	hsa-mir-33a-5p	30.174	3	27	N
41	hsa-mir-150-5p	20.984	3	18	N
42	hsa-mir-21-5p	18.176	3	15	N
43	hsa-mir-329	27.466	3	24	N
44	hsa-mir-550a-5p	27.661	3	24	N
45	hsa-mir-378b	25.953	3	23	N
46	hsa-mir-28-5p	26.449	3	23	N
47	hsa-mir-138-1-3p	22.300	3	19	N
48	hsa-mir-193a-5p	23.153	3	20	N
