* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006GG9
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\_C3006GG9.eds
* Experiment Name = _C3006GG9
* Experiment Run End Time = 2013-04-13 03:13:57 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	23.905	3	21	N
2	hsa-mir-let-7c	23.984	3	21	N
3	hsa-mir-3141	17.232	3	14	N
4	hsa-mir-184	25.803	3	22	Y
5	hsa-mir-532-5p	23.424	3	20	N
6	hsa-mir-152	22.193	3	19	N
7	hsa-mir-1231	19.151	3	16	N
8	hsa-mir-3911	18.894	3	16	N
9	hsa-mir-223-5p	25.218	3	22	N
10	hsa-mir-1909-5p	17.620	3	14	N
11	hsa-mir-4291	19.577	3	16	N
12	hsa-mir-205-5p	23.696	3	20	N
13	hsa-mir-3651	23.080	3	20	N
14	hsa-mir-1587	14.412	3	11	Y
15	hsa-mir-372	22.986	3	20	N
16	hsa-mir-1260a	14.501	3	11	Y
17	hsa-mir-19b-1-5p	19.938	3	17	N
18	hsa-let-7a-3p	24.137	3	21	N
19	hsa-mir-183-3p	24.254	3	21	N
20	hsa-mir-1290	21.309	3	18	N
21	hsa-mir-628-3p	21.675	3	19	N
22	hsa-mir-92b-3p	23.379	3	20	N
23	hsa-mir-7-2-3p	23.271	3	20	N
24	hsa-mir-144-5p	23.511	3	20	N
25	hsa-mir-3610	17.288	3	14	N
26	hsa-mir-199b-5p	26.216	3	23	N
27	hsa-mir-1286	20.442	3	17	N
28	hsa-mir-497-5p	22.200	3	19	N
29	hsa-mir-18b-5p	23.974	3	21	N
30	hsa-mir-214-3p	20.658	3	17	N
31	hsa-mir-34a-5p	22.326	3	19	N
32	hsa-mir-4732-5p	19.724	3	17	N
