* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKO5
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\409.eds
* Experiment Name = _C300FKO5
* Experiment Run End Time = 2013-07-14 03:13:07 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	28.078	3	25	Y
2	hsa-mir-let-7c	25.194	3	22	N
3	hsa-mir-3141	22.488	3	19	N
4	hsa-mir-184	28.871	3	26	N
5	hsa-mir-532-5p	24.344	3	21	N
6	hsa-mir-152	23.926	3	21	N
7	hsa-mir-1231	22.105	3	19	N
8	hsa-mir-3911	23.548	3	20	N
9	hsa-mir-223-5p	26.104	3	23	N
10	hsa-mir-1909-5p	23.504	3	20	N
11	hsa-mir-4291	24.332	3	21	N
12	hsa-mir-205-5p	26.410	3	23	Y
13	hsa-mir-3651	26.263	3	23	Y
14	hsa-mir-1587	19.761	3	17	N
15	hsa-mir-372	28.618	3	25	N
16	hsa-mir-1260a	18.550	3	15	N
17	hsa-mir-19b-1-5p	25.771	3	23	N
18	hsa-let-7a-3p	24.896	3	22	N
19	hsa-mir-183-3p	29.808	3	27	Y
20	hsa-mir-1290	23.969	3	21	N
21	hsa-mir-628-3p	24.163	3	21	N
22	hsa-mir-92b-3p	26.723	3	23	N
23	hsa-mir-7-2-3p	21.709	3	18	N
24	hsa-mir-144-5p	23.579	3	20	N
25	hsa-mir-3610	19.741	3	17	N
26	hsa-mir-199b-5p	25.632	3	22	N
27	hsa-mir-1286	26.334	3	23	Y
28	hsa-mir-497-5p	25.832	3	23	N
29	hsa-mir-18b-5p	28.528	3	25	N
30	hsa-mir-214-3p	26.350	3	23	N
31	hsa-mir-34a-5p	21.747	3	19	N
32	hsa-mir-4732-5p	25.252	3	22	N
33	hsa-mir-660-5p	22.884	3	20	N
34	hsa-mir-3120-3p	26.272	3	23	Y
35	hsa-mir-151b	22.970	3	20	N
36	hsa-mir-423-5p	21.312	3	18	N
37	hsa-mir-4687-5p	22.418	3	19	N
38	hsa-mir-93-3p	25.423	3	22	N
39	hsa-mir-2276	24.300	3	21	N
