* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAS
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\476.eds
* Experiment Name = _C3009UAS
* Experiment Run End Time = 2013-06-25 19:51:37 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	23.182	3	20	N
2	hsa-mir-let-7c	22.350	3	19	N
3	hsa-mir-3141	16.242	3	13	N
4	hsa-mir-184	25.423	3	22	N
5	hsa-mir-532-5p	21.775	3	19	N
6	hsa-mir-152	18.476	3	15	N
7	hsa-mir-1231	18.700	3	16	N
8	hsa-mir-3911	17.819	3	14	N
9	hsa-mir-223-5p	24.232	3	21	N
10	hsa-mir-1909-5p	16.981	3	14	N
11	hsa-mir-4291	18.966	3	16	Y
12	hsa-mir-205-5p	18.294	3	15	N
13	hsa-mir-3651	22.131	3	19	N
14	hsa-mir-1587	13.099	3	10	N
15	hsa-mir-372	22.005	3	19	N
16	hsa-mir-1260a	13.950	3	10	Y
17	hsa-mir-19b-1-5p	19.140	3	16	N
18	hsa-let-7a-3p	20.797	3	18	N
19	hsa-mir-183-3p	23.414	3	20	N
20	hsa-mir-1290	21.149	3	18	N
21	hsa-mir-628-3p	20.716	3	17	N
22	hsa-mir-92b-3p	21.106	3	18	N
23	hsa-mir-7-2-3p	22.256	3	19	N
24	hsa-mir-144-5p	25.925	3	23	N
25	hsa-mir-3610	13.583	3	10	N
26	hsa-mir-199b-5p	22.392	3	19	N
27	hsa-mir-1286	19.914	3	17	N
28	hsa-mir-497-5p	17.067	3	14	N
29	hsa-mir-18b-5p	23.222	3	20	N
30	hsa-mir-214-3p	19.184	3	16	N
31	hsa-mir-34a-5p	20.293	3	17	N
32	hsa-mir-4732-5p	19.417	3	16	N
33	hsa-mir-660-5p	18.227	3	15	N
34	hsa-mir-3120-3p	21.869	3	19	N
