* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UA6
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\545.eds
* Experiment Name = _C3009UA6
* Experiment Run End Time = 2013-06-26 04:01:55 AM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	23.485	3	20	N
2	hsa-mir-let-7c	23.834	3	21	N
3	hsa-mir-3141	16.415	3	13	N
4	hsa-mir-184	25.321	3	22	Y
5	hsa-mir-532-5p	22.775	3	20	N
6	hsa-mir-152	20.952	3	18	N
7	hsa-mir-1231	18.696	3	16	N
8	hsa-mir-3911	19.068	3	16	N
9	hsa-mir-223-5p	24.475	3	21	N
10	hsa-mir-1909-5p	17.198	3	14	N
11	hsa-mir-4291	19.135	3	16	N
12	hsa-mir-205-5p	23.659	3	20	N
13	hsa-mir-3651	22.328	3	19	N
14	hsa-mir-1587	13.966	3	11	N
15	hsa-mir-372	22.399	3	19	N
16	hsa-mir-1260a	14.354	3	11	N
17	hsa-mir-19b-1-5p	19.758	3	17	N
18	hsa-let-7a-3p	22.164	3	19	N
19	hsa-mir-183-3p	23.185	3	20	N
20	hsa-mir-1290	19.917	3	17	N
21	hsa-mir-628-3p	20.245	3	17	N
22	hsa-mir-92b-3p	22.269	3	19	N
23	hsa-mir-7-2-3p	21.981	3	19	N
24	hsa-mir-144-5p	25.841	3	23	N
25	hsa-mir-3610	18.801	3	15	N
26	hsa-mir-199b-5p	25.899	3	23	N
27	hsa-mir-1286	19.998	3	17	N
28	hsa-mir-497-5p	21.900	3	19	N
29	hsa-mir-18b-5p	23.270	3	20	N
30	hsa-mir-214-3p	20.239	3	17	N
31	hsa-mir-34a-5p	21.761	3	19	N
32	hsa-mir-4732-5p	19.087	3	16	N
