* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-17 PP09021 B.eds
* Experiment Name = 2012-07-17 PP09021 B
* Experiment Run End Time = 2012-07-17 19:01:46 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	28.569	28.569	N	N	N	N
2	hsa-miR-548I-002909	17.538	17.538	N	Y	N	Y
3	hsa-miR-30a-3p-000416	24.390	24.390	N	N	N	N
4	hsa-miR-30a-5p-000417	19.354	19.354	N	N	N	N
5	hsa-miR-30d-000420	20.801	20.801	N	N	N	N
6	hsa-miR-30e-3p-000422	22.433	22.433	N	N	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	Y	Y
8	hsa-miR-126#-000451	21.140	21.140	N	N	N	N
9	hsa-miR-154#-000478	31.885	31.885	N	N	N	N
10	hsa-miR-182#-000483	Undetermined		N	Y	Y	Y
11	U6 snRNA-001973	25.086	25.092	N	N	N	N
12	U6 snRNA-001973	25.053	25.092	N	N	N	N
13	hsa-miR-206-000510	29.710	29.710	N	N	N	N
14	hsa-miR-213-000516	28.317	28.317	N	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	Y	Y	Y
17	hsa-miR-378-000567	30.424	30.424	N	N	N	N
18	hsa-miR-380-5p-000570	30.931	30.931	N	N	N	N
19	hsa-miR-1257-002910	Undetermined		N	Y	Y	Y
20	hsa-miR-200a#-001011	Undetermined		N	Y	Y	Y
21	hsa-miR-432-001026	22.238	22.238	N	N	N	N
22	hsa-miR-432#-001027	32.568	32.568	N	N	N	Y
23	hsa-miR-497-001043	28.269	28.269	N	N	N	N
24	hsa-miR-500-001046	29.395	29.395	N	N	N	N
25	hsa-miR-1238-002927	30.467	30.467	N	N	N	Y
26	hsa-miR-488-001106	Undetermined		N	Y	Y	Y
27	hsa-miR-517#-001113	Undetermined		N	Y	Y	Y
28	hsa-miR-516-3p-001149	34.956	34.956	N	N	N	N
29	hsa-miR-518c#-001158	Undetermined		N	Y	Y	Y
30	hsa-miR-519e#-001166	Undetermined		N	Y	Y	Y
31	hsa-miR-520h-001170	Undetermined		N	N	Y	Y
32	hsa-miR-524-001173	Undetermined		N	N	Y	Y
33	mmu-let-7d#-001178	23.411	23.411	N	N	N	N
34	hsa-miR-363#-001283	30.309	30.309	N	N	N	N
35	U6 snRNA-001973	25.173	25.092	N	N	N	N
36	U6 snRNA-001973	25.054	25.092	N	N	N	N
37	rno-miR-7#-001338	22.224	22.224	N	N	N	N
38	hsa-miR-656-001510	27.929	27.929	N	N	N	N
39	hsa-miR-549-001511	Undetermined		N	N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	N	Y	Y
41	hsa-miR-658-001513	Undetermined		N	Y	Y	Y
42	hsa-miR-659-001514	Undetermined		N	Y	Y	Y
43	hsa-miR-551a-001519	Undetermined		N	Y	Y	Y
44	hsa-miR-552-001520	33.408	33.408	N	N	N	Y
45	hsa-miR-553-001521	Undetermined		N	Y	Y	Y
46	hsa-miR-554-001522	Undetermined		N	Y	Y	Y
47	hsa-miR-555-001523	Undetermined		N	Y	Y	Y
48	hsa-miR-557-001525	Undetermined		N	Y	Y	Y
49	hsa-miR-558-001526	Undetermined		N	N	Y	Y
50	hsa-miR-559-001527	Undetermined		N	N	Y	Y
51	hsa-miR-562-001529	Undetermined		N	Y	Y	Y
52	hsa-miR-563-001530	Undetermined		N	Y	Y	Y
53	hsa-miR-564-001531	Undetermined		N	N	Y	Y
54	hsa-miR-566-001533	Undetermined		N	N	Y	Y
55	hsa-miR-567-001534	Undetermined		N	N	Y	Y
56	hsa-miR-569-001536	Undetermined		N	Y	Y	Y
57	hsa-miR-586-001539	Undetermined		N	N	Y	Y
58	hsa-miR-587-001540	Undetermined		N	N	Y	Y
59	RNU44-001094	Undetermined		N	N	Y	Y
60	hsa-miR-588-001542	Undetermined		N	Y	Y	Y
61	hsa-miR-589-001543	28.442	28.442	N	N	N	N
62	hsa-miR-550-001544	30.094	30.094	N	N	N	N
63	hsa-miR-591-001545	Undetermined		N	Y	Y	Y
64	hsa-miR-592-001546	32.869	32.869	N	N	N	N
65	hsa-miR-593-001547	Undetermined		N	Y	Y	Y
66	hsa-miR-596-001550	Undetermined		N	N	Y	Y
67	hsa-miR-622-001553	Undetermined		N	Y	Y	Y
68	hsa-miR-599-001554	Undetermined		N	Y	Y	Y
69	hsa-miR-623-001555	35.088	35.088	N	N	N	N
70	hsa-miR-600-001556	Undetermined		N	Y	Y	Y
71	hsa-miR-624-001557	Undetermined		N	N	Y	Y
72	hsa-miR-601-001558	32.448	32.448	N	N	N	N
73	hsa-miR-626-001559	Undetermined		N	Y	Y	Y
74	hsa-miR-629-001562	27.058	27.058	N	N	N	N
75	hsa-miR-630-001563	35.282	35.282	N	N	N	Y
76	hsa-miR-631-001564	Undetermined		N	Y	N	Y
77	hsa-miR-603-001566	Undetermined		N	Y	Y	Y
78	hsa-miR-604-001567	35.345	35.345	Y	N	N	N
79	hsa-miR-605-001568	31.952	31.952	N	N	N	N
80	hsa-miR-606-001569	Undetermined		N	Y	Y	Y
81	hsa-miR-607-001570	Undetermined		N	Y	Y	Y
82	hsa-miR-608-001571	Undetermined		N	N	Y	Y
83	hsa-miR-609-001573	Undetermined		N	Y	Y	Y
84	hsa-miR-633-001574	Undetermined		N	Y	Y	Y
85	hsa-miR-634-001576	Undetermined		N	Y	Y	Y
86	hsa-miR-635-001578	Undetermined		N	Y	Y	Y
87	hsa-miR-637-001581	Undetermined		N	Y	Y	Y
88	hsa-miR-638-001582	29.654	29.654	N	N	N	N
89	hsa-miR-639-001583	30.495	30.495	N	N	N	Y
90	hsa-miR-640-001584	Undetermined		N	Y	Y	Y
91	hsa-miR-641-001585	Undetermined		N	Y	Y	Y
92	hsa-miR-613-001586	Undetermined		N	Y	Y	Y
93	hsa-miR-614-001587	Undetermined		N	Y	Y	Y
94	hsa-miR-616-001589	30.917	30.917	N	N	N	N
95	hsa-miR-617-001591	Undetermined		N	Y	Y	Y
96	hsa-miR-643-001594	29.645	29.645	N	N	N	Y
97	hsa-miR-644-001596	Undetermined		N	Y	Y	Y
98	hsa-miR-645-001597	Undetermined		N	N	Y	Y
99	hsa-miR-621-001598	Undetermined		N	Y	Y	Y
100	hsa-miR-646-001599	Undetermined		N	N	Y	Y
101	hsa-miR-647-001600	Undetermined		N	Y	Y	Y
102	hsa-miR-648-001601	Undetermined		N	N	Y	Y
103	hsa-miR-649-001602	Undetermined		N	Y	Y	Y
104	hsa-miR-650-001603	Undetermined		N	N	Y	Y
105	hsa-miR-661-001606	26.519	26.519	N	N	N	N
106	hsa-miR-662-001607	Undetermined		N	N	Y	Y
107	RNU48-001006	Undetermined		N	Y	Y	Y
108	hsa-miR-571-001613	28.530	28.530	N	N	N	Y
109	hsa-miR-572-001614	Undetermined		N	N	Y	Y
110	hsa-miR-573-001615	Undetermined		N	N	Y	Y
111	hsa-miR-575-001617	Undetermined		N	N	Y	Y
112	hsa-miR-578-001619	Undetermined		N	Y	Y	Y
113	hsa-miR-580-001621	Undetermined		N	N	Y	Y
114	hsa-miR-581-001622	Undetermined		N	Y	Y	Y
115	hsa-miR-583-001623	Undetermined		N	N	Y	Y
116	hsa-miR-584-001624	25.495	25.495	N	N	N	N
117	hsa-miR-585-001625	Undetermined		N	Y	Y	Y
118	rno-miR-29c#-001818	28.227	28.227	N	N	N	N
119	hsa-miR-766-001986	20.485	20.485	N	N	N	N
120	hsa-miR-595-001987	Undetermined		N	Y	Y	Y
121	hsa-miR-668-001992	33.874	33.874	N	N	N	N
122	hsa-miR-767-5p-001993	Undetermined		N	Y	Y	Y
123	hsa-miR-767-3p-001995	Undetermined		N	Y	Y	Y
124	hsa-miR-454#-001996	28.095	28.095	N	N	N	N
125	hsa-miR-769-5p-001998	25.076	25.076	N	N	N	N
126	hsa-miR-770-5p-002002	29.020	29.020	N	N	N	Y
127	hsa-miR-769-3p-002003	Undetermined		N	Y	Y	Y
128	hsa-miR-802-002004	Undetermined		N	Y	Y	Y
129	hsa-miR-675-002005	Undetermined		N	Y	Y	Y
130	hsa-miR-505#-002087	26.608	26.608	N	N	N	N
131	hsa-miR-218-1#-002094	Undetermined		N	Y	Y	Y
132	hsa-miR-221#-002096	31.147	31.147	N	N	N	N
133	hsa-miR-222#-002097	28.795	28.795	N	N	N	Y
134	hsa-miR-223#-002098	22.874	22.874	N	N	N	N
135	hsa-miR-136#-002100	25.388	25.388	N	N	N	N
136	hsa-miR-34b-002102	28.236	28.236	N	N	N	Y
