* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-12PP09025Panel A.eds
* Experiment Name = 2012-03-12P09025A
* Experiment Run End Time = 2012-03-12 14:58:02 PM EDT
* Experiment Type = Standard Curve
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	33.183	N	N
2	hsa-let-7c-4373167	26.244	N	N
3	hsa-let-7d-4395394	25.347	N	N
4	hsa-let-7e-4395517	26.033	N	N
5	hsa-let-7f-4373164	Undetermined	N	Y
6	hsa-let-7g-4395393	25.852	N	N
7	hsa-miR-1-4395333	28.271	N	N
8	hsa-miR-9-4373285	Undetermined	Y	Y
9	hsa-miR-10a-4373153	33.989	N	N
10	hsa-miR-10b-4395329	Undetermined	N	N
11	MammU6-4395470	31.459	N	N
12	MammU6-4395470	31.755	N	N
13	hsa-miR-15a-4373123	Undetermined	N	Y
14	hsa-miR-15b-4373122	26.321	N	N
15	hsa-miR-16-4373121	20.022	N	N
16	hsa-miR-17-4395419	15.517	N	N
17	hsa-miR-18a-4395533	23.168	N	N
18	hsa-miR-18b-4395328	33.117	N	N
19	hsa-miR-19a-4373099	20.334	N	N
20	hsa-miR-19b-4373098	14.763	N	N
21	hsa-miR-20a-4373286	16.422	N	N
22	hsa-miR-20b-4373263	19.758	N	N
23	hsa-miR-21-4373090	20.887	N	N
24	hsa-miR-22-4373079	34.105	N	N
25	hsa-miR-23a-4373074	Undetermined	N	N
26	hsa-miR-23b-4373073	Undetermined	N	Y
27	hsa-miR-24-4373072	15.806	N	N
28	hsa-miR-25-4373071	20.254	N	N
29	hsa-miR-26a-4395166	20.963	N	N
30	hsa-miR-26b-4395167	21.299	N	N
31	hsa-miR-27a-4373287	19.952	N	N
32	hsa-miR-27b-4373068	21.412	N	N
33	hsa-miR-28-3p-4395557	22.012	N	N
34	hsa-miR-28-5p-4373067	25.953	N	N
35	MammU6-4395470	31.560	N	N
36	MammU6-4395470	31.170	N	N
37	hsa-miR-29a-4395223	22.415	N	N
38	hsa-miR-29b-4373288	Undetermined	Y	Y
39	hsa-miR-29c-4395171	25.213	N	N
40	hsa-miR-30b-4373290	22.624	N	N
41	hsa-miR-30c-4373060	20.676	N	N
42	hsa-miR-31-4395390	Undetermined	N	N
43	hsa-miR-32-4395220	33.861	N	N
44	hsa-miR-33b-4395196	Undetermined	Y	Y
45	hsa-miR-34a-4395168	26.794	N	N
46	hsa-miR-34c-5p-4373036	Undetermined	Y	Y
47	hsa-miR-92a-4395169	18.623	N	N
48	hsa-miR-93-4373302	19.991	N	N
49	hsa-miR-95-4373011	Undetermined	N	Y
50	hsa-miR-96-4373372	Undetermined	Y	N
51	hsa-miR-98-4373009	Undetermined	Y	Y
52	hsa-miR-99a-4373008	38.029	N	N
53	hsa-miR-99b-4373007	25.752	N	N
54	hsa-miR-100-4373160	30.335	N	N
55	hsa-miR-101-4395364	25.151	N	N
56	hsa-miR-103-4373158	27.636	N	N
57	hsa-miR-105-4395278	Undetermined	Y	Y
58	hsa-miR-106a-4395280	15.439	N	N
59	RNU44-4373384	Undetermined	Y	Y
60	hsa-miR-106b-4373155	20.850	N	N
61	hsa-miR-107-4373154	36.863	N	N
62	hsa-miR-122-4395356	21.173	N	N
63	hsa-miR-124-4373295	Undetermined	Y	Y
64	hsa-miR-125a-3p-4395310	39.174	N	N
65	hsa-miR-125a-5p-4395309	24.552	N	N
66	hsa-miR-125b-4373148	26.115	N	N
67	hsa-miR-126-4395339	16.297	N	N
68	hsa-miR-127-3p-4373147	22.143	N	N
69	hsa-miR-127-5p-4395340	Undetermined	Y	Y
70	hsa-miR-128-4395327	25.364	N	N
71	hsa-miR-129-3p-4373297	Undetermined	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined	Y	Y
73	hsa-miR-130a-4373145	21.948	N	N
74	hsa-miR-130b-4373144	25.529	N	N
75	hsa-miR-132-4373143	22.267	N	N
76	hsa-miR-133a-4395357	21.481	N	N
77	hsa-miR-133b-4395358	29.596	N	N
78	hsa-miR-134-4373299	23.185	N	N
79	hsa-miR-135a-4373140	Undetermined	N	N
80	hsa-miR-135b-4395372	Undetermined	N	Y
81	hsa-miR-136-4373173	Undetermined	N	N
82	hsa-miR-137-4373301	Undetermined	Y	Y
83	hsa-miR-138-4395395	28.966	N	N
