* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-08P09026 card A.eds
* Experiment Name = 2012-03-08P09026 card A
* Experiment Run End Time = 2012-03-08 21:47:49 PM EST
* Experiment Type = Standard Curve
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	31.039	N	N
2	hsa-let-7c-4373167	25.341	N	N
3	hsa-let-7d-4395394	24.481	N	N
4	hsa-let-7e-4395517	25.482	N	N
5	hsa-let-7f-4373164	Undetermined	N	Y
6	hsa-let-7g-4395393	24.345	N	N
7	hsa-miR-1-4395333	30.181	N	N
8	hsa-miR-9-4373285	Undetermined	N	Y
9	hsa-miR-10a-4373153	28.207	N	N
10	hsa-miR-10b-4395329	36.531	N	N
11	MammU6-4395470	30.112	N	N
12	MammU6-4395470	30.274	N	N
13	hsa-miR-15a-4373123	Undetermined	N	N
14	hsa-miR-15b-4373122	24.652	N	N
15	hsa-miR-16-4373121	19.199	N	N
16	hsa-miR-17-4395419	15.405	N	N
17	hsa-miR-18a-4395533	23.272	N	N
18	hsa-miR-18b-4395328	31.880	N	N
19	hsa-miR-19a-4373099	19.582	N	N
20	hsa-miR-19b-4373098	14.687	N	N
21	hsa-miR-20a-4373286	15.848	N	N
22	hsa-miR-20b-4373263	20.291	N	N
23	hsa-miR-21-4373090	21.065	N	N
24	hsa-miR-22-4373079	34.569	N	N
25	hsa-miR-23a-4373074	32.745	N	N
26	hsa-miR-23b-4373073	Undetermined	N	Y
27	hsa-miR-24-4373072	16.160	N	N
28	hsa-miR-25-4373071	19.705	N	N
29	hsa-miR-26a-4395166	20.353	N	N
30	hsa-miR-26b-4395167	20.272	N	N
31	hsa-miR-27a-4373287	20.544	N	N
