* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAW
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\18.eds
* Experiment Name = _C3009UAW
* Experiment Run End Time = 2013-04-26 21:56:20 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP	EXPFAIL	MTP
1	hsa-mir-495-3p	28.305	3	25	N	N	N
2	hsa-mir-let-7c	23.219	3	20	N	N	N
3	hsa-mir-3141	27.754	3	25	N	N	Y
4	hsa-mir-184	33.376	3	30	N	N	N
5	hsa-mir-532-5p	28.062	3	25	N	N	Y
6	hsa-mir-152	26.704	3	24	N	N	N
7	hsa-mir-1231	29.841	3	27	N	N	N
8	hsa-mir-3911	26.728	3	24	N	N	N
9	hsa-mir-223-5p	25.733	3	23	N	N	N
10	hsa-mir-1909-5p	28.856	3	26	N	N	Y
11	hsa-mir-4291	29.463	3	26	N	N	N
12	hsa-mir-205-5p	Undetermined	3	39	Y	Y	N
13	hsa-mir-3651	33.535	3	30	N	N	N
14	hsa-mir-1587	24.182	3	21	N	N	Y
15	hsa-mir-372	33.357	3	30	N	N	N
16	hsa-mir-1260a	24.207	3	21	N	N	N
17	hsa-mir-19b-1-5p	30.522	3	27	N	N	N
18	hsa-let-7a-3p	26.331	3	23	N	N	N
19	hsa-mir-183-3p	29.095	3	26	N	N	N
20	hsa-mir-1290	27.000	3	24	N	N	N
21	hsa-mir-628-3p	22.484	3	19	N	N	N
22	hsa-mir-92b-3p	27.138	3	24	N	N	N
23	hsa-mir-7-2-3p	23.720	3	20	N	N	N
24	hsa-mir-144-5p	24.958	3	22	N	N	N
25	hsa-mir-3610	25.842	3	23	N	N	N
26	hsa-mir-199b-5p	36.425	3	33	N	N	N
27	hsa-mir-1286	32.399	3	29	N	N	N
28	hsa-mir-497-5p	31.152	3	28	N	N	N
29	hsa-mir-18b-5p	34.285	3	31	N	N	N
30	hsa-mir-214-3p	27.800	3	25	N	N	N
31	hsa-mir-34a-5p	25.063	3	22	N	N	N
32	hsa-mir-4732-5p	27.023	3	24	N	N	N
33	hsa-mir-660-5p	27.802	3	25	N	N	N
34	hsa-mir-3120-3p	33.985	3	31	N	N	N
35	hsa-mir-151b	23.904	3	21	N	N	N
36	hsa-mir-423-5p	21.041	3	18	N	N	N
37	hsa-mir-4687-5p	22.482	3	19	N	N	N
38	hsa-mir-93-3p	29.548	3	26	N	N	N
39	hsa-mir-2276	28.101	3	25	N	N	N
40	hsa-mir-33a-5p	Undetermined	3	39	Y	Y	N
41	hsa-mir-150-5p	21.963	3	19	N	N	N
42	hsa-mir-21-5p	17.802	3	15	N	N	N
43	hsa-mir-329	31.458	3	28	N	N	N
44	hsa-mir-550a-5p	28.935	3	26	N	N	N
45	hsa-mir-378b	28.470	3	25	N	N	Y
46	hsa-mir-28-5p	29.803	3	27	N	N	N
47	hsa-mir-138-1-3p	28.934	3	26	N	N	N
48	hsa-mir-193a-5p	26.222	3	23	N	N	N
49	hsa-mir-26b-3p	29.284	3	26	N	N	N
50	hsa-mir-16-2-3p	26.763	3	24	N	N	N
51	hsa-mir-146a-5p	23.314	3	20	N	N	N
52	hsa-mir-3200-3p	33.075	3	30	N	N	N
53	hsa-mir-21-3p	33.157	3	30	N	N	N
54	hsa-let-7g-5p	24.820	3	22	N	N	N
55	hsa-mir-338-3p	30.612	3	27	N	N	N
56	hsa-mir-2110	29.296	3	26	N	N	N
