* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIZ
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\113.eds
* Experiment Name = _C300FKIZ
* Experiment Run End Time = 2013-07-11 17:49:23 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
1	hsa-mir-495-3p	25.715	3	23	N
2	hsa-mir-let-7c	24.614	3	21	N
3	hsa-mir-3141	24.269	3	21	N
4	hsa-mir-184	27.458	3	24	N
5	hsa-mir-532-5p	25.713	3	23	N
6	hsa-mir-152	23.361	3	20	N
7	hsa-mir-1231	24.839	3	22	N
8	hsa-mir-3911	25.383	3	22	N
9	hsa-mir-223-5p	24.938	3	22	N
10	hsa-mir-1909-5p	24.989	3	22	N
11	hsa-mir-4291	23.520	3	20	N
12	hsa-mir-205-5p	22.844	3	20	N
13	hsa-mir-3651	26.098	3	23	N
14	hsa-mir-1587	20.850	3	18	N
15	hsa-mir-372	29.703	3	26	N
16	hsa-mir-1260a	19.839	3	17	N
17	hsa-mir-19b-1-5p	28.297	3	25	N
18	hsa-let-7a-3p	24.952	3	22	N
19	hsa-mir-183-3p	28.702	3	26	N
20	hsa-mir-1290	29.404	3	26	N
21	hsa-mir-628-3p	23.889	3	21	N
22	hsa-mir-92b-3p	23.815	3	21	N
23	hsa-mir-7-2-3p	23.949	3	21	N
24	hsa-mir-144-5p	23.586	3	20	N
25	hsa-mir-3610	21.049	3	18	N
26	hsa-mir-199b-5p	24.462	3	21	N
27	hsa-mir-1286	27.929	3	25	N
28	hsa-mir-497-5p	24.735	3	21	N
29	hsa-mir-18b-5p	27.488	3	24	N
30	hsa-mir-214-3p	26.081	3	23	N
31	hsa-mir-34a-5p	23.017	3	20	N
32	hsa-mir-4732-5p	25.826	3	23	N
33	hsa-mir-660-5p	22.316	3	19	N
34	hsa-mir-3120-3p	27.985	3	25	N
35	hsa-mir-151b	20.680	3	18	N
36	hsa-mir-423-5p	19.399	3	16	N
37	hsa-mir-4687-5p	23.620	3	20	N
38	hsa-mir-93-3p	25.284	3	22	N
39	hsa-mir-2276	25.811	3	23	N
40	hsa-mir-33a-5p	24.815	3	22	N
41	hsa-mir-150-5p	20.625	3	18	N
42	hsa-mir-21-5p	17.600	3	14	N
43	hsa-mir-329	27.474	3	24	N
44	hsa-mir-550a-5p	27.623	3	24	N
45	hsa-mir-378b	23.135	3	20	N
46	hsa-mir-28-5p	24.164	3	21	N
47	hsa-mir-138-1-3p	23.602	3	20	N
48	hsa-mir-193a-5p	24.979	3	22	N
49	hsa-mir-26b-3p	25.465	3	22	N
50	hsa-mir-16-2-3p	24.396	3	21	N
51	hsa-mir-146a-5p	19.967	3	17	N
52	hsa-mir-3200-3p	26.335	3	23	N
53	hsa-mir-21-3p	28.663	3	26	N
54	hsa-let-7g-5p	20.775	3	18	N
55	hsa-mir-338-3p	24.281	3	21	N
56	hsa-mir-2110	27.063	3	24	N
57	hsa-mir-3200-5p	23.877	3	21	N
58	hsa-mir-196b-5p	26.951	3	24	N
59	hsa-mir-769-5p	27.781	3	25	N
60	hsa-mir-29c-3p	19.753	3	17	N
61	hsa-mir-4651	22.323	3	19	N
62	hsa-mir-127-3p	26.196	3	23	N
63	hsa-mir-29c-5p	25.886	3	23	N
64	hsa-mir-181b-5p	21.702	3	19	N
65	hsa-mir-1180	25.143	3	22	N
66	hsa-mir-133b	26.389	3	23	N
67	hsa-mir-324-3p	23.154	3	20	N
68	hsa-mir-3235b	22.604	3	19	N
69	hsa-mir-502-3p	27.895	3	25	N
70	hsa-mir-3655	28.245	3	25	N
71	hsa-mir-130b-5p	28.100	3	25	N
72	hsa-mir-324-5p	24.507	3	21	N
73	hsa-mir-373-3p	27.367	3	24	N
74	hsa-mir-3646	24.924	3	22	N
75	hsa-mir-1	19.895	3	17	N
76	hsa-mir-3907	20.331	3	17	N
77	hsa-mir-422a	24.864	3	22	N
78	hsa-mir-338-5p	27.683	3	24	N
79	hsa-mir-631	24.550	3	21	N
80	hsa-mir-143-3p	22.569	3	19	N
81	hsa-mir-627	27.010	3	24	N
82	hsa-let-7i-3p	29.263	3	26	N
83	hsa-mir-451a	12.103	3	9	N
84	hsa-mir-29b-3p	23.884	3	21	N
85	hsa-mir-194-5p	22.984	3	20	N
86	hsa-mir-605	26.557	3	23	N
87	hsa-mir-30b-5p	22.329	3	19	N
88	hsa-mir-199a-5p	23.130	3	20	N
89	hsa-mir-125a-5p	21.989	3	19	N
90	hsa-mir-376c-3p	24.892	3	22	N
91	hsa-mir-503-5p	24.928	3	22	N
92	hsa-mir-361-3p	27.866	3	25	N
93	hsa-mir-590-5p	24.878	3	22	N
94	hsa-mir-1207-5p	22.581	3	19	N
95	hsa-mir-342-5p	27.805	3	25	N
96	hsa-mir-1193	27.587	3	24	N
97	hsa-mir-624-5p	26.865	3	24	N
98	hsa-mir-4689	24.040	3	21	N
99	hsa-mir-139-3p	26.605	3	23	N
100	hsa-mir-4516	12.500	3	9	N
101	hsa-mir-1539	26.812	3	24	N
102	hsa-mir-377-3p	30.910	3	28	N
103	hsa-mir-130a-3p	22.786	3	20	N
104	hsa-mir-4323	24.763	3	21	N
105	hsa-mir-339-5p	24.881	3	22	N
106	hsa-mir-501-5p	29.275	3	26	N
107	hsa-mir-132-3p	25.229	3	22	N
108	hsa-mir-29a-3p	20.577	3	17	N
109	hsa-mir-22-5p	23.877	3	21	N
110	hsa-mir-596	24.708	3	21	N
