* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3006BRB
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\251.eds
* Experiment Name = _C3006BRB
* Experiment Run End Time = 2013-04-13 19:40:38 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	24.640	3	22	N
2	hsa-mir-let-7c	24.271	3	21	N
3	hsa-mir-3141	23.587	3	20	N
4	hsa-mir-184	30.229	3	27	N
5	hsa-mir-532-5p	26.970	3	24	Y
6	hsa-mir-152	23.409	3	20	N
7	hsa-mir-1231	25.038	3	22	N
8	hsa-mir-3911	23.144	3	20	N
9	hsa-mir-223-5p	24.471	3	21	N
10	hsa-mir-1909-5p	23.895	3	21	N
11	hsa-mir-4291	24.201	3	21	N
12	hsa-mir-205-5p	27.230	3	24	N
13	hsa-mir-3651	26.174	3	23	N
14	hsa-mir-1587	20.302	3	17	Y
15	hsa-mir-372	29.169	3	26	N
16	hsa-mir-1260a	19.692	3	16	N
17	hsa-mir-19b-1-5p	25.750	3	23	Y
18	hsa-let-7a-3p	23.980	3	21	N
19	hsa-mir-183-3p	27.248	3	24	N
20	hsa-mir-1290	26.257	3	23	N
21	hsa-mir-628-3p	22.722	3	19	N
22	hsa-mir-92b-3p	25.392	3	22	N
23	hsa-mir-7-2-3p	23.603	3	20	N
24	hsa-mir-144-5p	22.794	3	20	N
25	hsa-mir-3610	22.530	3	19	N
26	hsa-mir-199b-5p	27.677	3	25	N
27	hsa-mir-1286	27.403	3	24	Y
28	hsa-mir-497-5p	28.451	3	25	N
29	hsa-mir-18b-5p	28.185	3	25	Y
30	hsa-mir-214-3p	26.224	3	23	N
31	hsa-mir-34a-5p	22.742	3	19	N
32	hsa-mir-4732-5p	25.908	3	23	N
33	hsa-mir-660-5p	22.557	3	19	N
34	hsa-mir-3120-3p	26.944	3	24	Y
35	hsa-mir-151b	20.987	3	18	N
36	hsa-mir-423-5p	19.586	3	16	N
37	hsa-mir-4687-5p	19.657	3	16	N
38	hsa-mir-93-3p	25.887	3	23	N
39	hsa-mir-2276	24.232	3	21	Y
40	hsa-mir-33a-5p	28.563	3	25	Y
41	hsa-mir-150-5p	20.579	3	17	N
42	hsa-mir-21-5p	16.429	3	13	N
43	hsa-mir-329	25.647	3	23	N
44	hsa-mir-550a-5p	27.373	3	24	N
45	hsa-mir-378b	24.800	3	22	N
46	hsa-mir-28-5p	25.225	3	22	N
47	hsa-mir-138-1-3p	22.805	3	20	N
48	hsa-mir-193a-5p	23.728	3	20	N
49	hsa-mir-26b-3p	26.384	3	23	N
50	hsa-mir-16-2-3p	24.599	3	21	N
51	hsa-mir-146a-5p	19.874	3	17	N
52	hsa-mir-3200-3p	26.755	3	23	N
53	hsa-mir-21-3p	28.884	3	26	N
54	hsa-let-7g-5p	21.407	3	18	N
55	hsa-mir-338-3p	27.086	3	24	N
56	hsa-mir-2110	26.339	3	23	N
57	hsa-mir-3200-5p	24.214	3	21	N
58	hsa-mir-196b-5p	26.317	3	23	Y
59	hsa-mir-769-5p	26.996	3	24	N
60	hsa-mir-29c-3p	20.629	3	17	N
61	hsa-mir-4651	21.452	3	18	N
62	hsa-mir-127-3p	25.488	3	22	N
63	hsa-mir-29c-5p	25.231	3	22	N
64	hsa-mir-181b-5p	22.991	3	20	N
65	hsa-mir-1180	26.345	3	23	Y
66	hsa-mir-133b	27.595	3	24	N
67	hsa-mir-324-3p	23.089	3	20	N
68	hsa-mir-3235b	20.942	3	18	N
69	hsa-mir-502-3p	27.166	3	24	N
70	hsa-mir-3655	26.312	3	23	N
71	hsa-mir-130b-5p	27.631	3	24	N
72	hsa-mir-324-5p	25.780	3	23	N
73	hsa-mir-373-3p	28.012	3	25	Y
74	hsa-mir-3646	24.690	3	22	N
75	hsa-mir-1	26.523	3	23	N
76	hsa-mir-3907	19.486	3	16	N
77	hsa-mir-422a	26.497	3	23	Y
78	hsa-mir-338-5p	26.600	3	23	N
