* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIT
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\574.eds
* Experiment Name = 2013-06-27 574
* Experiment Run End Time = 2013-06-28 20:23:49 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	MTP
1	hsa-mir-495-3p	22.909	3	20	N
2	hsa-mir-let-7c	21.383	3	18	N
3	hsa-mir-3141	24.423	3	21	N
4	hsa-mir-184	31.615	3	28	N
5	hsa-mir-532-5p	23.442	3	20	N
6	hsa-mir-152	21.915	3	19	N
7	hsa-mir-1231	26.352	3	23	N
8	hsa-mir-3911	26.429	3	23	N
9	hsa-mir-223-5p	24.678	3	21	N
10	hsa-mir-1909-5p	24.702	3	21	N
11	hsa-mir-4291	21.869	3	19	N
12	hsa-mir-205-5p	23.126	3	20	N
13	hsa-mir-3651	27.723	3	25	N
14	hsa-mir-1587	21.397	3	18	N
15	hsa-mir-372	30.444	3	27	N
16	hsa-mir-1260a	19.385	3	16	N
17	hsa-mir-19b-1-5p	28.355	3	25	N
18	hsa-let-7a-3p	22.830	3	20	N
19	hsa-mir-183-3p	27.431	3	24	N
20	hsa-mir-1290	26.461	3	23	N
21	hsa-mir-628-3p	22.714	3	20	N
22	hsa-mir-92b-3p	22.426	3	19	N
23	hsa-mir-7-2-3p	25.300	3	22	N
24	hsa-mir-144-5p	24.258	3	21	N
25	hsa-mir-3610	22.898	3	20	N
26	hsa-mir-199b-5p	23.151	3	20	N
27	hsa-mir-1286	28.789	3	26	N
28	hsa-mir-497-5p	23.554	3	20	N
29	hsa-mir-18b-5p	24.762	3	21	N
30	hsa-mir-214-3p	24.493	3	21	N
31	hsa-mir-34a-5p	21.368	3	18	N
32	hsa-mir-4732-5p	25.413	3	22	N
33	hsa-mir-660-5p	20.636	3	17	N
34	hsa-mir-3120-3p	26.739	3	23	N
35	hsa-mir-151b	19.792	3	17	N
36	hsa-mir-423-5p	19.879	3	17	N
37	hsa-mir-4687-5p	20.585	3	17	N
38	hsa-mir-93-3p	23.552	3	20	N
39	hsa-mir-2276	25.508	3	22	N
40	hsa-mir-33a-5p	25.118	3	22	N
41	hsa-mir-150-5p	19.398	3	16	N
42	hsa-mir-21-5p	15.941	3	13	N
43	hsa-mir-329	24.506	3	21	N
44	hsa-mir-550a-5p	27.375	3	24	N
45	hsa-mir-378b	23.461	3	20	N
46	hsa-mir-28-5p	23.216	3	20	N
47	hsa-mir-138-1-3p	23.530	3	20	N
48	hsa-mir-193a-5p	21.406	3	18	N
49	hsa-mir-26b-3p	26.260	3	23	N
50	hsa-mir-16-2-3p	22.885	3	20	N
51	hsa-mir-146a-5p	20.085	3	17	N
52	hsa-mir-3200-3p	25.958	3	23	N
53	hsa-mir-21-3p	27.952	3	25	Y
54	hsa-let-7g-5p	19.589	3	16	N
