* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-04-02 PP09036 Panel A.eds
* Experiment Name = 2012-04-02 PP09036 Panel A
* Experiment Run End Time = 2012-04-02 17:25:51 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	28.220	28.220	N	N	N
2	hsa-let-7c-4373167	26.584	26.584	N	N	N
3	hsa-let-7d-4395394	24.622	24.622	N	N	N
4	hsa-let-7e-4395517	24.749	24.749	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	Y
6	hsa-let-7g-4395393	23.261	23.261	N	N	N
7	hsa-miR-1-4395333	29.142	29.142	N	N	N
8	hsa-miR-9-4373285	Undetermined		N	Y	Y
9	hsa-miR-10a-4373153	28.694	28.694	N	N	N
10	hsa-miR-10b-4395329	35.086	35.086	N	N	N
11	MammU6-4395470	29.232	29.202	N	N	N
12	MammU6-4395470	29.237	29.202	N	N	N
13	hsa-miR-15a-4373123	30.263	30.263	N	N	N
14	hsa-miR-15b-4373122	23.174	23.174	N	N	N
15	hsa-miR-16-4373121	17.514	17.514	N	N	N
16	hsa-miR-17-4395419	14.337	14.337	N	N	N
17	hsa-miR-18a-4395533	22.640	22.640	N	N	N
18	hsa-miR-18b-4395328	29.802	29.802	N	N	N
19	hsa-miR-19a-4373099	18.879	18.879	N	N	N
20	hsa-miR-19b-4373098	14.239	14.239	N	N	N
21	hsa-miR-20a-4373286	15.559	15.559	N	N	N
22	hsa-miR-20b-4373263	19.332	19.332	N	N	N
23	hsa-miR-21-4373090	19.299	19.299	N	N	N
24	hsa-miR-22-4373079	23.851	23.851	N	N	N
25	hsa-miR-23a-4373074	30.003	30.003	N	N	N
26	hsa-miR-23b-4373073	Undetermined		N	N	Y
27	hsa-miR-24-4373072	15.795	15.795	N	N	N
28	hsa-miR-25-4373071	19.731	19.731	N	N	N
29	hsa-miR-26a-4395166	19.956	19.956	N	N	N
30	hsa-miR-26b-4395167	21.399	21.399	N	N	N
31	hsa-miR-27a-4373287	20.403	20.403	N	N	N
32	hsa-miR-27b-4373068	22.364	22.364	N	N	N
33	hsa-miR-28-3p-4395557	22.727	22.727	N	N	N
34	hsa-miR-28-5p-4373067	24.853	24.853	N	N	N
35	MammU6-4395470	29.235	29.202	N	N	N
36	MammU6-4395470	29.104	29.202	N	N	N
37	hsa-miR-29a-4395223	21.365	21.365	N	N	N
38	hsa-miR-29b-4373288	36.212	36.212	N	N	N
39	hsa-miR-29c-4395171	24.658	24.658	N	N	N
40	hsa-miR-30b-4373290	21.877	21.877	N	N	N
41	hsa-miR-30c-4373060	20.895	20.895	N	N	N
42	hsa-miR-31-4395390	28.166	28.166	N	N	N
43	hsa-miR-32-4395220	29.713	29.713	N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	N	Y
45	hsa-miR-34a-4395168	24.656	24.656	N	N	N
46	hsa-miR-34c-5p-4373036	38.368	38.368	N	N	N
47	hsa-miR-92a-4395169	17.961	17.961	N	N	N
48	hsa-miR-93-4373302	17.696	17.696	N	N	N
49	hsa-miR-95-4373011	31.499	31.499	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	N	Y
51	hsa-miR-98-4373009	Undetermined		N	N	N
52	hsa-miR-99a-4373008	31.528	31.528	N	N	N
53	hsa-miR-99b-4373007	26.042	26.042	N	N	N
54	hsa-miR-100-4373160	27.490	27.490	N	N	N
55	hsa-miR-101-4395364	23.676	23.676	N	N	N
56	hsa-miR-103-4373158	24.175	24.175	N	N	N
57	hsa-miR-105-4395278	Undetermined		N	N	Y
58	hsa-miR-106a-4395280	14.389	14.389	N	N	N
59	RNU44-4373384	Undetermined		N	N	Y
60	hsa-miR-106b-4373155	19.708	19.708	N	N	N
61	hsa-miR-107-4373154	31.413	31.413	N	N	N
62	hsa-miR-122-4395356	20.095	20.095	N	N	N
63	hsa-miR-124-4373295	Undetermined		N	N	Y
64	hsa-miR-125a-3p-4395310	31.256	31.256	N	N	N
65	hsa-miR-125a-5p-4395309	24.598	24.598	N	N	N
66	hsa-miR-125b-4373148	25.066	25.066	N	N	N
67	hsa-miR-126-4395339	15.909	15.909	N	N	N
68	hsa-miR-127-3p-4373147	22.572	22.572	N	N	N
69	hsa-miR-127-5p-4395340	Undetermined		N	N	Y
70	hsa-miR-128-4395327	24.033	24.033	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		N	N	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	N	Y
73	hsa-miR-130a-4373145	21.422	21.422	N	N	N
74	hsa-miR-130b-4373144	23.065	23.065	N	N	N
75	hsa-miR-132-4373143	21.722	21.722	N	N	N
76	hsa-miR-133a-4395357	22.822	22.822	N	N	N
77	hsa-miR-133b-4395358	29.309	29.309	N	N	N
78	hsa-miR-134-4373299	24.053	24.053	N	N	N
79	hsa-miR-135a-4373140	29.510	29.510	N	N	N
80	hsa-miR-135b-4395372	31.865	31.865	N	N	N
81	hsa-miR-136-4373173	Undetermined		N	N	N
82	hsa-miR-137-4373301	Undetermined		N	N	Y
83	hsa-miR-138-4395395	28.935	28.935	N	N	N
84	hsa-miR-139-3p-4395424	23.633	23.633	N	N	N
85	hsa-miR-139-5p-4395400	20.578	20.578	N	N	N
86	hsa-miR-140-3p-4395345	25.200	25.200	N	N	N
87	hsa-miR-140-5p-4373374	20.649	20.649	N	N	N
88	hsa-miR-141-4373137	31.708	31.708	N	N	N
89	hsa-miR-142-3p-4373136	19.248	19.248	N	N	N
90	hsa-miR-142-5p-4395359	24.435	24.435	N	N	N
91	hsa-miR-143-4395360	24.241	24.241	N	N	N
