* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-04-02 Pp09037 Panel A.eds
* Experiment Name = 2012-04-02 PP09037 Panel A
* Experiment Run End Time = 2012-04-02 19:25:44 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	38.610	38.610	N	N
2	hsa-let-7c-4373167	32.314	32.314	N	N
3	hsa-let-7d-4395394	29.251	29.251	N	N
4	hsa-let-7e-4395517	29.829	29.829	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y
6	hsa-let-7g-4395393	28.589	28.589	N	N
7	hsa-miR-1-4395333	29.923	29.923	N	N
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	Undetermined		N	Y
10	hsa-miR-10b-4395329	Undetermined		N	Y
11	MammU6-4395470	31.037	30.955	N	N
12	MammU6-4395470	30.967	30.955	N	N
13	hsa-miR-15a-4373123	Undetermined		N	Y
14	hsa-miR-15b-4373122	29.705	29.705	N	N
15	hsa-miR-16-4373121	21.025	21.025	N	N
16	hsa-miR-17-4395419	19.119	19.119	N	N
17	hsa-miR-18a-4395533	28.459	28.459	N	N
18	hsa-miR-18b-4395328	37.431	37.431	N	N
19	hsa-miR-19a-4373099	22.847	22.847	N	N
20	hsa-miR-19b-4373098	17.928	17.928	N	N
21	hsa-miR-20a-4373286	20.722	20.722	N	N
22	hsa-miR-20b-4373263	23.636	23.636	N	N
23	hsa-miR-21-4373090	24.165	24.165	N	N
24	hsa-miR-22-4373079	38.520	38.520	N	N
25	hsa-miR-23a-4373074	Undetermined		N	N
26	hsa-miR-23b-4373073	Undetermined		Y	Y
27	hsa-miR-24-4373072	19.046	19.046	N	N
28	hsa-miR-25-4373071	24.321	24.321	N	N
29	hsa-miR-26a-4395166	26.275	26.275	N	N
30	hsa-miR-26b-4395167	26.421	26.421	N	N
31	hsa-miR-27a-4373287	25.574	25.574	N	N
32	hsa-miR-27b-4373068	26.789	26.789	N	N
33	hsa-miR-28-3p-4395557	27.701	27.701	N	N
34	hsa-miR-28-5p-4373067	32.298	32.298	N	N
35	MammU6-4395470	30.992	30.955	N	N
36	MammU6-4395470	30.826	30.955	N	N
37	hsa-miR-29a-4395223	25.931	25.931	N	N
38	hsa-miR-29b-4373288	Undetermined		N	Y
39	hsa-miR-29c-4395171	30.282	30.282	N	N
40	hsa-miR-30b-4373290	26.307	26.307	N	N
41	hsa-miR-30c-4373060	26.261	26.261	N	N
42	hsa-miR-31-4395390	Undetermined		Y	Y
43	hsa-miR-32-4395220	Undetermined		Y	Y
44	hsa-miR-33b-4395196	Undetermined		N	Y
45	hsa-miR-34a-4395168	30.110	30.110	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y
47	hsa-miR-92a-4395169	21.914	21.914	N	N
48	hsa-miR-93-4373302	22.589	22.589	N	N
49	hsa-miR-95-4373011	Undetermined		Y	Y
50	hsa-miR-96-4373372	Undetermined		N	Y
51	hsa-miR-98-4373009	Undetermined		N	Y
52	hsa-miR-99a-4373008	Undetermined		Y	Y
53	hsa-miR-99b-4373007	36.834	36.834	N	N
54	hsa-miR-100-4373160	Undetermined		Y	Y
55	hsa-miR-101-4395364	28.139	28.139	N	N
56	hsa-miR-103-4373158	30.958	30.958	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y
58	hsa-miR-106a-4395280	19.051	19.051	N	N
59	RNU44-4373384	Undetermined		N	Y
60	hsa-miR-106b-4373155	25.359	25.359	N	N
61	hsa-miR-107-4373154	Undetermined		N	Y
62	hsa-miR-122-4395356	25.145	25.145	N	N
63	hsa-miR-124-4373295	Undetermined		Y	Y
64	hsa-miR-125a-3p-4395310	Undetermined		N	Y
65	hsa-miR-125a-5p-4395309	28.793	28.793	N	N
66	hsa-miR-125b-4373148	30.876	30.876	N	N
67	hsa-miR-126-4395339	19.812	19.812	N	N
68	hsa-miR-127-3p-4373147	27.203	27.203	N	N
69	hsa-miR-127-5p-4395340	Undetermined		N	Y
70	hsa-miR-128-4395327	30.479	30.479	N	N
71	hsa-miR-129-3p-4373297	Undetermined		N	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y
73	hsa-miR-130a-4373145	28.026	28.026	N	N
74	hsa-miR-130b-4373144	29.504	29.504	N	N
75	hsa-miR-132-4373143	26.930	26.930	N	N
76	hsa-miR-133a-4395357	24.879	24.879	N	N
77	hsa-miR-133b-4395358	31.105	31.105	N	N
78	hsa-miR-134-4373299	25.884	25.884	N	N
79	hsa-miR-135a-4373140	Undetermined		Y	Y
80	hsa-miR-135b-4395372	Undetermined		Y	Y
81	hsa-miR-136-4373173	Undetermined		N	N
82	hsa-miR-137-4373301	Undetermined		Y	Y
83	hsa-miR-138-4395395	Undetermined		Y	Y
84	hsa-miR-139-3p-4395424	28.246	28.246	N	N
85	hsa-miR-139-5p-4395400	26.328	26.328	N	N
86	hsa-miR-140-3p-4395345	28.732	28.732	N	N
87	hsa-miR-140-5p-4373374	23.905	23.905	N	N
88	hsa-miR-141-4373137	Undetermined		N	Y
89	hsa-miR-142-3p-4373136	25.844	25.844	N	N
90	hsa-miR-142-5p-4395359	34.137	34.137	N	N
91	hsa-miR-143-4395360	29.441	29.441	N	N
92	hsa-miR-145-4395389	31.516	31.516	N	N
93	hsa-miR-146a-4373132	17.722	17.722	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		N	Y
95	hsa-miR-146b-5p-4373178	22.521	22.521	N	N
96	hsa-miR-147b-4395373	Undetermined		Y	Y
97	hsa-miR-148a-4373130	25.976	25.976	N	N
98	hsa-miR-148b-4373129	28.366	28.366	N	N
99	hsa-miR-149-4395366	Undetermined		Y	Y
100	hsa-miR-150-4373127	23.484	23.484	N	N
101	hsa-miR-152-4395170	26.266	26.266	N	N
102	hsa-miR-153-4373305	Undetermined		N	Y
103	hsa-miR-154-4373270	Undetermined		Y	Y
104	hsa-miR-181a-4373117	Undetermined		Y	Y
105	hsa-miR-181c-4373115	Undetermined		Y	Y
106	hsa-miR-182-4395445	Undetermined		Y	Y
107	RNU48-4373383	Undetermined		Y	Y
108	hsa-miR-183-4395380	35.356	35.356	N	N
109	hsa-miR-184-4373113	Undetermined		N	Y
110	hsa-miR-185-4395382	25.734	25.734	N	N
111	hsa-miR-186-4395396	21.990	21.990	N	N
112	hsa-miR-187-4373307	Undetermined		Y	Y
113	hsa-miR-188-3p-4395217	Undetermined		N	Y
114	hsa-miR-190-4373110	Undetermined		Y	Y
115	hsa-miR-191-4395410	18.313	18.313	N	N
