* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-11 PP09048 A.eds
* Experiment Name = 2012-06-11 PP09048 A
* Experiment Run End Time = 2012-06-11 16:21:16 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	N	N
2	hsa-let-7c-4373167	31.336	31.336	N	N	N
3	hsa-let-7d-4395394	26.821	26.821	N	N	N
4	hsa-let-7e-4395517	32.499	32.499	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	Y
6	hsa-let-7g-4395393	24.474	24.474	N	N	N
7	hsa-miR-1-4395333	31.382	31.382	N	N	N
8	hsa-miR-9-4373285	Undetermined		N	N	Y
9	hsa-miR-10a-4373153	28.059	28.059	N	N	N
10	hsa-miR-10b-4395329	Undetermined		N	N	Y
11	MammU6-4395470	30.499	30.367	N	N	N
12	MammU6-4395470	30.458	30.367	N	N	N
13	hsa-miR-15a-4373123	32.063	32.063	N	N	N
14	hsa-miR-15b-4373122	24.221	24.221	N	N	N
15	hsa-miR-16-4373121	17.376	17.376	N	N	N
16	hsa-miR-17-4395419	15.959	15.959	Y	N	N
17	hsa-miR-18a-4395533	24.569	24.569	N	N	N
18	hsa-miR-18b-4395328	34.814	34.814	N	N	N
19	hsa-miR-19a-4373099	21.071	21.071	N	N	N
20	hsa-miR-19b-4373098	15.106	15.106	N	N	N
21	hsa-miR-20a-4373286	18.871	18.871	N	N	N
22	hsa-miR-20b-4373263	21.870	21.870	N	N	N
23	hsa-miR-21-4373090	20.786	20.786	N	N	N
24	hsa-miR-22-4373079	27.927	27.927	N	N	N
25	hsa-miR-23a-4373074	32.344	32.344	N	N	N
26	hsa-miR-23b-4373073	Undetermined		N	Y	Y
27	hsa-miR-24-4373072	15.916	15.916	N	N	N
28	hsa-miR-25-4373071	20.070	20.070	N	N	N
29	hsa-miR-26a-4395166	22.272	22.272	N	N	N
30	hsa-miR-26b-4395167	23.661	23.661	N	N	N
31	hsa-miR-27a-4373287	20.819	20.819	N	N	N
32	hsa-miR-27b-4373068	22.214	22.214	N	N	N
33	hsa-miR-28-3p-4395557	20.880	20.880	N	N	N
34	hsa-miR-28-5p-4373067	25.779	25.779	N	N	N
35	MammU6-4395470	30.343	30.367	N	N	N
36	MammU6-4395470	30.171	30.367	N	N	N
37	hsa-miR-29a-4395223	21.164	21.164	N	N	N
38	hsa-miR-29b-4373288	34.019	34.019	N	N	N
39	hsa-miR-29c-4395171	26.520	26.520	N	N	N
40	hsa-miR-30b-4373290	23.188	23.188	N	N	N
41	hsa-miR-30c-4373060	22.485	22.485	N	N	N
42	hsa-miR-31-4395390	29.953	29.953	N	N	N
43	hsa-miR-32-4395220	34.077	34.077	N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	Y	Y
45	hsa-miR-34a-4395168	37.957	37.957	N	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		N	Y	Y
47	hsa-miR-92a-4395169	17.896	17.896	N	N	N
48	hsa-miR-93-4373302	19.452	19.452	N	N	N
49	hsa-miR-95-4373011	Undetermined		N	N	Y
50	hsa-miR-96-4373372	Undetermined		N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	Y	Y
52	hsa-miR-99a-4373008	Undetermined		N	N	N
53	hsa-miR-99b-4373007	27.239	27.239	N	N	N
54	hsa-miR-100-4373160	30.194	30.194	N	N	N
55	hsa-miR-101-4395364	24.339	24.339	N	N	N
56	hsa-miR-103-4373158	25.374	25.374	N	N	N
57	hsa-miR-105-4395278	Undetermined		N	N	Y
58	hsa-miR-106a-4395280	15.777	15.777	N	N	N
59	RNU44-4373384	Undetermined		N	N	Y
60	hsa-miR-106b-4373155	20.265	20.265	N	N	N
61	hsa-miR-107-4373154	Undetermined		N	Y	Y
62	hsa-miR-122-4395356	21.492	21.492	N	N	N
63	hsa-miR-124-4373295	Undetermined		N	Y	Y
64	hsa-miR-125a-3p-4395310	Undetermined		N	N	Y
65	hsa-miR-125a-5p-4395309	25.341	25.341	N	N	N
66	hsa-miR-125b-4373148	26.899	26.899	N	N	N
67	hsa-miR-126-4395339	16.540	16.540	N	N	N
68	hsa-miR-127-3p-4373147	22.674	22.674	N	N	N
69	hsa-miR-127-5p-4395340	Undetermined		N	Y	Y
70	hsa-miR-128-4395327	25.550	25.550	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		N	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	Y	Y
73	hsa-miR-130a-4373145	21.759	21.759	N	N	N
74	hsa-miR-130b-4373144	24.159	24.159	N	N	N
75	hsa-miR-132-4373143	22.462	22.462	N	N	N
76	hsa-miR-133a-4395357	21.465	21.465	N	N	N
77	hsa-miR-133b-4395358	29.097	29.097	N	N	N
78	hsa-miR-134-4373299	23.438	23.438	N	N	N
79	hsa-miR-135a-4373140	Undetermined		N	N	Y
80	hsa-miR-135b-4395372	Undetermined		N	N	N
81	hsa-miR-136-4373173	Undetermined		N	N	N
82	hsa-miR-137-4373301	Undetermined		N	Y	Y
83	hsa-miR-138-4395395	30.720	30.720	N	N	N
84	hsa-miR-139-3p-4395424	26.503	26.503	N	N	N
85	hsa-miR-139-5p-4395400	22.841	22.841	N	N	N
86	hsa-miR-140-3p-4395345	25.134	25.134	N	N	N
87	hsa-miR-140-5p-4373374	21.212	21.212	N	N	N
88	hsa-miR-141-4373137	Undetermined		N	Y	Y
89	hsa-miR-142-3p-4373136	21.892	21.892	N	N	N
90	hsa-miR-142-5p-4395359	25.643	25.643	N	N	N
91	hsa-miR-143-4395360	23.942	23.942	N	N	N
92	hsa-miR-145-4395389	25.802	25.802	N	N	N
93	hsa-miR-146a-4373132	14.432	14.432	N	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		N	Y	Y
95	hsa-miR-146b-5p-4373178	19.184	19.184	N	N	N
96	hsa-miR-147b-4395373	Undetermined		N	Y	Y
97	hsa-miR-148a-4373130	24.256	24.256	N	N	N
98	hsa-miR-148b-4373129	25.727	25.727	N	N	N
99	hsa-miR-149-4395366	Undetermined		N	Y	Y
100	hsa-miR-150-4373127	19.196	19.196	N	N	N
101	hsa-miR-152-4395170	22.454	22.454	N	N	N
102	hsa-miR-153-4373305	Undetermined		N	Y	Y
103	hsa-miR-154-4373270	Undetermined		N	Y	Y
104	hsa-miR-181a-4373117	28.245	28.245	N	N	N
105	hsa-miR-181c-4373115	36.233	36.233	N	N	N
106	hsa-miR-182-4395445	Undetermined		N	Y	Y
107	RNU48-4373383	29.998	29.998	N	N	N
108	hsa-miR-183-4395380	Undetermined		N	N	Y
109	hsa-miR-184-4373113	26.075	26.075	N	N	N
110	hsa-miR-185-4395382	21.133	21.133	N	N	N
111	hsa-miR-186-4395396	19.831	19.831	N	N	N
112	hsa-miR-187-4373307	Undetermined		N	N	Y
113	hsa-miR-188-3p-4395217	Undetermined		N	Y	Y
114	hsa-miR-190-4373110	38.101	38.101	N	N	N
115	hsa-miR-191-4395410	15.589	15.589	N	N	N
116	hsa-miR-192-4373108	22.663	22.663	N	N	N
117	hsa-miR-193a-3p-4395361	Undetermined		N	N	N
118	hsa-miR-193a-5p-4395392	27.628	27.628	N	N	N
119	hsa-miR-193b-4395478	23.943	23.943	N	N	N
120	hsa-miR-194-4373106	28.879	28.879	N	N	N
121	hsa-miR-195-4373105	25.624	25.624	N	N	N
122	hsa-miR-196b-4395326	Undetermined		N	N	Y
123	hsa-miR-197-4373102	22.635	22.635	N	N	N
124	hsa-miR-198-4395384	Undetermined		N	Y	Y
125	hsa-miR-199a-5p-4373272	26.937	26.937	N	N	N
126	hsa-miR-199a-3p-4395415	20.632	20.632	N	N	N
127	hsa-miR-199b-5p-4373100	30.319	30.319	N	N	N
128	hsa-miR-200a-4378069	Undetermined		N	N	N
129	hsa-miR-200b-4395362	37.247	37.247	N	N	N
130	hsa-miR-200c-4395411	29.981	29.981	N	N	N
131	hsa-miR-202-4395474	33.996	33.996	N	N	N
132	hsa-miR-203-4373095	27.503	27.503	N	N	N
