* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-11 PP09049 A.eds
* Experiment Name = 2012-06-11 PP09049 A
* Experiment Run End Time = 2012-06-11 18:14:39 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	21.546	21.546	N	N	Y
2	hsa-let-7c-4373167	24.281	24.281	N	N	N
3	hsa-let-7d-4395394	22.187	22.187	N	N	N
4	hsa-let-7e-4395517	19.468	19.468	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y	Y
6	hsa-let-7g-4395393	20.519	20.519	N	N	N
7	hsa-miR-1-4395333	28.218	28.218	N	N	N
8	hsa-miR-9-4373285	29.045	29.045	N	N	Y
9	hsa-miR-10a-4373153	25.787	25.787	N	N	N
10	hsa-miR-10b-4395329	35.162	35.162	N	N	N
11	MammU6-4395470	25.920	25.717	N	N	N
12	MammU6-4395470	25.884	25.717	N	N	N
13	hsa-miR-15a-4373123	22.199	22.199	N	N	Y
14	hsa-miR-15b-4373122	18.908	18.908	N	N	N
15	hsa-miR-16-4373121	14.953	14.953	N	N	N
16	hsa-miR-17-4395419	14.152	14.152	N	N	N
17	hsa-miR-18a-4395533	21.123	21.123	N	N	N
18	hsa-miR-18b-4395328	23.007	23.007	N	N	Y
19	hsa-miR-19a-4373099	17.683	17.683	N	N	N
20	hsa-miR-19b-4373098	12.126	12.126	N	N	N
21	hsa-miR-20a-4373286	14.592	14.592	N	N	N
22	hsa-miR-20b-4373263	19.675	19.675	N	N	N
23	hsa-miR-21-4373090	15.585	15.585	N	N	N
24	hsa-miR-22-4373079	18.560	18.560	N	N	N
25	hsa-miR-23a-4373074	22.211	22.211	N	N	Y
26	hsa-miR-23b-4373073	Undetermined		N	Y	Y
