* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-05-24 PP09063 B.eds
* Experiment Name = 2012-05-24 PP09063 B
* Experiment Run End Time = 2012-05-24 13:29:57 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL
1	dme-miR-7-000268	28.966	28.966	N	N	N
2	hsa-miR-548I-002909	Undetermined		N	Y	Y
3	hsa-miR-30a-3p-000416	27.867	27.867	N	N	N
4	hsa-miR-30a-5p-000417	21.911	21.911	N	N	N
5	hsa-miR-30d-000420	25.476	25.476	N	N	N
6	hsa-miR-30e-3p-000422	26.996	26.996	Y	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	Y
8	hsa-miR-126#-000451	29.384	29.384	N	N	N
9	hsa-miR-154#-000478	Undetermined		N	Y	Y
10	hsa-miR-182#-000483	Undetermined		N	Y	Y
11	U6 snRNA-001973	30.297	29.961	N	N	N
12	U6 snRNA-001973	29.729	29.961	N	N	N
13	hsa-miR-206-000510	20.519	20.519	N	N	N
14	hsa-miR-213-000516	Undetermined		N	Y	Y
15	hsa-miR-302c#-000534	Undetermined		N	N	Y
16	hsa-miR-302d-000535	Undetermined		N	N	Y
17	hsa-miR-378-000567	32.942	32.942	N	N	N
18	hsa-miR-380-5p-000570	Undetermined		N	Y	Y
19	hsa-miR-1257-002910	Undetermined		N	Y	Y
20	hsa-miR-200a#-001011	Undetermined		N	Y	Y
21	hsa-miR-432-001026	25.326	25.326	N	N	N
22	hsa-miR-432#-001027	Undetermined		N	Y	Y
23	hsa-miR-497-001043	32.673	32.673	N	N	N
24	hsa-miR-500-001046	36.521	36.521	N	N	N
25	hsa-miR-1238-002927	Undetermined		N	Y	Y
26	hsa-miR-488-001106	Undetermined		N	Y	Y
27	hsa-miR-517#-001113	Undetermined		N	Y	Y
28	hsa-miR-516-3p-001149	35.257	35.257	N	N	N
29	hsa-miR-518c#-001158	Undetermined		N	Y	Y
30	hsa-miR-519e#-001166	Undetermined		N	Y	Y
31	hsa-miR-520h-001170	Undetermined		N	N	Y
32	hsa-miR-524-001173	Undetermined		N	N	Y
33	mmu-let-7d#-001178	Undetermined		N	N	Y
34	hsa-miR-363#-001283	Undetermined		N	Y	Y
35	U6 snRNA-001973	30.027	29.961	N	N	N
36	U6 snRNA-001973	29.791	29.961	N	N	N
37	rno-miR-7#-001338	29.853	29.853	N	N	N
38	hsa-miR-656-001510	Undetermined		N	N	Y
39	hsa-miR-549-001511	Undetermined		N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	N	Y
41	hsa-miR-658-001513	Undetermined		N	Y	Y
42	hsa-miR-659-001514	Undetermined		N	Y	Y
43	hsa-miR-551a-001519	Undetermined		N	Y	Y
44	hsa-miR-552-001520	Undetermined		N	Y	Y
45	hsa-miR-553-001521	Undetermined		N	Y	Y
46	hsa-miR-554-001522	Undetermined		N	Y	Y
47	hsa-miR-555-001523	Undetermined		N	Y	Y
48	hsa-miR-557-001525	Undetermined		N	Y	Y
49	hsa-miR-558-001526	Undetermined		N	Y	Y
50	hsa-miR-559-001527	Undetermined		N	Y	Y
51	hsa-miR-562-001529	Undetermined		N	Y	Y
52	hsa-miR-563-001530	Undetermined		N	Y	Y
53	hsa-miR-564-001531	Undetermined		N	N	Y
54	hsa-miR-566-001533	Undetermined		N	Y	Y
55	hsa-miR-567-001534	Undetermined		N	N	Y
56	hsa-miR-569-001536	Undetermined		N	Y	Y
57	hsa-miR-586-001539	Undetermined		N	Y	Y
58	hsa-miR-587-001540	Undetermined		N	Y	Y
59	RNU44-001094	Undetermined		N	Y	Y
60	hsa-miR-588-001542	Undetermined		N	Y	Y
61	hsa-miR-589-001543	36.055	36.055	N	N	N
62	hsa-miR-550-001544	Undetermined		N	N	Y
63	hsa-miR-591-001545	Undetermined		N	Y	Y
64	hsa-miR-592-001546	Undetermined		N	N	Y
65	hsa-miR-593-001547	Undetermined		N	Y	Y
66	hsa-miR-596-001550	Undetermined		N	N	Y
67	hsa-miR-622-001553	Undetermined		N	Y	Y
68	hsa-miR-599-001554	Undetermined		N	Y	Y
69	hsa-miR-623-001555	Undetermined		N	N	Y
70	hsa-miR-600-001556	Undetermined		N	Y	Y
71	hsa-miR-624-001557	Undetermined		N	Y	Y
72	hsa-miR-601-001558	32.541	32.541	N	N	N
73	hsa-miR-626-001559	Undetermined		N	N	Y
74	hsa-miR-629-001562	32.870	32.870	N	N	N
75	hsa-miR-630-001563	Undetermined		N	Y	Y
76	hsa-miR-631-001564	Undetermined		N	Y	Y
77	hsa-miR-603-001566	Undetermined		N	Y	Y
78	hsa-miR-604-001567	Undetermined		N	Y	Y
79	hsa-miR-605-001568	39.192	39.192	N	N	N
80	hsa-miR-606-001569	Undetermined		N	Y	Y
81	hsa-miR-607-001570	Undetermined		N	Y	Y
82	hsa-miR-608-001571	Undetermined		N	Y	Y
83	hsa-miR-609-001573	Undetermined		N	Y	Y
84	hsa-miR-633-001574	Undetermined		N	Y	Y
85	hsa-miR-634-001576	Undetermined		N	Y	Y
86	hsa-miR-635-001578	Undetermined		N	Y	Y
87	hsa-miR-637-001581	Undetermined		N	Y	Y
88	hsa-miR-638-001582	35.472	35.472	N	N	N
89	hsa-miR-639-001583	Undetermined		N	N	Y
90	hsa-miR-640-001584	Undetermined		N	Y	Y
91	hsa-miR-641-001585	Undetermined		N	Y	Y
92	hsa-miR-613-001586	Undetermined		N	Y	Y
93	hsa-miR-614-001587	Undetermined		N	Y	Y
94	hsa-miR-616-001589	Undetermined		N	Y	Y
95	hsa-miR-617-001591	Undetermined		N	Y	Y
96	hsa-miR-643-001594	Undetermined		N	N	Y
97	hsa-miR-644-001596	Undetermined		N	Y	Y
98	hsa-miR-645-001597	Undetermined		N	N	Y
99	hsa-miR-621-001598	Undetermined		N	Y	Y
100	hsa-miR-646-001599	Undetermined		N	N	Y
101	hsa-miR-647-001600	Undetermined		N	Y	Y
102	hsa-miR-648-001601	Undetermined		N	N	Y
103	hsa-miR-649-001602	Undetermined		N	Y	Y
104	hsa-miR-650-001603	Undetermined		N	Y	Y
105	hsa-miR-661-001606	Undetermined		N	N	Y
106	hsa-miR-662-001607	Undetermined		N	Y	Y
107	RNU48-001006	28.735	28.735	N	N	N
108	hsa-miR-571-001613	Undetermined		N	N	Y
109	hsa-miR-572-001614	Undetermined		N	N	N
110	hsa-miR-573-001615	Undetermined		N	N	Y
111	hsa-miR-575-001617	Undetermined		N	Y	Y
112	hsa-miR-578-001619	Undetermined		N	Y	Y
113	hsa-miR-580-001621	Undetermined		N	N	Y
114	hsa-miR-581-001622	Undetermined		N	Y	Y
115	hsa-miR-583-001623	Undetermined		N	Y	Y
116	hsa-miR-584-001624	37.023	37.023	N	N	N
117	hsa-miR-585-001625	Undetermined		N	Y	Y
118	rno-miR-29c#-001818	34.233	34.233	N	N	N
119	hsa-miR-766-001986	25.598	25.598	N	N	N
120	hsa-miR-595-001987	Undetermined		N	Y	Y
121	hsa-miR-668-001992	Undetermined		N	Y	Y
122	hsa-miR-767-5p-001993	Undetermined		N	Y	Y
123	hsa-miR-767-3p-001995	Undetermined		N	Y	Y
124	hsa-miR-454#-001996	Undetermined		N	Y	Y
125	hsa-miR-769-5p-001998	34.142	34.142	N	N	N
126	hsa-miR-770-5p-002002	Undetermined		N	Y	Y
127	hsa-miR-769-3p-002003	Undetermined		N	Y	Y
128	hsa-miR-802-002004	Undetermined		N	Y	Y
129	hsa-miR-675-002005	Undetermined		N	Y	Y
130	hsa-miR-505#-002087	30.185	30.185	N	N	N
131	hsa-miR-218-1#-002094	Undetermined		N	Y	Y
132	hsa-miR-221#-002096	Undetermined		N	Y	Y
133	hsa-miR-222#-002097	Undetermined		N	Y	Y
134	hsa-miR-223#-002098	26.383	26.383	N	N	N
135	hsa-miR-136#-002100	33.091	33.091	N	N	N
136	hsa-miR-34b-002102	Undetermined		N	N	Y
137	hsa-miR-185#-002104	Undetermined		N	Y	Y
138	hsa-miR-186#-002105	Undetermined		N	Y	Y
139	hsa-miR-195#-002107	Undetermined		N	Y	Y
140	hsa-miR-30c-1#-002108	Undetermined		N	Y	Y
