* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-16 PP09071 B.eds
* Experiment Name = 2012-07-16 PP09071 B
* Experiment Run End Time = 2012-07-16 18:17:12 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	34.041	34.041	N	N	N
2	hsa-miR-548I-002909	Undetermined		Y	Y	Y
3	hsa-miR-30a-3p-000416	26.144	26.144	N	N	N
4	hsa-miR-30a-5p-000417	21.750	21.750	N	N	N
5	hsa-miR-30d-000420	23.664	23.664	N	N	N
6	hsa-miR-30e-3p-000422	25.994	25.994	N	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	Y
8	hsa-miR-126#-000451	24.135	24.135	N	N	N
9	hsa-miR-154#-000478	Undetermined		Y	Y	Y
10	hsa-miR-182#-000483	33.992	33.992	N	N	Y
11	U6 snRNA-001973	24.936	24.812	N	N	N
12	U6 snRNA-001973	24.450	24.812	N	N	N
13	hsa-miR-206-000510	29.397	29.397	N	N	N
14	hsa-miR-213-000516	31.067	31.067	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	Y	Y
17	hsa-miR-378-000567	34.717	34.717	N	N	N
18	hsa-miR-380-5p-000570	33.527	33.527	N	N	N
19	hsa-miR-1257-002910	Undetermined		N	Y	Y
20	hsa-miR-200a#-001011	Undetermined		N	Y	Y
21	hsa-miR-432-001026	23.407	23.407	N	N	N
22	hsa-miR-432#-001027	Undetermined		N	Y	Y
23	hsa-miR-497-001043	31.725	31.725	N	N	N
24	hsa-miR-500-001046	31.223	31.223	N	N	N
25	hsa-miR-1238-002927	31.279	31.279	N	N	Y
26	hsa-miR-488-001106	Undetermined		Y	Y	Y
27	hsa-miR-517#-001113	Undetermined		Y	Y	Y
28	hsa-miR-516-3p-001149	38.095	38.095	N	N	Y
29	hsa-miR-518c#-001158	Undetermined		N	Y	Y
30	hsa-miR-519e#-001166	Undetermined		Y	Y	Y
31	hsa-miR-520h-001170	Undetermined		N	Y	Y
32	hsa-miR-524-001173	Undetermined		N	Y	Y
33	mmu-let-7d#-001178	26.969	26.969	N	N	Y
34	hsa-miR-363#-001283	Undetermined		Y	Y	Y
35	U6 snRNA-001973	25.054	24.812	N	N	N
36	U6 snRNA-001973	24.807	24.812	N	N	N
37	rno-miR-7#-001338	24.215	24.215	N	N	N
38	hsa-miR-656-001510	30.109	30.109	N	N	N
39	hsa-miR-549-001511	Undetermined		N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	Y	Y
41	hsa-miR-658-001513	Undetermined		N	Y	Y
42	hsa-miR-659-001514	Undetermined		N	Y	Y
43	hsa-miR-551a-001519	Undetermined		Y	Y	Y
44	hsa-miR-552-001520	33.144	33.144	N	N	Y
45	hsa-miR-553-001521	Undetermined		Y	Y	Y
46	hsa-miR-554-001522	Undetermined		N	Y	Y
47	hsa-miR-555-001523	Undetermined		N	Y	Y
48	hsa-miR-557-001525	Undetermined		Y	Y	Y
49	hsa-miR-558-001526	Undetermined		Y	Y	Y
50	hsa-miR-559-001527	Undetermined		N	Y	Y
51	hsa-miR-562-001529	Undetermined		N	Y	Y
52	hsa-miR-563-001530	Undetermined		Y	Y	Y
53	hsa-miR-564-001531	Undetermined		N	Y	Y
54	hsa-miR-566-001533	Undetermined		N	Y	Y
55	hsa-miR-567-001534	Undetermined		N	Y	Y
56	hsa-miR-569-001536	Undetermined		Y	Y	Y
57	hsa-miR-586-001539	Undetermined		N	Y	Y
58	hsa-miR-587-001540	Undetermined		Y	Y	Y
59	RNU44-001094	Undetermined		N	Y	Y
60	hsa-miR-588-001542	Undetermined		N	Y	Y
61	hsa-miR-589-001543	30.262	30.262	N	N	N
62	hsa-miR-550-001544	31.503	31.503	N	N	N
63	hsa-miR-591-001545	Undetermined		N	Y	Y
64	hsa-miR-592-001546	31.734	31.734	N	N	N
65	hsa-miR-593-001547	Undetermined		Y	Y	Y
66	hsa-miR-596-001550	Undetermined		N	Y	Y
67	hsa-miR-622-001553	Undetermined		N	Y	Y
68	hsa-miR-599-001554	Undetermined		N	Y	Y
69	hsa-miR-623-001555	Undetermined		N	Y	Y
70	hsa-miR-600-001556	Undetermined		N	Y	Y
71	hsa-miR-624-001557	31.410	31.410	N	N	N
72	hsa-miR-601-001558	35.866	35.866	N	N	Y
73	hsa-miR-626-001559	Undetermined		Y	Y	Y
74	hsa-miR-629-001562	28.262	28.262	N	N	N
75	hsa-miR-630-001563	Undetermined		N	Y	Y
76	hsa-miR-631-001564	Undetermined		Y	Y	Y
77	hsa-miR-603-001566	Undetermined		N	Y	Y
78	hsa-miR-604-001567	Undetermined		N	Y	Y
79	hsa-miR-605-001568	33.351	33.351	N	N	N
80	hsa-miR-606-001569	Undetermined		Y	Y	Y
81	hsa-miR-607-001570	Undetermined		N	Y	Y
82	hsa-miR-608-001571	Undetermined		N	Y	Y
83	hsa-miR-609-001573	Undetermined		Y	Y	Y
84	hsa-miR-633-001574	Undetermined		N	Y	Y
85	hsa-miR-634-001576	Undetermined		Y	Y	Y
86	hsa-miR-635-001578	Undetermined		N	Y	Y
87	hsa-miR-637-001581	Undetermined		Y	Y	Y
88	hsa-miR-638-001582	33.709	33.709	N	N	Y
89	hsa-miR-639-001583	33.566	33.566	N	N	Y
90	hsa-miR-640-001584	Undetermined		Y	Y	Y
91	hsa-miR-641-001585	Undetermined		N	Y	Y
92	hsa-miR-613-001586	Undetermined		N	Y	Y
93	hsa-miR-614-001587	Undetermined		N	Y	Y
94	hsa-miR-616-001589	32.761	32.761	N	N	N
95	hsa-miR-617-001591	Undetermined		N	Y	Y
96	hsa-miR-643-001594	Undetermined		N	Y	Y
97	hsa-miR-644-001596	Undetermined		Y	Y	Y
98	hsa-miR-645-001597	38.145	38.145	N	N	Y
99	hsa-miR-621-001598	Undetermined		Y	Y	Y
100	hsa-miR-646-001599	Undetermined		N	Y	Y
101	hsa-miR-647-001600	Undetermined		N	Y	Y
102	hsa-miR-648-001601	Undetermined		Y	Y	Y
103	hsa-miR-649-001602	Undetermined		Y	Y	Y
104	hsa-miR-650-001603	Undetermined		Y	Y	Y
105	hsa-miR-661-001606	29.753	29.753	N	N	Y
106	hsa-miR-662-001607	Undetermined		N	Y	Y
107	RNU48-001006	32.410	32.410	N	N	N
108	hsa-miR-571-001613	28.029	28.029	N	N	Y
109	hsa-miR-572-001614	Undetermined		N	Y	Y
110	hsa-miR-573-001615	Undetermined		N	Y	Y
111	hsa-miR-575-001617	Undetermined		N	Y	Y
112	hsa-miR-578-001619	Undetermined		N	Y	Y
113	hsa-miR-580-001621	Undetermined		N	Y	Y
114	hsa-miR-581-001622	Undetermined		N	Y	Y
115	hsa-miR-583-001623	Undetermined		Y	Y	Y
116	hsa-miR-584-001624	28.482	28.482	N	N	N
117	hsa-miR-585-001625	Undetermined		Y	Y	Y
118	rno-miR-29c#-001818	29.509	29.509	N	N	N
119	hsa-miR-766-001986	22.888	22.888	N	N	N
120	hsa-miR-595-001987	Undetermined		Y	Y	Y
121	hsa-miR-668-001992	Undetermined		N	Y	Y
122	hsa-miR-767-5p-001993	Undetermined		Y	Y	Y
123	hsa-miR-767-3p-001995	Undetermined		N	Y	Y
124	hsa-miR-454#-001996	29.459	29.459	N	N	N
125	hsa-miR-769-5p-001998	27.897	27.897	N	N	N
126	hsa-miR-770-5p-002002	28.816	28.816	N	N	N
127	hsa-miR-769-3p-002003	Undetermined		N	Y	Y
128	hsa-miR-802-002004	Undetermined		Y	Y	Y
129	hsa-miR-675-002005	Undetermined		N	Y	Y
130	hsa-miR-505#-002087	29.426	29.426	N	N	N
131	hsa-miR-218-1#-002094	Undetermined		Y	Y	Y
132	hsa-miR-221#-002096	34.707	34.707	N	N	Y
133	hsa-miR-222#-002097	Undetermined		Y	Y	Y
134	hsa-miR-223#-002098	24.876	24.876	N	N	N
135	hsa-miR-136#-002100	28.162	28.162	N	N	N
136	hsa-miR-34b-002102	28.822	28.822	N	N	N
137	hsa-miR-185#-002104	35.025	35.025	N	N	N
138	hsa-miR-186#-002105	Undetermined		Y	Y	Y
139	hsa-miR-195#-002107	Undetermined		Y	Y	Y
140	hsa-miR-30c-1#-002108	Undetermined		N	Y	Y
141	hsa-miR-30c-2#-002110	Undetermined		Y	Y	Y
142	hsa-miR-32#-002111	Undetermined		N	Y	Y
143	hsa-miR-31#-002113	31.335	31.335	N	N	N
144	hsa-miR-130b#-002114	Undetermined		N	Y	Y
145	hsa-miR-26a-2#-002115	31.754	31.754	N	N	N
146	hsa-miR-361-3p-002116	29.028	29.028	N	N	Y
147	hsa-let-7g#-002118	36.540	36.540	N	N	Y
148	hsa-miR-302b#-002119	Undetermined		Y	Y	Y
149	hsa-miR-302d#-002120	Undetermined		Y	Y	Y
150	hsa-miR-367#-002121	Undetermined		N	Y	Y
151	hsa-miR-374a#-002125	Undetermined		Y	Y	Y
