* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-05-25 PP09072 A.eds
* Experiment Name = 2012-05-25 PP09072 A
* Experiment Run End Time = 2012-05-25 10:45:53 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	Y
2	hsa-let-7c-4373167	27.459	27.459	N	N
3	hsa-let-7d-4395394	28.661	28.661	N	N
4	hsa-let-7e-4395517	31.602	31.602	N	N
5	hsa-let-7f-4373164	Undetermined		Y	Y
6	hsa-let-7g-4395393	27.296	27.296	N	N
7	hsa-miR-1-4395333	33.181	33.181	N	N
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	28.398	28.398	N	N
10	hsa-miR-10b-4395329	Undetermined		N	Y
11	MammU6-4395470	28.780	28.718	N	N
12	MammU6-4395470	28.655	28.718	N	N
13	hsa-miR-15a-4373123	Undetermined		N	Y
14	hsa-miR-15b-4373122	27.669	27.669	N	N
15	hsa-miR-16-4373121	17.320	17.320	N	N
16	hsa-miR-17-4395419	17.362	17.362	N	N
17	hsa-miR-18a-4395533	27.420	27.420	N	N
18	hsa-miR-18b-4395328	37.330	37.330	N	N
19	hsa-miR-19a-4373099	22.991	22.991	N	N
20	hsa-miR-19b-4373098	16.956	16.956	N	N
21	hsa-miR-20a-4373286	20.625	20.625	N	N
22	hsa-miR-20b-4373263	22.466	22.466	N	N
23	hsa-miR-21-4373090	22.270	22.270	N	N
24	hsa-miR-22-4373079	37.248	37.248	N	N
25	hsa-miR-23a-4373074	36.503	36.503	N	N
26	hsa-miR-23b-4373073	Undetermined		N	Y
27	hsa-miR-24-4373072	17.392	17.392	N	N
28	hsa-miR-25-4373071	21.641	21.641	N	N
29	hsa-miR-26a-4395166	24.428	24.428	N	N
30	hsa-miR-26b-4395167	24.354	24.354	N	N
31	hsa-miR-27a-4373287	23.687	23.687	N	N
32	hsa-miR-27b-4373068	23.250	23.250	N	N
33	hsa-miR-28-3p-4395557	23.466	23.466	N	N
34	hsa-miR-28-5p-4373067	28.376	28.376	N	N
35	MammU6-4395470	28.738	28.718	N	N
36	MammU6-4395470	28.698	28.718	N	N
37	hsa-miR-29a-4395223	21.964	21.964	N	N
