* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-05-25 PP09080 A.eds
* Experiment Name = 2012-05-25 PP09080 A
* Experiment Run End Time = 2012-05-25 17:33:03 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	N
2	hsa-let-7c-4373167	28.391	28.391	N	N
3	hsa-let-7d-4395394	26.472	26.472	N	N
4	hsa-let-7e-4395517	26.017	26.017	N	N
5	hsa-let-7f-4373164	Undetermined		Y	Y
6	hsa-let-7g-4395393	24.778	24.778	N	N
7	hsa-miR-1-4395333	Undetermined		N	Y
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	29.123	29.123	N	N
10	hsa-miR-10b-4395329	Undetermined		N	Y
11	MammU6-4395470	27.085	26.987	N	N
12	MammU6-4395470	27.006	26.987	N	N
13	hsa-miR-15a-4373123	31.105	31.105	N	N
14	hsa-miR-15b-4373122	24.508	24.508	N	N
15	hsa-miR-16-4373121	17.016	17.016	N	N
16	hsa-miR-17-4395419	16.285	16.285	N	N
17	hsa-miR-18a-4395533	25.144	25.144	N	N
18	hsa-miR-18b-4395328	32.630	32.630	N	N
19	hsa-miR-19a-4373099	21.793	21.793	N	N
20	hsa-miR-19b-4373098	16.093	16.093	N	N
21	hsa-miR-20a-4373286	18.614	18.614	N	N
22	hsa-miR-20b-4373263	20.815	20.815	N	N
23	hsa-miR-21-4373090	22.345	22.345	N	N
24	hsa-miR-22-4373079	32.342	32.342	N	N
25	hsa-miR-23a-4373074	32.999	32.999	N	N
26	hsa-miR-23b-4373073	Undetermined		N	Y
27	hsa-miR-24-4373072	17.689	17.689	N	N
28	hsa-miR-25-4373071	21.009	21.009	N	N
29	hsa-miR-26a-4395166	23.085	23.085	N	N
30	hsa-miR-26b-4395167	24.169	24.169	N	N
31	hsa-miR-27a-4373287	22.394	22.394	N	N
32	hsa-miR-27b-4373068	26.968	26.968	N	N
33	hsa-miR-28-3p-4395557	21.614	21.614	N	N
34	hsa-miR-28-5p-4373067	24.972	24.972	N	N
35	MammU6-4395470	26.914	26.987	N	N
36	MammU6-4395470	26.942	26.987	N	N
37	hsa-miR-29a-4395223	21.893	21.893	N	N
38	hsa-miR-29b-4373288	29.818	29.818	N	N
39	hsa-miR-29c-4395171	27.117	27.117	N	N
40	hsa-miR-30b-4373290	22.481	22.481	N	N
41	hsa-miR-30c-4373060	21.997	21.997	N	N
42	hsa-miR-31-4395390	27.615	27.615	N	N
43	hsa-miR-32-4395220	Undetermined		N	Y
44	hsa-miR-33b-4395196	Undetermined		Y	Y
45	hsa-miR-34a-4395168	26.532	26.532	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y
47	hsa-miR-92a-4395169	19.089	19.089	N	N
48	hsa-miR-93-4373302	19.762	19.762	N	N
49	hsa-miR-95-4373011	28.889	28.889	N	N
50	hsa-miR-96-4373372	Undetermined		N	Y
51	hsa-miR-98-4373009	Undetermined		N	Y
52	hsa-miR-99a-4373008	38.558	38.558	N	N
53	hsa-miR-99b-4373007	28.785	28.785	N	N
54	hsa-miR-100-4373160	37.064	37.064	N	N
55	hsa-miR-101-4395364	26.198	26.198	N	N
56	hsa-miR-103-4373158	24.719	24.719	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y
58	hsa-miR-106a-4395280	16.091	16.091	N	N
59	RNU44-4373384	Undetermined		Y	Y
60	hsa-miR-106b-4373155	21.200	21.200	N	N
61	hsa-miR-107-4373154	31.138	31.138	N	N
62	hsa-miR-122-4395356	21.216	21.216	N	N
63	hsa-miR-124-4373295	Undetermined		Y	Y
64	hsa-miR-125a-3p-4395310	Undetermined		N	Y
65	hsa-miR-125a-5p-4395309	25.056	25.056	N	N
66	hsa-miR-125b-4373148	26.123	26.123	N	N
67	hsa-miR-126-4395339	16.987	16.987	N	N
68	hsa-miR-127-3p-4373147	25.343	25.343	N	N
69	hsa-miR-127-5p-4395340	Undetermined		Y	Y
70	hsa-miR-128-4395327	27.645	27.645	N	N
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y
73	hsa-miR-130a-4373145	23.823	23.823	N	N
74	hsa-miR-130b-4373144	26.342	26.342	N	N
75	hsa-miR-132-4373143	25.115	25.115	N	N
76	hsa-miR-133a-4395357	24.049	24.049	N	N
77	hsa-miR-133b-4395358	30.962	30.962	N	N
78	hsa-miR-134-4373299	26.848	26.848	N	N
79	hsa-miR-135a-4373140	Undetermined		N	Y
80	hsa-miR-135b-4395372	30.119	30.119	N	N
81	hsa-miR-136-4373173	Undetermined		N	Y
82	hsa-miR-137-4373301	Undetermined		Y	Y
83	hsa-miR-138-4395395	29.139	29.139	N	N
84	hsa-miR-139-3p-4395424	25.277	25.277	N	N
85	hsa-miR-139-5p-4395400	22.382	22.382	N	N
86	hsa-miR-140-3p-4395345	24.950	24.950	N	N
87	hsa-miR-140-5p-4373374	22.881	22.881	N	N
88	hsa-miR-141-4373137	30.292	30.292	N	N
89	hsa-miR-142-3p-4373136	21.137	21.137	N	N
90	hsa-miR-142-5p-4395359	26.696	26.696	N	N
91	hsa-miR-143-4395360	24.963	24.963	N	N
92	hsa-miR-145-4395389	26.388	26.388	N	N
93	hsa-miR-146a-4373132	16.346	16.346	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		Y	Y
95	hsa-miR-146b-5p-4373178	21.068	21.068	N	N
96	hsa-miR-147b-4395373	Undetermined		Y	Y
97	hsa-miR-148a-4373130	25.104	25.104	N	N
98	hsa-miR-148b-4373129	27.787	27.787	N	N
99	hsa-miR-149-4395366	35.115	35.115	N	N
100	hsa-miR-150-4373127	19.752	19.752	N	N
101	hsa-miR-152-4395170	23.507	23.507	N	N
102	hsa-miR-153-4373305	Undetermined		Y	Y
103	hsa-miR-154-4373270	Undetermined		Y	Y
104	hsa-miR-181a-4373117	30.768	30.768	N	N
105	hsa-miR-181c-4373115	38.824	38.824	N	N
106	hsa-miR-182-4395445	Undetermined		Y	Y
107	RNU48-4373383	27.313	27.313	N	N
108	hsa-miR-183-4395380	35.044	35.044	N	N
109	hsa-miR-184-4373113	25.778	25.778	N	N
110	hsa-miR-185-4395382	21.261	21.261	N	N
111	hsa-miR-186-4395396	20.639	20.639	N	N
112	hsa-miR-187-4373307	Undetermined		Y	Y
113	hsa-miR-188-3p-4395217	Undetermined		Y	Y
114	hsa-miR-190-4373110	29.623	29.623	N	N
115	hsa-miR-191-4395410	16.548	16.548	N	N
116	hsa-miR-192-4373108	22.029	22.029	N	N
117	hsa-miR-193a-3p-4395361	36.961	36.961	N	N
118	hsa-miR-193a-5p-4395392	24.539	24.539	N	N
119	hsa-miR-193b-4395478	22.818	22.818	N	N
120	hsa-miR-194-4373106	27.429	27.429	N	N
121	hsa-miR-195-4373105	24.810	24.810	N	N
122	hsa-miR-196b-4395326	34.329	34.329	N	N
123	hsa-miR-197-4373102	22.945	22.945	N	N
124	hsa-miR-198-4395384	Undetermined		N	Y
125	hsa-miR-199a-5p-4373272	29.596	29.596	N	N
126	hsa-miR-199a-3p-4395415	22.061	22.061	N	N
127	hsa-miR-199b-5p-4373100	32.139	32.139	N	N
128	hsa-miR-200a-4378069	36.576	36.576	N	N
129	hsa-miR-200b-4395362	37.712	37.712	N	N
130	hsa-miR-200c-4395411	28.956	28.956	N	N
131	hsa-miR-202-4395474	Undetermined		N	N
132	hsa-miR-203-4373095	26.486	26.486	N	N
133	hsa-miR-204-4373094	26.801	26.801	N	N
134	hsa-miR-205-4373093	28.151	28.151	N	N
135	hsa-miR-208b-4395401	Undetermined		N	Y
136	hsa-miR-210-4373089	24.592	24.592	N	N
137	hsa-miR-214-4395417	29.975	29.975	N	N
138	hsa-miR-215-4373084	Undetermined		N	N
139	hsa-miR-216a-4395331	Undetermined		Y	Y
140	hsa-miR-216b-4395437	Undetermined		Y	Y
141	hsa-miR-217-4395448	Undetermined		Y	Y
