* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-29 PP09085 A.eds
* Experiment Name = 2012-06-29 PP09085 A
* Experiment Run End Time = 2012-06-29 15:33:04 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	24.055	24.055	N	N	N	N
2	hsa-let-7c-4373167	24.769	24.769	N	N	N	N
3	hsa-let-7d-4395394	23.346	23.346	N	N	N	N
4	hsa-let-7e-4395517	20.387	20.387	N	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	Y	Y
6	hsa-let-7g-4395393	22.731	22.731	N	N	N	N
7	hsa-miR-1-4395333	29.116	29.116	N	N	N	N
8	hsa-miR-9-4373285	29.495	29.495	N	N	N	N
9	hsa-miR-10a-4373153	25.477	25.477	N	N	N	N
10	hsa-miR-10b-4395329	35.328	35.328	N	N	N	N
11	MammU6-4395470	25.054	25.203	N	N	N	N
12	MammU6-4395470	25.248	25.203	N	N	N	N
13	hsa-miR-15a-4373123	22.612	22.612	N	N	N	N
14	hsa-miR-15b-4373122	21.496	21.496	N	N	N	N
15	hsa-miR-16-4373121	14.121	14.121	N	N	N	N
16	hsa-miR-17-4395419	15.131	15.131	N	N	N	N
17	hsa-miR-18a-4395533	23.157	23.157	N	N	N	N
18	hsa-miR-18b-4395328	24.180	24.180	N	N	N	Y
19	hsa-miR-19a-4373099	19.094	19.094	N	N	N	N
20	hsa-miR-19b-4373098	13.468	13.468	N	N	N	N
