* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-28 PP09091A.eds
* Experiment Name = 2012-06-28 PP09091A
* Experiment Run End Time = 2012-06-29 11:35:33 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	22.574	22.574	N	N	N	N
2	hsa-let-7c-4373167	25.457	25.457	N	N	N	N
3	hsa-let-7d-4395394	22.623	22.623	N	N	N	N
4	hsa-let-7e-4395517	20.198	20.198	N	N	N	N
5	hsa-let-7f-4373164	25.420	25.420	N	N	N	Y
6	hsa-let-7g-4395393	22.213	22.213	N	N	N	N
7	hsa-miR-1-4395333	28.351	28.351	Y	N	N	N
8	hsa-miR-9-4373285	30.481	30.481	N	N	N	N
9	hsa-miR-10a-4373153	24.788	24.788	N	N	N	N
10	hsa-miR-10b-4395329	34.522	34.522	N	N	N	N
11	MammU6-4395470	24.360	24.196	N	N	N	N
12	MammU6-4395470	24.350	24.196	N	N	N	N
13	hsa-miR-15a-4373123	23.861	23.861	N	N	N	N
14	hsa-miR-15b-4373122	20.552	20.552	N	N	N	N
15	hsa-miR-16-4373121	14.363	14.363	N	N	N	N
16	hsa-miR-17-4395419	15.348	15.348	N	N	N	N
17	hsa-miR-18a-4395533	23.106	23.106	N	N	N	N
18	hsa-miR-18b-4395328	24.785	24.785	N	N	N	Y
19	hsa-miR-19a-4373099	19.186	19.186	N	N	N	N
20	hsa-miR-19b-4373098	13.627	13.627	N	N	N	N
21	hsa-miR-20a-4373286	15.948	15.948	N	N	N	N
22	hsa-miR-20b-4373263	23.073	23.073	N	N	N	N
23	hsa-miR-21-4373090	16.482	16.482	N	N	N	N
24	hsa-miR-22-4373079	20.896	20.896	N	N	N	N
25	hsa-miR-23a-4373074	23.318	23.318	N	N	N	Y
26	hsa-miR-23b-4373073	Undetermined		N	N	Y	Y
27	hsa-miR-24-4373072	14.754	14.754	N	N	N	N
28	hsa-miR-25-4373071	18.449	18.449	N	N	N	N
29	hsa-miR-26a-4395166	19.180	19.180	N	N	N	N
30	hsa-miR-26b-4395167	21.300	21.300	N	N	N	N
31	hsa-miR-27a-4373287	19.228	19.228	N	N	N	N
32	hsa-miR-27b-4373068	20.455	20.455	N	N	N	N
33	hsa-miR-28-3p-4395557	20.612	20.612	N	N	N	N
34	hsa-miR-28-5p-4373067	21.349	21.349	N	N	N	N
35	MammU6-4395470	23.887	24.196	N	N	N	N
36	MammU6-4395470	24.186	24.196	N	N	N	N
37	hsa-miR-29a-4395223	21.886	21.886	N	N	N	N
38	hsa-miR-29b-4373288	27.523	27.523	N	N	N	N
39	hsa-miR-29c-4395171	26.452	26.452	N	N	N	N
40	hsa-miR-30b-4373290	17.831	17.831	N	N	N	N
41	hsa-miR-30c-4373060	17.218	17.218	N	N	N	N
42	hsa-miR-31-4395390	24.188	24.188	N	N	N	N
43	hsa-miR-32-4395220	28.133	28.133	N	N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	Y	Y	Y
45	hsa-miR-34a-4395168	24.913	24.913	N	N	N	N
46	hsa-miR-34c-5p-4373036	33.106	33.106	N	N	N	N
47	hsa-miR-92a-4395169	15.517	15.517	N	N	N	N
48	hsa-miR-93-4373302	18.550	18.550	N	N	N	N
49	hsa-miR-95-4373011	28.742	28.742	N	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	N	Y	Y
52	hsa-miR-99a-4373008	27.915	27.915	N	N	N	N
53	hsa-miR-99b-4373007	20.281	20.281	N	N	N	N
54	hsa-miR-100-4373160	25.505	25.505	N	N	N	N
55	hsa-miR-101-4395364	22.992	22.992	N	N	N	N
56	hsa-miR-103-4373158	19.891	19.891	N	N	N	N
57	hsa-miR-105-4395278	Undetermined		N	Y	Y	Y
58	hsa-miR-106a-4395280	15.128	15.128	N	N	N	N
59	RNU44-4373384	Undetermined		N	N	Y	Y
60	hsa-miR-106b-4373155	18.725	18.725	N	N	N	N
61	hsa-miR-107-4373154	25.268	25.268	N	N	N	N
62	hsa-miR-122-4395356	21.136	21.136	N	N	N	N
63	hsa-miR-124-4373295	27.501	27.501	N	N	N	N
