* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-19 PP09094 B.eds
* Experiment Name = 2012-06-19 PP09094 B
* Experiment Run End Time = 2012-06-19 18:45:14 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	HIGHSD	NOAMP	OUTLIERRG	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	26.531	26.531	N	N	N	N	N
2	hsa-miR-548I-002909	Undetermined		N	Y	N	Y	Y
3	hsa-miR-30a-3p-000416	20.993	20.993	N	N	N	N	N
4	hsa-miR-30a-5p-000417	15.254	15.254	N	N	N	N	N
5	hsa-miR-30d-000420	17.642	17.642	N	N	N	N	N
6	hsa-miR-30e-3p-000422	21.172	21.172	N	N	N	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	N	Y	Y
8	hsa-miR-126#-000451	21.239	21.239	N	N	N	N	N
9	hsa-miR-154#-000478	Undetermined		N	Y	N	Y	Y
10	hsa-miR-182#-000483	Undetermined		N	Y	N	Y	Y
11	U6 snRNA-001973	23.541	25.415	Y	N	N	N	N
12	U6 snRNA-001973	23.353	25.415	Y	N	N	N	N
13	hsa-miR-206-000510	25.728	25.728	N	N	N	N	N
14	hsa-miR-213-000516	29.113	29.113	N	N	N	N	Y
15	hsa-miR-302c#-000534	Undetermined		N	N	N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	N	N	Y	Y
17	hsa-miR-378-000567	27.270	27.270	N	N	N	N	N
18	hsa-miR-380-5p-000570	Undetermined		N	Y	N	Y	Y
19	hsa-miR-1257-002910	Undetermined		N	Y	N	Y	Y
