* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-26 PP09098 A.eds
* Experiment Name = 2012-07-26 PP09098 A
* Experiment Run End Time = 2012-07-26 10:57:56 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	27.084	27.084	N	N	Y
2	hsa-let-7c-4373167	26.583	26.583	N	N	N
3	hsa-let-7d-4395394	26.303	26.303	N	N	N
4	hsa-let-7e-4395517	24.996	24.996	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y	Y
6	hsa-let-7g-4395393	25.514	25.514	N	N	N
7	hsa-miR-1-4395333	28.890	28.890	N	N	N
8	hsa-miR-9-4373285	33.832	33.832	N	N	N
9	hsa-miR-10a-4373153	27.623	27.623	N	N	N
10	hsa-miR-10b-4395329	34.897	34.897	N	N	N
11	MammU6-4395470	29.496	29.754	N	N	N
12	MammU6-4395470	29.921	29.754	N	N	N
13	hsa-miR-15a-4373123	29.436	29.436	N	N	Y
14	hsa-miR-15b-4373122	25.884	25.884	N	N	N
15	hsa-miR-16-4373121	18.715	18.715	N	N	N
16	hsa-miR-17-4395419	19.366	19.366	N	N	N
17	hsa-miR-18a-4395533	25.501	25.501	N	N	N
18	hsa-miR-18b-4395328	32.961	32.961	N	N	N
19	hsa-miR-19a-4373099	23.740	23.740	N	N	N
20	hsa-miR-19b-4373098	16.423	16.423	N	N	N
21	hsa-miR-20a-4373286	20.031	20.031	N	N	N
22	hsa-miR-20b-4373263	23.592	23.592	N	N	N
23	hsa-miR-21-4373090	18.975	18.975	N	N	N
24	hsa-miR-22-4373079	21.697	21.697	N	N	Y
25	hsa-miR-23a-4373074	24.884	24.884	N	N	N
26	hsa-miR-23b-4373073	Undetermined		N	Y	Y
27	hsa-miR-24-4373072	18.499	18.499	N	N	N
28	hsa-miR-25-4373071	21.945	21.945	N	N	N
29	hsa-miR-26a-4395166	23.154	23.154	N	N	N
30	hsa-miR-26b-4395167	24.777	24.777	N	N	N
31	hsa-miR-27a-4373287	23.135	23.135	N	N	N
32	hsa-miR-27b-4373068	23.711	23.711	N	N	N
33	hsa-miR-28-3p-4395557	24.029	24.029	N	N	N
34	hsa-miR-28-5p-4373067	27.429	27.429	N	N	N
35	MammU6-4395470	29.916	29.754	N	N	N
36	MammU6-4395470	29.684	29.754	N	N	N
37	hsa-miR-29a-4395223	23.109	23.109	N	N	N
38	hsa-miR-29b-4373288	29.547	29.547	N	N	N
39	hsa-miR-29c-4395171	26.888	26.888	N	N	N
40	hsa-miR-30b-4373290	22.058	22.058	N	N	N
41	hsa-miR-30c-4373060	22.455	22.455	N	N	N
42	hsa-miR-31-4395390	28.740	28.740	N	N	Y
43	hsa-miR-32-4395220	31.590	31.590	N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	Y	Y
45	hsa-miR-34a-4395168	24.580	24.580	N	N	N
46	hsa-miR-34c-5p-4373036	34.468	34.468	N	N	N
47	hsa-miR-92a-4395169	20.596	20.596	N	N	N
48	hsa-miR-93-4373302	21.471	21.471	N	N	N
49	hsa-miR-95-4373011	28.449	28.449	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	Y	Y
52	hsa-miR-99a-4373008	26.390	26.390	N	N	N
53	hsa-miR-99b-4373007	25.368	25.368	N	N	N
54	hsa-miR-100-4373160	26.326	26.326	N	N	N
55	hsa-miR-101-4395364	24.966	24.966	N	N	N
56	hsa-miR-103-4373158	23.444	23.444	N	N	Y
57	hsa-miR-105-4395278	Undetermined		Y	Y	Y
58	hsa-miR-106a-4395280	19.256	19.256	N	N	N
59	RNU44-4373384	Undetermined		Y	Y	Y
60	hsa-miR-106b-4373155	22.594	22.594	N	N	N
61	hsa-miR-107-4373154	28.670	28.670	N	N	N
62	hsa-miR-122-4395356	17.761	17.761	N	N	N
63	hsa-miR-124-4373295	Undetermined		N	Y	Y
64	hsa-miR-125a-3p-4395310	37.238	37.238	N	N	Y
65	hsa-miR-125a-5p-4395309	28.991	28.991	N	N	N
66	hsa-miR-125b-4373148	22.671	22.671	N	N	N
67	hsa-miR-126-4395339	19.116	19.116	N	N	N
68	hsa-miR-127-3p-4373147	24.354	24.354	N	N	N
69	hsa-miR-127-5p-4395340	31.971	31.971	N	N	N
70	hsa-miR-128-4395327	26.200	26.200	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	Y	Y
73	hsa-miR-130a-4373145	22.902	22.902	N	N	N
74	hsa-miR-130b-4373144	23.961	23.961	N	N	N
75	hsa-miR-132-4373143	24.327	24.327	N	N	N
76	hsa-miR-133a-4395357	23.427	23.427	N	N	N
77	hsa-miR-133b-4395358	26.048	26.048	N	N	N
78	hsa-miR-134-4373299	25.046	25.046	N	N	N
79	hsa-miR-135a-4373140	35.582	35.582	N	N	N
80	hsa-miR-135b-4395372	33.888	33.888	N	N	N
81	hsa-miR-136-4373173	Undetermined		Y	Y	Y
82	hsa-miR-137-4373301	Undetermined		Y	Y	Y
83	hsa-miR-138-4395395	29.959	29.959	N	N	N
84	hsa-miR-139-3p-4395424	25.874	25.874	N	N	Y
85	hsa-miR-139-5p-4395400	24.363	24.363	N	N	N
86	hsa-miR-140-3p-4395345	26.995	26.995	N	N	N
87	hsa-miR-140-5p-4373374	23.960	23.960	N	N	N
88	hsa-miR-141-4373137	28.835	28.835	N	N	N
89	hsa-miR-142-3p-4373136	21.281	21.281	N	N	N
90	hsa-miR-142-5p-4395359	26.628	26.628	N	N	N
91	hsa-miR-143-4395360	22.825	22.825	N	N	N
92	hsa-miR-145-4395389	23.351	23.351	N	N	N
93	hsa-miR-146a-4373132	20.199	20.199	N	N	N
94	hsa-miR-146b-3p-4395472	30.862	30.862	N	N	N
95	hsa-miR-146b-5p-4373178	22.943	22.943	N	N	N
96	hsa-miR-147b-4395373	Undetermined		Y	Y	Y
97	hsa-miR-148a-4373130	22.489	22.489	N	N	N
98	hsa-miR-148b-4373129	26.930	26.930	N	N	N
99	hsa-miR-149-4395366	Undetermined		Y	Y	Y
100	hsa-miR-150-4373127	21.459	21.459	N	N	N
101	hsa-miR-152-4395170	24.420	24.420	N	N	N
102	hsa-miR-153-4373305	Undetermined		Y	Y	Y
103	hsa-miR-154-4373270	30.481	30.481	N	N	N
104	hsa-miR-181a-4373117	25.538	25.538	N	N	Y
105	hsa-miR-181c-4373115	30.875	30.875	N	N	Y
106	hsa-miR-182-4395445	Undetermined		Y	Y	Y
107	RNU48-4373383	30.876	30.876	N	N	N
108	hsa-miR-183-4395380	32.534	32.534	N	N	N
109	hsa-miR-184-4373113	28.406	28.406	N	N	N
110	hsa-miR-185-4395382	23.279	23.279	N	N	N
111	hsa-miR-186-4395396	24.346	24.346	N	N	N
112	hsa-miR-187-4373307	27.813	27.813	N	N	Y
113	hsa-miR-188-3p-4395217	Undetermined		Y	Y	Y
114	hsa-miR-190-4373110	35.415	35.415	N	N	N
115	hsa-miR-191-4395410	20.609	20.609	N	N	N
116	hsa-miR-192-4373108	22.350	22.350	N	N	N
117	hsa-miR-193a-3p-4395361	33.063	33.063	N	N	N
118	hsa-miR-193a-5p-4395392	23.387	23.387	N	N	N
119	hsa-miR-193b-4395478	22.305	22.305	N	N	N
120	hsa-miR-194-4373106	27.983	27.983	N	N	N
121	hsa-miR-195-4373105	24.491	24.491	N	N	N
122	hsa-miR-196b-4395326	Undetermined		Y	Y	Y
123	hsa-miR-197-4373102	23.201	23.201	N	N	N
124	hsa-miR-198-4395384	32.547	32.547	N	N	Y
125	hsa-miR-199a-5p-4373272	27.739	27.739	N	N	N
126	hsa-miR-199a-3p-4395415	22.409	22.409	N	N	N
127	hsa-miR-199b-5p-4373100	29.361	29.361	N	N	N
128	hsa-miR-200a-4378069	25.973	25.973	N	N	Y
129	hsa-miR-200b-4395362	27.295	27.295	N	N	N
130	hsa-miR-200c-4395411	27.717	27.717	N	N	Y
131	hsa-miR-202-4395474	29.551	29.551	N	N	Y
132	hsa-miR-203-4373095	28.559	28.559	N	N	N
133	hsa-miR-204-4373094	26.505	26.505	N	N	N
134	hsa-miR-205-4373093	29.002	29.002	N	N	N
135	hsa-miR-208b-4395401	Undetermined		N	Y	Y
136	hsa-miR-210-4373089	22.318	22.318	N	N	N
137	hsa-miR-214-4395417	24.185	24.185	N	N	N
138	hsa-miR-215-4373084	24.280	24.280	N	N	Y
139	hsa-miR-216a-4395331	32.880	32.880	N	N	N
140	hsa-miR-216b-4395437	30.986	30.986	N	N	N
141	hsa-miR-217-4395448	Undetermined		Y	Y	Y
142	hsa-miR-218-4373081	26.453	26.453	N	N	N
143	hsa-miR-219-5p-4373080	32.480	32.480	N	N	N
144	hsa-miR-221-4373077	21.942	21.942	N	N	N
145	hsa-miR-222-4395387	20.256	20.256	N	N	N
146	hsa-miR-223-4395406	15.593	15.593	N	N	N
147	hsa-miR-224-4395210	25.265	25.265	N	N	N
148	hsa-miR-296-3p-4395212	Undetermined		Y	Y	Y
149	hsa-miR-296-5p-4373066	27.591	27.591	N	N	Y
150	hsa-miR-299-3p-4373189	35.633	35.633	N	N	Y
151	hsa-miR-299-5p-4373188	Undetermined		N	Y	Y
152	hsa-miR-301a-4373064	26.794	26.794	N	N	N
153	hsa-miR-301b-4395503	30.506	30.506	N	N	N
154	hsa-miR-302a-4378070	26.585	26.585	N	N	N
155	ath-miR159a-4373390	16.337	16.337	N	N	N
156	hsa-miR-302b-4378071	Undetermined		N	N	Y
157	hsa-miR-302c-4378072	Undetermined		N	N	Y
