* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-26 PP09018 PanelA.eds
* Experiment Name = 2012-03-26 PP09018 PanelA
* Experiment Run End Time = 2012-03-26 13:16:02 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	N
2	hsa-let-7c-4373167	33.282	33.282	N	N
3	hsa-let-7d-4395394	32.642	32.642	N	N
4	hsa-let-7e-4395517	29.104	29.104	N	N
5	hsa-let-7f-4373164	Undetermined		Y	Y
6	hsa-let-7g-4395393	27.661	27.661	N	N
7	hsa-miR-1-4395333	Undetermined		Y	Y
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	33.523	33.523	N	N
10	hsa-miR-10b-4395329	Undetermined		Y	Y
11	MammU6-4395470	28.977	29.118	N	N
12	MammU6-4395470	29.000	29.118	N	N
13	hsa-miR-15a-4373123	Undetermined		N	Y
14	hsa-miR-15b-4373122	31.024	31.024	N	N
15	hsa-miR-16-4373121	19.851	19.851	N	N
16	hsa-miR-17-4395419	19.064	19.064	N	N
17	hsa-miR-18a-4395533	30.770	30.770	N	N
18	hsa-miR-18b-4395328	Undetermined		N	Y
19	hsa-miR-19a-4373099	26.691	26.691	N	N
20	hsa-miR-19b-4373098	19.874	19.874	N	N
21	hsa-miR-20a-4373286	23.294	23.294	N	N
22	hsa-miR-20b-4373263	26.536	26.536	N	N
23	hsa-miR-21-4373090	25.936	25.936	N	N
24	hsa-miR-22-4373079	Undetermined		Y	Y
25	hsa-miR-23a-4373074	Undetermined		N	Y
26	hsa-miR-23b-4373073	Undetermined		N	N
27	hsa-miR-24-4373072	18.083	18.083	N	N
28	hsa-miR-25-4373071	25.443	25.443	N	N
29	hsa-miR-26a-4395166	24.042	24.042	N	N
30	hsa-miR-26b-4395167	25.751	25.751	N	N
31	hsa-miR-27a-4373287	24.586	24.586	N	N
32	hsa-miR-27b-4373068	28.696	28.696	N	N
33	hsa-miR-28-3p-4395557	26.108	26.108	N	N
34	hsa-miR-28-5p-4373067	29.400	29.400	N	N
35	MammU6-4395470	29.105	29.118	N	N
36	MammU6-4395470	29.391	29.118	N	N
37	hsa-miR-29a-4395223	25.014	25.014	N	N
38	hsa-miR-29b-4373288	Undetermined		Y	Y
39	hsa-miR-29c-4395171	29.303	29.303	N	N
40	hsa-miR-30b-4373290	26.876	26.876	N	N
41	hsa-miR-30c-4373060	24.566	24.566	N	N
42	hsa-miR-31-4395390	34.396	34.396	N	N
43	hsa-miR-32-4395220	Undetermined		Y	Y
44	hsa-miR-33b-4395196	Undetermined		Y	Y
45	hsa-miR-34a-4395168	31.184	31.184	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y
47	hsa-miR-92a-4395169	22.759	22.759	N	N
48	hsa-miR-93-4373302	25.271	25.271	N	N
49	hsa-miR-95-4373011	Undetermined		N	Y
50	hsa-miR-96-4373372	Undetermined		Y	Y
51	hsa-miR-98-4373009	Undetermined		N	Y
52	hsa-miR-99a-4373008	Undetermined		N	Y
53	hsa-miR-99b-4373007	32.419	32.419	N	N
54	hsa-miR-100-4373160	Undetermined		N	N
55	hsa-miR-101-4395364	29.456	29.456	N	N
56	hsa-miR-103-4373158	29.256	29.256	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y
58	hsa-miR-106a-4395280	18.972	18.972	N	N
59	RNU44-4373384	Undetermined		Y	Y
60	hsa-miR-106b-4373155	24.416	24.416	N	N
61	hsa-miR-107-4373154	36.738	36.738	N	N
62	hsa-miR-122-4395356	22.903	22.903	N	N
63	hsa-miR-124-4373295	Undetermined		Y	Y
64	hsa-miR-125a-3p-4395310	Undetermined		N	Y
65	hsa-miR-125a-5p-4395309	27.618	27.618	N	N
66	hsa-miR-125b-4373148	32.576	32.576	N	N
67	hsa-miR-126-4395339	18.050	18.050	N	N
68	hsa-miR-127-3p-4373147	Undetermined		Y	Y
69	hsa-miR-127-5p-4395340	Undetermined		Y	Y
70	hsa-miR-128-4395327	Undetermined		N	N
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y
73	hsa-miR-130a-4373145	30.236	30.236	N	N
74	hsa-miR-130b-4373144	29.766	29.766	N	N
75	hsa-miR-132-4373143	26.594	26.594	N	N
76	hsa-miR-133a-4395357	23.417	23.417	N	N
77	hsa-miR-133b-4395358	Undetermined		N	N
78	hsa-miR-134-4373299	32.012	32.012	N	N
79	hsa-miR-135a-4373140	Undetermined		N	Y
80	hsa-miR-135b-4395372	Undetermined		N	Y
81	hsa-miR-136-4373173	38.757	38.757	N	N
82	hsa-miR-137-4373301	Undetermined		Y	Y
83	hsa-miR-138-4395395	Undetermined		Y	Y
84	hsa-miR-139-3p-4395424	28.617	28.617	N	N
85	hsa-miR-139-5p-4395400	23.255	23.255	N	N
86	hsa-miR-140-3p-4395345	26.047	26.047	N	N
87	hsa-miR-140-5p-4373374	25.827	25.827	N	N
88	hsa-miR-141-4373137	33.311	33.311	N	N
89	hsa-miR-142-3p-4373136	26.668	26.668	N	N
90	hsa-miR-142-5p-4395359	30.479	30.479	N	N
91	hsa-miR-143-4395360	29.855	29.855	N	N
92	hsa-miR-145-4395389	29.732	29.732	N	N
93	hsa-miR-146a-4373132	27.248	27.248	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		Y	Y
95	hsa-miR-146b-5p-4373178	20.648	20.648	N	N
96	hsa-miR-147b-4395373	Undetermined		N	Y
97	hsa-miR-148a-4373130	27.719	27.719	N	N
98	hsa-miR-148b-4373129	31.761	31.761	N	N
99	hsa-miR-149-4395366	Undetermined		Y	Y
100	hsa-miR-150-4373127	20.073	20.073	N	N
101	hsa-miR-152-4395170	27.900	27.900	N	N
102	hsa-miR-153-4373305	Undetermined		Y	Y
103	hsa-miR-154-4373270	Undetermined		Y	Y
104	hsa-miR-181a-4373117	38.147	38.147	N	N
105	hsa-miR-181c-4373115	Undetermined		N	Y
106	hsa-miR-182-4395445	37.603	37.603	N	N
107	RNU48-4373383	Undetermined		Y	Y
108	hsa-miR-183-4395380	Undetermined		N	N
109	hsa-miR-184-4373113	29.789	29.789	N	N
110	hsa-miR-185-4395382	25.988	25.988	N	N
111	hsa-miR-186-4395396	21.862	21.862	N	N
112	hsa-miR-187-4373307	Undetermined		Y	Y
113	hsa-miR-188-3p-4395217	Undetermined		Y	Y
114	hsa-miR-190-4373110	Undetermined		Y	Y
115	hsa-miR-191-4395410	15.736	15.736	N	N
116	hsa-miR-192-4373108	23.933	23.933	N	N
117	hsa-miR-193a-3p-4395361	Undetermined		Y	Y
118	hsa-miR-193a-5p-4395392	34.005	34.005	N	N
119	hsa-miR-193b-4395478	24.663	24.663	N	N
120	hsa-miR-194-4373106	32.314	32.314	N	N
121	hsa-miR-195-4373105	26.092	26.092	N	N
122	hsa-miR-196b-4395326	Undetermined		Y	Y
123	hsa-miR-197-4373102	26.087	26.087	N	N
124	hsa-miR-198-4395384	Undetermined		Y	Y
125	hsa-miR-199a-5p-4373272	Undetermined		Y	Y
126	hsa-miR-199a-3p-4395415	24.719	24.719	N	N
127	hsa-miR-199b-5p-4373100	Undetermined		Y	Y
128	hsa-miR-200a-4378069	37.035	37.035	N	N
129	hsa-miR-200b-4395362	Undetermined		N	N
130	hsa-miR-200c-4395411	28.594	28.594	N	N
131	hsa-miR-202-4395474	Undetermined		N	N
132	hsa-miR-203-4373095	30.619	30.619	N	N
133	hsa-miR-204-4373094	31.607	31.607	N	N
134	hsa-miR-205-4373093	Undetermined		Y	Y
135	hsa-miR-208b-4395401	Undetermined		Y	Y
136	hsa-miR-210-4373089	29.561	29.561	N	N
137	hsa-miR-214-4395417	Undetermined		N	N
138	hsa-miR-215-4373084	Undetermined		N	N
139	hsa-miR-216a-4395331	Undetermined		Y	Y
140	hsa-miR-216b-4395437	Undetermined		Y	Y
141	hsa-miR-217-4395448	Undetermined		Y	Y
142	hsa-miR-218-4373081	35.714	35.714	N	N
143	hsa-miR-219-5p-4373080	Undetermined		Y	Y
144	hsa-miR-221-4373077	26.749	26.749	N	N
145	hsa-miR-222-4395387	19.790	19.790	N	N
146	hsa-miR-223-4395406	14.810	14.810	N	N
147	hsa-miR-224-4395210	33.037	33.037	N	N
148	hsa-miR-296-3p-4395212	Undetermined		N	N
149	hsa-miR-296-5p-4373066	Undetermined		Y	Y
150	hsa-miR-299-3p-4373189	Undetermined		Y	Y
151	hsa-miR-299-5p-4373188	Undetermined		Y	Y
152	hsa-miR-301a-4373064	Undetermined		N	Y
153	hsa-miR-301b-4395503	35.128	35.128	N	N
154	hsa-miR-302a-4378070	Undetermined		N	Y
155	ath-miR159a-4373390	25.418	25.418	N	N
156	hsa-miR-302b-4378071	Undetermined		N	Y
157	hsa-miR-302c-4378072	Undetermined		Y	Y
158	hsa-miR-320-4395388	20.896	20.896	N	N
159	hsa-miR-323-3p-4395338	Undetermined		N	N
160	hsa-miR-324-3p-4395272	30.201	30.201	N	N
161	hsa-miR-324-5p-4373052	28.627	28.627	N	N
162	hsa-miR-326-4373050	Undetermined		Y	Y
163	hsa-miR-328-4373049	27.585	27.585	N	N
164	hsa-miR-329-4373191	Undetermined		Y	Y
165	hsa-miR-330-3p-4373047	Undetermined		N	N
166	hsa-miR-330-5p-4395341	Undetermined		Y	Y
167	hsa-miR-331-3p-4373046	26.728	26.728	N	N
168	hsa-miR-331-5p-4395344	Undetermined		N	Y
169	hsa-miR-335-4373045	27.994	27.994	N	N
170	hsa-miR-337-5p-4395267	Undetermined		N	Y
171	hsa-miR-338-3p-4395363	Undetermined		N	N
172	hsa-miR-339-3p-4395295	24.629	24.629	N	N
173	hsa-miR-339-5p-4395368	Undetermined		Y	Y
174	hsa-miR-340-4395369	30.560	30.560	N	N
175	has-miR-155-4395459	24.026	24.026	N	N
176	hsa-let-7b-4395446	26.810	26.810	N	N
177	hsa-miR-342-3p-4395371	21.227	21.227	N	N
178	hsa-miR-342-5p-4395258	Undetermined		N	Y
179	hsa-miR-345-4395297	25.875	25.875	N	N
180	hsa-miR-361-5p-4373035	Undetermined		N	N
181	hsa-miR-362-3p-4395228	Undetermined		Y	Y
182	hsa-miR-362-5p-4378092	Undetermined		Y	Y
183	hsa-miR-363-4378090	29.608	29.608	N	N
184	hsa-miR-365-4373194	Undetermined		N	N
185	hsa-miR-367-4373034	Undetermined		N	N
186	hsa-miR-369-3p-4373032	Undetermined		Y	Y
187	hsa-miR-369-5p-4373195	Undetermined		Y	Y
188	hsa-miR-370-4395386	32.772	32.772	N	N
189	hsa-miR-371-3p-4395235	Undetermined		Y	Y
190	hsa-miR-372-4373029	Undetermined		Y	Y
191	hsa-miR-373-4378073	Undetermined		N	Y
192	hsa-miR-374a-4373028	25.579	25.579	N	N
193	hsa-miR-374b-4381045	24.028	24.028	N	N
194	hsa-miR-375-4373027	30.389	30.389	N	N
195	hsa-miR-376a-4373026	27.563	27.563	N	N
196	hsa-miR-376b-4373196	Undetermined		Y	Y
197	hsa-miR-377-4373025	Undetermined		N	Y
198	hsa-miR-379-4373349	Undetermined		Y	Y
199	hsa-miR-380-4373022	Undetermined		Y	Y
200	hsa-miR-381-4373020	Undetermined		Y	Y
201	hsa-miR-382-4373019	37.544	37.544	N	N
202	hsa-miR-383-4373018	Undetermined		Y	Y
203	hsa-miR-409-5p-4395442	Undetermined		Y	Y
204	hsa-miR-410-4378093	35.727	35.727	N	N
205	hsa-miR-411-4381013	34.229	34.229	N	N
206	hsa-miR-422a-4395408	Undetermined		Y	Y
207	hsa-miR-423-5p-4395451	29.332	29.332	N	N
208	hsa-miR-424-4373201	Undetermined		Y	Y
209	hsa-miR-425-4380926	29.619	29.619	N	N
210	hsa-miR-429-4373203	37.491	37.491	N	N
211	hsa-miR-431-4395173	Undetermined		N	N
212	hsa-miR-433-4373205	35.264	35.264	N	N
213	hsa-miR-449a-4373207	32.112	32.112	N	N
214	hsa-miR-449b-4381011	Undetermined		Y	Y
215	hsa-miR-450a-4395414	Undetermined		Y	Y
216	hsa-miR-450b-3p-4395319	Undetermined		Y	Y
217	hsa-miR-450b-5p-4395318	Undetermined		N	N
218	hsa-miR-451-4373360	22.280	22.280	N	N
219	hsa-miR-452-4395440	Undetermined		N	Y
220	hsa-miR-453-4395429	Undetermined		N	Y
221	hsa-miR-454-4395434	24.227	24.227	N	N
222	hsa-miR-455-3p-4395355	Undetermined		Y	Y
223	hsa-miR-455-5p-4378098	Undetermined		Y	Y
224	hsa-miR-483-5p-4395449	20.371	20.371	N	N
225	hsa-miR-484-4381032	17.560	17.560	N	N
226	hsa-miR-485-3p-4378095	Undetermined		N	N
227	hsa-miR-485-5p-4373212	Undetermined		Y	Y
228	hsa-miR-486-3p-4395204	36.269	36.269	N	N
229	hsa-miR-486-5p-4378096	23.987	23.987	N	N
230	hsa-miR-487a-4378097	Undetermined		Y	Y
231	hsa-miR-487b-4378102	38.590	38.590	N	N
232	hsa-miR-488-4395468	Undetermined		Y	Y
