* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-26 PP09022 Panel B.eds
* Experiment Name = 2012-03-26 PP09022 Panel B
* Experiment Run End Time = 2012-03-26 11:18:59 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	dme-miR-7-000268	Undetermined		N	N
2	hsa-miR-548I-002909	Undetermined		Y	Y
3	hsa-miR-30a-3p-000416	23.732	23.732	N	N
4	hsa-miR-30a-5p-000417	19.250	19.250	N	N
5	hsa-miR-30d-000420	22.491	22.491	N	N
6	hsa-miR-30e-3p-000422	22.072	22.072	N	N
7	hsa-miR-34b-000427	Undetermined		Y	Y
8	hsa-miR-126#-000451	20.304	20.304	N	N
9	hsa-miR-154#-000478	38.890	38.890	N	N
10	hsa-miR-182#-000483	Undetermined		Y	Y
11	U6 snRNA-001973	32.632	32.579	N	N
12	U6 snRNA-001973	32.628	32.579	N	N
13	hsa-miR-206-000510	25.605	25.605	N	N
14	hsa-miR-213-000516	30.084	30.084	N	N
15	hsa-miR-302c#-000534	Undetermined		Y	Y
16	hsa-miR-302d-000535	Undetermined		N	N
17	hsa-miR-378-000567	Undetermined		Y	Y
18	hsa-miR-380-5p-000570	34.667	34.667	N	N
19	hsa-miR-1257-002910	Undetermined		Y	Y
20	hsa-miR-200a#-001011	Undetermined		N	Y
21	hsa-miR-432-001026	22.462	22.462	N	N
22	hsa-miR-432#-001027	Undetermined		Y	Y
23	hsa-miR-497-001043	Undetermined		Y	Y
24	hsa-miR-500-001046	Undetermined		N	N
25	hsa-miR-1238-002927	Undetermined		Y	Y
26	hsa-miR-488-001106	Undetermined		Y	Y
27	hsa-miR-517#-001113	Undetermined		Y	Y
28	hsa-miR-516-3p-001149	30.134	30.134	N	N
29	hsa-miR-518c#-001158	Undetermined		Y	Y
30	hsa-miR-519e#-001166	Undetermined		Y	Y
31	hsa-miR-520h-001170	Undetermined		Y	Y
32	hsa-miR-524-001173	Undetermined		Y	Y
33	mmu-let-7d#-001178	Undetermined		N	N
34	hsa-miR-363#-001283	Undetermined		Y	Y
35	U6 snRNA-001973	32.474	32.579	N	N
36	U6 snRNA-001973	32.582	32.579	N	N
37	rno-miR-7#-001338	22.788	22.788	N	N
38	hsa-miR-656-001510	30.270	30.270	N	N
39	hsa-miR-549-001511	Undetermined		Y	Y
40	hsa-miR-657-001512	Undetermined		Y	Y
41	hsa-miR-658-001513	Undetermined		Y	Y
42	hsa-miR-659-001514	Undetermined		Y	Y
43	hsa-miR-551a-001519	Undetermined		Y	Y
44	hsa-miR-552-001520	Undetermined		Y	Y
45	hsa-miR-553-001521	Undetermined		Y	Y
46	hsa-miR-554-001522	Undetermined		Y	Y
47	hsa-miR-555-001523	Undetermined		Y	Y
48	hsa-miR-557-001525	Undetermined		Y	Y
49	hsa-miR-558-001526	Undetermined		Y	Y
50	hsa-miR-559-001527	Undetermined		N	N
51	hsa-miR-562-001529	Undetermined		Y	Y
52	hsa-miR-563-001530	Undetermined		Y	Y
53	hsa-miR-564-001531	Undetermined		N	Y
54	hsa-miR-566-001533	Undetermined		Y	Y
55	hsa-miR-567-001534	Undetermined		N	Y
56	hsa-miR-569-001536	Undetermined		Y	Y
57	hsa-miR-586-001539	36.400	36.400	N	N
58	hsa-miR-587-001540	Undetermined		N	Y
59	RNU44-001094	Undetermined		N	Y
60	hsa-miR-588-001542	Undetermined		Y	Y
61	hsa-miR-589-001543	Undetermined		N	N
62	hsa-miR-550-001544	Undetermined		N	Y
63	hsa-miR-591-001545	Undetermined		Y	Y
64	hsa-miR-592-001546	34.434	34.434	N	N
65	hsa-miR-593-001547	Undetermined		Y	Y
66	hsa-miR-596-001550	Undetermined		N	Y
67	hsa-miR-622-001553	Undetermined		Y	Y
68	hsa-miR-599-001554	Undetermined		Y	Y
69	hsa-miR-623-001555	36.022	36.022	N	N
70	hsa-miR-600-001556	Undetermined		Y	Y
71	hsa-miR-624-001557	35.045	35.045	N	N
72	hsa-miR-601-001558	22.579	22.579	N	N
73	hsa-miR-626-001559	Undetermined		Y	Y
74	hsa-miR-629-001562	27.615	27.615	N	N
75	hsa-miR-630-001563	Undetermined		N	N
76	hsa-miR-631-001564	Undetermined		Y	Y
77	hsa-miR-603-001566	36.478	36.478	N	N
78	hsa-miR-604-001567	Undetermined		Y	Y
79	hsa-miR-605-001568	Undetermined		Y	Y
80	hsa-miR-606-001569	Undetermined		N	N
81	hsa-miR-607-001570	Undetermined		Y	Y
82	hsa-miR-608-001571	Undetermined		Y	Y
83	hsa-miR-609-001573	Undetermined		Y	Y
84	hsa-miR-633-001574	Undetermined		Y	Y
85	hsa-miR-634-001576	Undetermined		Y	Y
86	hsa-miR-635-001578	Undetermined		Y	Y
87	hsa-miR-637-001581	Undetermined		Y	Y
88	hsa-miR-638-001582	30.629	30.629	N	N
89	hsa-miR-639-001583	Undetermined		N	N
90	hsa-miR-640-001584	Undetermined		Y	Y
91	hsa-miR-641-001585	Undetermined		N	N
92	hsa-miR-613-001586	Undetermined		Y	Y
93	hsa-miR-614-001587	Undetermined		Y	Y
94	hsa-miR-616-001589	Undetermined		N	Y
95	hsa-miR-617-001591	Undetermined		Y	Y
96	hsa-miR-643-001594	Undetermined		N	N
97	hsa-miR-644-001596	Undetermined		Y	Y
98	hsa-miR-645-001597	Undetermined		Y	Y
99	hsa-miR-621-001598	Undetermined		Y	Y
100	hsa-miR-646-001599	Undetermined		N	Y
101	hsa-miR-647-001600	Undetermined		Y	Y
102	hsa-miR-648-001601	Undetermined		N	Y
103	hsa-miR-649-001602	Undetermined		Y	Y
104	hsa-miR-650-001603	Undetermined		N	Y
