* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-13 PP09027 Panel B.eds
* Experiment Name = 2012-03-13 PP09027 Panel B
* Experiment Run End Time = 2012-03-13 19:52:34 PM EDT
* Experiment Type = Standard Curve
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	28.451	N	N	N
2	hsa-miR-548I-002909	Undetermined	Y	Y	Y
3	hsa-miR-30a-3p-000416	24.004	N	N	N
4	hsa-miR-30a-5p-000417	18.008	N	N	N
5	hsa-miR-30d-000420	19.950	N	N	N
6	hsa-miR-30e-3p-000422	23.512	N	N	N
7	hsa-miR-34b-000427	Undetermined	Y	Y	Y
8	hsa-miR-126#-000451	20.906	N	N	N
9	hsa-miR-154#-000478	Undetermined	Y	Y	Y
10	hsa-miR-182#-000483	Undetermined	Y	Y	Y
11	U6 snRNA-001973	27.505	N	N	N
12	U6 snRNA-001973	27.553	N	N	N
13	hsa-miR-206-000510	27.329	N	N	N
14	hsa-miR-213-000516	28.622	N	N	N
15	hsa-miR-302c#-000534	Undetermined	Y	Y	Y
16	hsa-miR-302d-000535	Undetermined	Y	Y	Y
17	hsa-miR-378-000567	31.784	N	N	N
18	hsa-miR-380-5p-000570	29.854	N	N	N
19	hsa-miR-1257-002910	Undetermined	Y	Y	Y
20	hsa-miR-200a#-001011	33.305	N	N	Y
21	hsa-miR-432-001026	22.432	N	N	N
22	hsa-miR-432#-001027	Undetermined	Y	Y	Y
23	hsa-miR-497-001043	28.025	N	N	N
24	hsa-miR-500-001046	30.187	N	N	N
25	hsa-miR-1238-002927	28.495	N	N	N
26	hsa-miR-488-001106	Undetermined	Y	Y	Y
27	hsa-miR-517#-001113	Undetermined	Y	Y	Y
28	hsa-miR-516-3p-001149	Undetermined	N	N	Y
29	hsa-miR-518c#-001158	Undetermined	Y	Y	Y
30	hsa-miR-519e#-001166	Undetermined	Y	Y	Y
31	hsa-miR-520h-001170	Undetermined	Y	Y	Y
32	hsa-miR-524-001173	Undetermined	N	Y	Y
33	mmu-let-7d#-001178	23.324	N	N	N
34	hsa-miR-363#-001283	Undetermined	Y	Y	Y
35	U6 snRNA-001973	27.672	N	N	N
36	U6 snRNA-001973	27.447	N	N	N
37	rno-miR-7#-001338	21.551	N	N	N
38	hsa-miR-656-001510	28.062	N	N	N
39	hsa-miR-549-001511	36.423	N	N	Y
40	hsa-miR-657-001512	Undetermined	N	Y	Y
41	hsa-miR-658-001513	Undetermined	Y	Y	Y
42	hsa-miR-659-001514	Undetermined	Y	Y	Y
43	hsa-miR-551a-001519	Undetermined	Y	Y	Y
44	hsa-miR-552-001520	Undetermined	Y	Y	Y
45	hsa-miR-553-001521	Undetermined	Y	Y	Y
46	hsa-miR-554-001522	Undetermined	Y	Y	Y
47	hsa-miR-555-001523	Undetermined	Y	Y	Y
48	hsa-miR-557-001525	Undetermined	Y	Y	Y
49	hsa-miR-558-001526	Undetermined	Y	Y	Y
50	hsa-miR-559-001527	Undetermined	N	Y	Y
51	hsa-miR-562-001529	Undetermined	Y	Y	Y
52	hsa-miR-563-001530	Undetermined	Y	Y	Y
53	hsa-miR-564-001531	Undetermined	Y	Y	Y
54	hsa-miR-566-001533	Undetermined	N	Y	Y
55	hsa-miR-567-001534	Undetermined	Y	Y	Y
56	hsa-miR-569-001536	Undetermined	Y	Y	Y
57	hsa-miR-586-001539	Undetermined	N	Y	Y
58	hsa-miR-587-001540	Undetermined	N	Y	Y
59	RNU44-001094	Undetermined	Y	Y	Y
60	hsa-miR-588-001542	Undetermined	Y	Y	Y
61	hsa-miR-589-001543	29.234	N	N	N
62	hsa-miR-550-001544	30.796	N	N	Y
63	hsa-miR-591-001545	Undetermined	Y	Y	Y
64	hsa-miR-592-001546	31.505	N	N	N
65	hsa-miR-593-001547	Undetermined	Y	Y	Y
66	hsa-miR-596-001550	Undetermined	N	Y	Y
67	hsa-miR-622-001553	Undetermined	Y	Y	Y
68	hsa-miR-599-001554	Undetermined	Y	Y	Y
69	hsa-miR-623-001555	35.177	N	N	N
70	hsa-miR-600-001556	Undetermined	Y	Y	Y
71	hsa-miR-624-001557	Undetermined	Y	Y	Y
72	hsa-miR-601-001558	31.982	N	N	N
73	hsa-miR-626-001559	Undetermined	N	N	Y
74	hsa-miR-629-001562	26.952	N	N	N
75	hsa-miR-630-001563	Undetermined	Y	Y	Y
76	hsa-miR-631-001564	Undetermined	Y	Y	Y
77	hsa-miR-603-001566	Undetermined	Y	Y	Y
78	hsa-miR-604-001567	Undetermined	Y	Y	Y
79	hsa-miR-605-001568	36.503	N	N	Y
80	hsa-miR-606-001569	Undetermined	Y	Y	Y
81	hsa-miR-607-001570	Undetermined	Y	Y	Y
82	hsa-miR-608-001571	Undetermined	Y	Y	Y
83	hsa-miR-609-001573	Undetermined	Y	Y	Y
84	hsa-miR-633-001574	Undetermined	Y	Y	Y
85	hsa-miR-634-001576	Undetermined	Y	Y	Y
86	hsa-miR-635-001578	Undetermined	Y	Y	Y
87	hsa-miR-637-001581	Undetermined	Y	Y	Y
88	hsa-miR-638-001582	28.127	N	N	N
89	hsa-miR-639-001583	29.735	N	N	Y
90	hsa-miR-640-001584	Undetermined	Y	Y	Y
91	hsa-miR-641-001585	Undetermined	N	Y	Y
92	hsa-miR-613-001586	Undetermined	Y	Y	Y
93	hsa-miR-614-001587	Undetermined	Y	Y	Y
94	hsa-miR-616-001589	31.498	N	N	N
95	hsa-miR-617-001591	Undetermined	Y	Y	Y
96	hsa-miR-643-001594	Undetermined	Y	Y	Y
97	hsa-miR-644-001596	Undetermined	Y	Y	Y
98	hsa-miR-645-001597	35.539	N	N	N
99	hsa-miR-621-001598	Undetermined	Y	Y	Y
100	hsa-miR-646-001599	Undetermined	N	Y	Y
101	hsa-miR-647-001600	Undetermined	Y	Y	Y
102	hsa-miR-648-001601	Undetermined	N	Y	Y
103	hsa-miR-649-001602	Undetermined	Y	Y	Y
104	hsa-miR-650-001603	30.899	N	N	Y
105	hsa-miR-661-001606	23.694	N	N	N
106	hsa-miR-662-001607	Undetermined	Y	Y	Y
107	RNU48-001006	28.623	N	N	N
108	hsa-miR-571-001613	29.725	N	N	Y
109	hsa-miR-572-001614	34.382	N	N	N
110	hsa-miR-573-001615	Undetermined	N	Y	Y
111	hsa-miR-575-001617	33.675	N	N	N
112	hsa-miR-578-001619	Undetermined	Y	Y	Y
113	hsa-miR-580-001621	Undetermined	Y	Y	Y
114	hsa-miR-581-001622	Undetermined	Y	Y	Y
115	hsa-miR-583-001623	Undetermined	N	Y	Y
116	hsa-miR-584-001624	26.868	N	N	N
117	hsa-miR-585-001625	Undetermined	Y	Y	Y
118	rno-miR-29c#-001818	29.901	N	N	N
119	hsa-miR-766-001986	22.278	N	N	N
120	hsa-miR-595-001987	Undetermined	Y	Y	Y
121	hsa-miR-668-001992	34.691	N	N	N
122	hsa-miR-767-5p-001993	Undetermined	Y	Y	Y
123	hsa-miR-767-3p-001995	Undetermined	Y	Y	Y
124	hsa-miR-454#-001996	29.400	N	N	N
125	hsa-miR-769-5p-001998	26.845	N	N	N
126	hsa-miR-770-5p-002002	30.265	N	N	Y
127	hsa-miR-769-3p-002003	Undetermined	Y	Y	Y
128	hsa-miR-802-002004	Undetermined	Y	Y	Y
129	hsa-miR-675-002005	Undetermined	Y	Y	Y
130	hsa-miR-505#-002087	26.989	N	N	N
131	hsa-miR-218-1#-002094	Undetermined	Y	Y	Y
132	hsa-miR-221#-002096	Undetermined	Y	Y	Y
133	hsa-miR-222#-002097	Undetermined	Y	Y	Y
134	hsa-miR-223#-002098	23.576	N	N	N
135	hsa-miR-136#-002100	27.470	N	N	N
136	hsa-miR-34b-002102	25.263	N	N	N
137	hsa-miR-185#-002104	Undetermined	Y	Y	Y
138	hsa-miR-186#-002105	Undetermined	Y	Y	Y
139	hsa-miR-195#-002107	Undetermined	Y	Y	Y
140	hsa-miR-30c-1#-002108	Undetermined	Y	Y	Y
141	hsa-miR-30c-2#-002110	Undetermined	Y	Y	Y
142	hsa-miR-32#-002111	Undetermined	Y	Y	Y
143	hsa-miR-31#-002113	Undetermined	Y	Y	Y
144	hsa-miR-130b#-002114	30.356	N	N	Y
145	hsa-miR-26a-2#-002115	Undetermined	Y	Y	Y
146	hsa-miR-361-3p-002116	27.523	N	N	Y
147	hsa-let-7g#-002118	Undetermined	Y	Y	Y
148	hsa-miR-302b#-002119	Undetermined	Y	Y	Y
149	hsa-miR-302d#-002120	Undetermined	Y	Y	Y
150	hsa-miR-367#-002121	Undetermined	Y	Y	Y
151	hsa-miR-374a#-002125	30.391	N	N	N
152	hsa-miR-23b#-002126	Undetermined	Y	Y	Y
153	hsa-miR-376a#-002127	32.864	N	N	N
154	hsa-miR-377#-002128	Undetermined	Y	Y	Y
155	ath-miR159a-000338	16.422	N	N	N
156	hsa-miR-30b#-002129	Undetermined	Y	Y	Y
157	hsa-miR-122#-002130	Undetermined	Y	Y	Y
158	hsa-miR-130a#-002131	Undetermined	Y	Y	Y
159	hsa-miR-132#-002132	31.487	N	N	N
160	hsa-miR-148a#-002134	Undetermined	Y	Y	Y
161	hsa-miR-33a-002135	Undetermined	N	Y	Y
162	hsa-miR-33a#-002136	28.364	N	N	N
163	hsa-miR-92a-1#-002137	30.151	N	N	N
164	hsa-miR-92a-2#-002138	Undetermined	Y	Y	Y
165	hsa-miR-93#-002139	24.942	N	N	N
166	hsa-miR-96#-002140	Undetermined	Y	Y	Y
167	hsa-miR-99a#-002141	34.045	N	N	N
168	hsa-miR-100#-002142	Undetermined	Y	Y	Y
169	hsa-miR-101#-002143	Undetermined	N	Y	Y
170	hsa-miR-138-2#-002144	Undetermined	Y	Y	Y
171	hsa-miR-141#-002145	37.733	N	N	Y
172	hsa-miR-143#-002146	Undetermined	Y	Y	Y
173	hsa-miR-144#-002148	26.472	N	N	N
174	hsa-miR-145#-002149	28.612	N	N	N
175	hsa-miR-920-002150	Undetermined	Y	Y	Y
176	hsa-miR-921-002151	Undetermined	Y	Y	Y
177	hsa-miR-922-002152	Undetermined	Y	Y	Y
178	hsa-miR-924-002154	Undetermined	Y	Y	Y
179	hsa-miR-337-3p-002157	29.765	N	N	Y
180	hsa-miR-125b-2#-002158	Undetermined	N	Y	Y
181	hsa-miR-135b#-002159	Undetermined	Y	Y	Y
182	hsa-miR-148b#-002160	31.860	N	N	N
183	hsa-miR-146a#-002163	Undetermined	Y	Y	Y
184	hsa-miR-149#-002164	Undetermined	Y	Y	Y
185	hsa-miR-29b-1#-002165	Undetermined	Y	Y	Y
186	hsa-miR-29b-2#-002166	Undetermined	Y	Y	Y
187	hsa-miR-105#-002168	Undetermined	Y	Y	Y
188	hsa-miR-106a#-002170	Undetermined	N	Y	Y
189	hsa-miR-16-2#-002171	Undetermined	Y	Y	Y
190	hsa-let-7i#-002172	Undetermined	Y	Y	Y
191	hsa-miR-15b#-002173	27.358	N	N	N
192	hsa-miR-27b#-002174	Undetermined	Y	Y	Y
193	hsa-miR-933-002176	33.519	N	N	Y
194	hsa-miR-934-002177	Undetermined	Y	Y	Y
195	hsa-miR-935-002178	Undetermined	N	Y	Y
196	hsa-miR-936-002179	Undetermined	Y	Y	Y
197	hsa-miR-937-002180	Undetermined	Y	Y	Y
198	hsa-miR-938-002181	Undetermined	Y	Y	Y
199	hsa-miR-939-002182	30.630	N	N	N
200	hsa-miR-941-002183	Undetermined	Y	Y	Y
201	hsa-miR-335#-002185	26.553	N	N	N
202	hsa-miR-942-002187	24.205	N	N	N
203	hsa-miR-943-002188	Undetermined	Y	Y	Y
