* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-25 PP09032 A.eds
* Experiment Name = 2012-07-25 PP09032 A
* Experiment Run End Time = 2012-07-25 10:24:11 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	24.513	24.513	N	N	Y
2	hsa-let-7c-4373167	25.445	25.445	N	N	N
3	hsa-let-7d-4395394	23.346	23.346	N	N	N
4	hsa-let-7e-4395517	22.427	22.427	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y	Y
6	hsa-let-7g-4395393	22.645	22.645	N	N	N
7	hsa-miR-1-4395333	27.431	27.431	N	N	N
8	hsa-miR-9-4373285	30.128	30.128	N	N	N
9	hsa-miR-10a-4373153	26.967	26.967	N	N	N
10	hsa-miR-10b-4395329	31.994	31.994	N	N	N
11	MammU6-4395470	26.974	26.865	N	N	N
12	MammU6-4395470	26.683	26.865	N	N	N
13	hsa-miR-15a-4373123	27.085	27.085	N	N	Y
14	hsa-miR-15b-4373122	21.844	21.844	N	N	N
15	hsa-miR-16-4373121	15.998	15.998	N	N	N
16	hsa-miR-17-4395419	16.969	16.969	N	N	N
17	hsa-miR-18a-4395533	23.006	23.006	N	N	N
18	hsa-miR-18b-4395328	27.898	27.898	N	N	Y
19	hsa-miR-19a-4373099	20.454	20.454	N	N	N
20	hsa-miR-19b-4373098	14.897	14.897	N	N	N
21	hsa-miR-20a-4373286	17.467	17.467	N	N	N
22	hsa-miR-20b-4373263	21.079	21.079	N	N	N
23	hsa-miR-21-4373090	18.407	18.407	N	N	N
24	hsa-miR-22-4373079	22.953	22.953	N	N	N
25	hsa-miR-23a-4373074	23.549	23.549	N	N	Y
26	hsa-miR-23b-4373073	Undetermined		N	Y	Y
27	hsa-miR-24-4373072	17.516	17.516	N	N	N
28	hsa-miR-25-4373071	20.413	20.413	N	N	N
29	hsa-miR-26a-4395166	19.474	19.474	N	N	N
30	hsa-miR-26b-4395167	21.019	21.019	N	N	N
31	hsa-miR-27a-4373287	21.417	21.417	N	N	N
32	hsa-miR-27b-4373068	22.513	22.513	N	N	N
33	hsa-miR-28-3p-4395557	22.786	22.786	N	N	N
34	hsa-miR-28-5p-4373067	24.831	24.831	N	N	N
35	MammU6-4395470	26.938	26.865	N	N	N
36	MammU6-4395470	26.866	26.865	N	N	N
37	hsa-miR-29a-4395223	24.283	24.283	N	N	N
38	hsa-miR-29b-4373288	28.967	28.967	N	N	N
39	hsa-miR-29c-4395171	27.179	27.179	N	N	N
40	hsa-miR-30b-4373290	20.055	20.055	N	N	N
41	hsa-miR-30c-4373060	20.620	20.620	N	N	N
42	hsa-miR-31-4395390	26.669	26.669	N	N	N
43	hsa-miR-32-4395220	28.868	28.868	N	N	N
44	hsa-miR-33b-4395196	Undetermined		Y	Y	Y
45	hsa-miR-34a-4395168	26.069	26.069	N	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y	Y
47	hsa-miR-92a-4395169	18.206	18.206	N	N	N
48	hsa-miR-93-4373302	19.815	19.815	N	N	N
49	hsa-miR-95-4373011	28.992	28.992	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	Y	Y
51	hsa-miR-98-4373009	27.254	27.254	N	N	Y
52	hsa-miR-99a-4373008	26.211	26.211	N	N	N
53	hsa-miR-99b-4373007	24.455	24.455	N	N	N
54	hsa-miR-100-4373160	26.161	26.161	N	N	N
55	hsa-miR-101-4395364	23.942	23.942	N	N	N
56	hsa-miR-103-4373158	21.347	21.347	N	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y	Y
58	hsa-miR-106a-4395280	17.031	17.031	N	N	N
59	RNU44-4373384	Undetermined		Y	Y	Y
60	hsa-miR-106b-4373155	19.919	19.919	N	N	N
61	hsa-miR-107-4373154	28.399	28.399	N	N	Y
62	hsa-miR-122-4395356	22.155	22.155	N	N	N
63	hsa-miR-124-4373295	Undetermined		Y	Y	Y
64	hsa-miR-125a-3p-4395310	35.521	35.521	N	N	N
65	hsa-miR-125a-5p-4395309	27.489	27.489	N	N	N
66	hsa-miR-125b-4373148	24.963	24.963	N	N	N
67	hsa-miR-126-4395339	16.985	16.985	N	N	N
68	hsa-miR-127-3p-4373147	24.319	24.319	N	N	N
69	hsa-miR-127-5p-4395340	32.479	32.479	N	N	N
70	hsa-miR-128-4395327	25.116	25.116	N	N	N
71	hsa-miR-129-3p-4373297	34.791	34.791	N	N	Y
