* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-16 PP09050 B.eds
* Experiment Name = 2012-07-16 PP09050 B
* Experiment Run End Time = 2012-07-17 11:04:00 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	28.406	28.406	N	N	N
2	hsa-miR-548I-002909	Undetermined		Y	Y	Y
3	hsa-miR-30a-3p-000416	24.383	24.383	N	N	N
4	hsa-miR-30a-5p-000417	19.892	19.892	N	N	N
5	hsa-miR-30d-000420	21.646	21.646	N	N	N
6	hsa-miR-30e-3p-000422	23.400	23.400	N	N	N
7	hsa-miR-34b-000427	Undetermined		Y	Y	Y
8	hsa-miR-126#-000451	21.459	21.459	N	N	N
9	hsa-miR-154#-000478	Undetermined		Y	Y	Y
10	hsa-miR-182#-000483	Undetermined		Y	Y	Y
11	U6 snRNA-001973	25.423	25.548	N	N	N
12	U6 snRNA-001973	25.752	25.548	N	N	N
13	hsa-miR-206-000510	28.209	28.209	N	N	N
14	hsa-miR-213-000516	28.530	28.530	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	Y	Y
16	hsa-miR-302d-000535	Undetermined		Y	Y	Y
17	hsa-miR-378-000567	30.615	30.615	N	N	N
18	hsa-miR-380-5p-000570	31.555	31.555	N	N	N
19	hsa-miR-1257-002910	Undetermined		Y	Y	Y
20	hsa-miR-200a#-001011	Undetermined		Y	Y	Y
21	hsa-miR-432-001026	23.428	23.428	N	N	N
22	hsa-miR-432#-001027	Undetermined		Y	Y	Y
23	hsa-miR-497-001043	27.974	27.974	N	N	N
24	hsa-miR-500-001046	30.065	30.065	N	N	N
25	hsa-miR-1238-002927	30.620	30.620	N	N	Y
26	hsa-miR-488-001106	Undetermined		Y	Y	Y
27	hsa-miR-517#-001113	Undetermined		Y	Y	Y
28	hsa-miR-516-3p-001149	36.863	36.863	N	N	Y
29	hsa-miR-518c#-001158	Undetermined		Y	Y	Y
30	hsa-miR-519e#-001166	Undetermined		Y	Y	Y
31	hsa-miR-520h-001170	Undetermined		Y	Y	Y
32	hsa-miR-524-001173	Undetermined		Y	Y	Y
33	mmu-let-7d#-001178	23.569	23.569	N	N	Y
34	hsa-miR-363#-001283	31.426	31.426	N	N	N
35	U6 snRNA-001973	25.317	25.548	N	N	N
36	U6 snRNA-001973	25.698	25.548	N	N	N
37	rno-miR-7#-001338	22.890	22.890	N	N	N
38	hsa-miR-656-001510	29.142	29.142	N	N	N
39	hsa-miR-549-001511	Undetermined		N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	Y	Y
41	hsa-miR-658-001513	Undetermined		Y	Y	Y
42	hsa-miR-659-001514	Undetermined		Y	Y	Y
43	hsa-miR-551a-001519	Undetermined		Y	Y	Y
44	hsa-miR-552-001520	Undetermined		N	Y	Y
45	hsa-miR-553-001521	Undetermined		Y	Y	Y
46	hsa-miR-554-001522	Undetermined		Y	Y	Y
47	hsa-miR-555-001523	Undetermined		Y	Y	Y
48	hsa-miR-557-001525	Undetermined		Y	Y	Y
49	hsa-miR-558-001526	Undetermined		Y	Y	Y
50	hsa-miR-559-001527	Undetermined		N	Y	Y
51	hsa-miR-562-001529	Undetermined		Y	Y	Y
52	hsa-miR-563-001530	Undetermined		Y	Y	Y
53	hsa-miR-564-001531	Undetermined		N	Y	Y
54	hsa-miR-566-001533	Undetermined		N	Y	Y
55	hsa-miR-567-001534	Undetermined		Y	Y	Y
56	hsa-miR-569-001536	Undetermined		Y	Y	Y
57	hsa-miR-586-001539	Undetermined		N	Y	Y
58	hsa-miR-587-001540	Undetermined		N	Y	Y
59	RNU44-001094	Undetermined		Y	Y	Y
60	hsa-miR-588-001542	Undetermined		Y	Y	Y
61	hsa-miR-589-001543	27.946	27.946	N	N	N
62	hsa-miR-550-001544	30.449	30.449	N	N	N
63	hsa-miR-591-001545	Undetermined		Y	Y	Y
64	hsa-miR-592-001546	29.795	29.795	N	N	N
65	hsa-miR-593-001547	Undetermined		Y	Y	Y
66	hsa-miR-596-001550	Undetermined		N	Y	Y
67	hsa-miR-622-001553	Undetermined		Y	Y	Y
68	hsa-miR-599-001554	34.766	34.766	N	N	N
69	hsa-miR-623-001555	36.180	36.180	N	N	Y
70	hsa-miR-600-001556	Undetermined		Y	Y	Y
71	hsa-miR-624-001557	32.344	32.344	N	N	N
72	hsa-miR-601-001558	31.824	31.824	N	N	N
73	hsa-miR-626-001559	Undetermined		N	N	Y
74	hsa-miR-629-001562	27.464	27.464	N	N	N
75	hsa-miR-630-001563	Undetermined		Y	Y	Y
76	hsa-miR-631-001564	Undetermined		Y	Y	Y
77	hsa-miR-603-001566	Undetermined		N	Y	Y
78	hsa-miR-604-001567	Undetermined		Y	Y	Y
79	hsa-miR-605-001568	Undetermined		Y	Y	Y
80	hsa-miR-606-001569	Undetermined		Y	Y	Y
81	hsa-miR-607-001570	Undetermined		Y	Y	Y
82	hsa-miR-608-001571	Undetermined		Y	Y	Y
83	hsa-miR-609-001573	Undetermined		Y	Y	Y
84	hsa-miR-633-001574	Undetermined		Y	Y	Y
85	hsa-miR-634-001576	Undetermined		Y	Y	Y
86	hsa-miR-635-001578	Undetermined		Y	Y	Y
87	hsa-miR-637-001581	Undetermined		Y	Y	Y
88	hsa-miR-638-001582	30.699	30.699	N	N	Y
89	hsa-miR-639-001583	30.385	30.385	N	N	Y
90	hsa-miR-640-001584	Undetermined		Y	Y	Y
91	hsa-miR-641-001585	Undetermined		Y	Y	Y
92	hsa-miR-613-001586	Undetermined		Y	Y	Y
93	hsa-miR-614-001587	Undetermined		Y	Y	Y
94	hsa-miR-616-001589	30.708	30.708	N	N	N
95	hsa-miR-617-001591	34.709	34.709	N	N	N
96	hsa-miR-643-001594	31.759	31.759	N	N	Y
97	hsa-miR-644-001596	Undetermined		Y	Y	Y
98	hsa-miR-645-001597	36.738	36.738	N	N	Y
99	hsa-miR-621-001598	Undetermined		Y	Y	Y
100	hsa-miR-646-001599	Undetermined		N	Y	Y
101	hsa-miR-647-001600	Undetermined		Y	Y	Y
102	hsa-miR-648-001601	Undetermined		Y	Y	Y
103	hsa-miR-649-001602	Undetermined		Y	Y	Y
104	hsa-miR-650-001603	Undetermined		N	Y	Y
105	hsa-miR-661-001606	26.696	26.696	N	N	N
106	hsa-miR-662-001607	Undetermined		Y	Y	Y
107	RNU48-001006	33.154	33.154	N	N	N
108	hsa-miR-571-001613	29.679	29.679	N	N	Y
109	hsa-miR-572-001614	Undetermined		N	Y	Y
110	hsa-miR-573-001615	Undetermined		N	Y	Y
111	hsa-miR-575-001617	Undetermined		N	Y	Y
112	hsa-miR-578-001619	Undetermined		Y	Y	Y
113	hsa-miR-580-001621	Undetermined		N	Y	Y
114	hsa-miR-581-001622	Undetermined		N	N	Y
115	hsa-miR-583-001623	Undetermined		Y	Y	Y
116	hsa-miR-584-001624	26.729	26.729	N	N	N
117	hsa-miR-585-001625	Undetermined		N	Y	Y
118	rno-miR-29c#-001818	27.826	27.826	N	N	N
119	hsa-miR-766-001986	21.275	21.275	N	N	N
120	hsa-miR-595-001987	Undetermined		Y	Y	Y
121	hsa-miR-668-001992	34.863	34.863	N	N	N
122	hsa-miR-767-5p-001993	Undetermined		Y	Y	Y
123	hsa-miR-767-3p-001995	Undetermined		N	N	Y
124	hsa-miR-454#-001996	28.464	28.464	N	N	N
125	hsa-miR-769-5p-001998	26.336	26.336	N	N	N
126	hsa-miR-770-5p-002002	Undetermined		N	Y	Y
127	hsa-miR-769-3p-002003	Undetermined		Y	Y	Y
128	hsa-miR-802-002004	Undetermined		Y	Y	Y
129	hsa-miR-675-002005	Undetermined		Y	Y	Y
130	hsa-miR-505#-002087	27.244	27.244	N	N	N
131	hsa-miR-218-1#-002094	Undetermined		Y	Y	Y
132	hsa-miR-221#-002096	31.474	31.474	N	N	N
133	hsa-miR-222#-002097	29.339	29.339	N	N	N
134	hsa-miR-223#-002098	23.304	23.304	N	N	N
135	hsa-miR-136#-002100	26.792	26.792	N	N	N
136	hsa-miR-34b-002102	27.984	27.984	N	N	Y
137	hsa-miR-185#-002104	33.324	33.324	N	N	Y
138	hsa-miR-186#-002105	Undetermined		Y	Y	Y
139	hsa-miR-195#-002107	Undetermined		Y	Y	Y
140	hsa-miR-30c-1#-002108	Undetermined		Y	Y	Y
141	hsa-miR-30c-2#-002110	Undetermined		Y	Y	Y
142	hsa-miR-32#-002111	Undetermined		Y	Y	Y
143	hsa-miR-31#-002113	29.847	29.847	N	N	N
144	hsa-miR-130b#-002114	27.833	27.833	N	N	Y
145	hsa-miR-26a-2#-002115	30.786	30.786	N	N	N
146	hsa-miR-361-3p-002116	26.384	26.384	N	N	N
147	hsa-let-7g#-002118	34.650	34.650	N	N	N
148	hsa-miR-302b#-002119	Undetermined		Y	Y	Y
149	hsa-miR-302d#-002120	Undetermined		Y	Y	Y
150	hsa-miR-367#-002121	Undetermined		Y	Y	Y
151	hsa-miR-374a#-002125	Undetermined		Y	Y	Y
152	hsa-miR-23b#-002126	32.593	32.593	N	N	Y
153	hsa-miR-376a#-002127	33.286	33.286	N	N	N
154	hsa-miR-377#-002128	33.709	33.709	N	N	N
155	ath-miR159a-000338	14.511	14.511	N	N	Y
156	hsa-miR-30b#-002129	Undetermined		Y	Y	Y
157	hsa-miR-122#-002130	Undetermined		N	Y	Y
158	hsa-miR-130a#-002131	Undetermined		Y	Y	Y
159	hsa-miR-132#-002132	Undetermined		Y	Y	Y
160	hsa-miR-148a#-002134	30.012	30.012	N	N	N
161	hsa-miR-33a-002135	Undetermined		N	Y	Y
162	hsa-miR-33a#-002136	27.348	27.348	N	N	N
163	hsa-miR-92a-1#-002137	Undetermined		Y	Y	Y
164	hsa-miR-92a-2#-002138	Undetermined		Y	Y	Y
165	hsa-miR-93#-002139	23.070	23.070	N	N	N
166	hsa-miR-96#-002140	Undetermined		Y	Y	Y
167	hsa-miR-99a#-002141	33.877	33.877	N	N	N
168	hsa-miR-100#-002142	38.901	38.901	N	N	Y
169	hsa-miR-101#-002143	Undetermined		Y	Y	Y
170	hsa-miR-138-2#-002144	Undetermined		Y	Y	Y
171	hsa-miR-141#-002145	Undetermined		Y	Y	Y
172	hsa-miR-143#-002146	Undetermined		Y	Y	Y
173	hsa-miR-144#-002148	26.880	26.880	N	N	N
174	hsa-miR-145#-002149	27.862	27.862	N	N	N
175	hsa-miR-920-002150	Undetermined		Y	Y	Y
176	hsa-miR-921-002151	Undetermined		Y	Y	Y
177	hsa-miR-922-002152	Undetermined		Y	Y	Y
178	hsa-miR-924-002154	Undetermined		Y	Y	Y
179	hsa-miR-337-3p-002157	29.962	29.962	N	N	Y
180	hsa-miR-125b-2#-002158	Undetermined		N	Y	Y
181	hsa-miR-135b#-002159	Undetermined		N	Y	Y
182	hsa-miR-148b#-002160	31.406	31.406	N	N	N
183	hsa-miR-146a#-002163	Undetermined		Y	Y	Y
184	hsa-miR-149#-002164	Undetermined		Y	Y	Y
185	hsa-miR-29b-1#-002165	Undetermined		Y	Y	Y
186	hsa-miR-29b-2#-002166	29.961	29.961	N	N	N
187	hsa-miR-105#-002168	Undetermined		Y	Y	Y
188	hsa-miR-106a#-002170	Undetermined		N	Y	Y
189	hsa-miR-16-2#-002171	Undetermined		Y	Y	Y
190	hsa-let-7i#-002172	33.122	33.122	N	N	N
191	hsa-miR-15b#-002173	23.985	23.985	N	N	N
192	hsa-miR-27b#-002174	29.743	29.743	N	N	N
193	hsa-miR-933-002176	33.599	33.599	N	N	Y
194	hsa-miR-934-002177	Undetermined		Y	Y	Y
195	hsa-miR-935-002178	Undetermined		N	Y	Y
196	hsa-miR-936-002179	Undetermined		Y	Y	Y
197	hsa-miR-937-002180	34.756	34.756	N	N	Y
198	hsa-miR-938-002181	Undetermined		Y	Y	Y
199	hsa-miR-939-002182	34.817	34.817	N	N	N
200	hsa-miR-941-002183	31.669	31.669	N	N	Y
201	hsa-miR-335#-002185	27.338	27.338	N	N	N
202	hsa-miR-942-002187	25.936	25.936	N	N	N
203	hsa-miR-943-002188	Undetermined		Y	Y	Y
204	hsa-miR-944-002189	Undetermined		N	Y	Y
205	hsa-miR-99b#-002196	27.963	27.963	N	N	N
206	hsa-miR-124#-002197	Undetermined		Y	Y	Y
207	hsa-miR-541#-002200	Undetermined		Y	Y	Y
