* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-04-04 PP09058 PANEL A.eds
* Experiment Name = 2012-04-04 PP09058 PANEL A
* Experiment Run End Time = 2012-04-04 15:23:46 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	N
2	hsa-let-7c-4373167	32.092	32.092	N	N
3	hsa-let-7d-4395394	37.793	37.793	N	N
4	hsa-let-7e-4395517	Undetermined		N	N
5	hsa-let-7f-4373164	Undetermined		Y	Y
6	hsa-let-7g-4395393	33.657	33.657	N	N
7	hsa-miR-1-4395333	Undetermined		Y	Y
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	34.004	34.004	N	N
10	hsa-miR-10b-4395329	Undetermined		N	Y
11	MammU6-4395470	30.746	30.648	N	N
12	MammU6-4395470	30.503	30.648	N	N
13	hsa-miR-15a-4373123	Undetermined		N	Y
14	hsa-miR-15b-4373122	33.104	33.104	N	N
15	hsa-miR-16-4373121	20.935	20.935	N	N
16	hsa-miR-17-4395419	18.149	18.149	N	N
17	hsa-miR-18a-4395533	27.992	27.992	N	N
18	hsa-miR-18b-4395328	Undetermined		N	Y
19	hsa-miR-19a-4373099	22.837	22.837	N	N
20	hsa-miR-19b-4373098	17.800	17.800	N	N
21	hsa-miR-20a-4373286	19.628	19.628	N	N
22	hsa-miR-20b-4373263	24.255	24.255	N	N
23	hsa-miR-21-4373090	23.696	23.696	N	N
24	hsa-miR-22-4373079	Undetermined		N	Y
25	hsa-miR-23a-4373074	Undetermined		N	Y
26	hsa-miR-23b-4373073	Undetermined		Y	Y
27	hsa-miR-24-4373072	19.919	19.919	N	N
28	hsa-miR-25-4373071	21.609	21.609	N	N
29	hsa-miR-26a-4395166	25.689	25.689	N	N
30	hsa-miR-26b-4395167	25.846	25.846	N	N
31	hsa-miR-27a-4373287	24.413	24.413	N	N
32	hsa-miR-27b-4373068	24.658	24.658	N	N
33	hsa-miR-28-3p-4395557	25.322	25.322	N	N
34	hsa-miR-28-5p-4373067	32.709	32.709	N	N
35	MammU6-4395470	30.773	30.648	N	N
36	MammU6-4395470	30.571	30.648	N	N
37	hsa-miR-29a-4395223	24.980	24.980	N	N
38	hsa-miR-29b-4373288	Undetermined		Y	Y
39	hsa-miR-29c-4395171	28.008	28.008	N	N
40	hsa-miR-30b-4373290	27.451	27.451	N	N
41	hsa-miR-30c-4373060	26.492	26.492	N	N
42	hsa-miR-31-4395390	30.832	30.832	N	N
43	hsa-miR-32-4395220	Undetermined		Y	Y
44	hsa-miR-33b-4395196	Undetermined		N	N
45	hsa-miR-34a-4395168	27.624	27.624	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y
47	hsa-miR-92a-4395169	19.777	19.777	N	N
48	hsa-miR-93-4373302	21.602	21.602	N	N
49	hsa-miR-95-4373011	Undetermined		Y	Y
50	hsa-miR-96-4373372	Undetermined		Y	Y
51	hsa-miR-98-4373009	Undetermined		Y	Y
52	hsa-miR-99a-4373008	39.350	39.350	N	N
53	hsa-miR-99b-4373007	31.920	31.920	N	N
54	hsa-miR-100-4373160	30.632	30.632	N	N
55	hsa-miR-101-4395364	26.048	26.048	N	N
56	hsa-miR-103-4373158	37.750	37.750	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y
58	hsa-miR-106a-4395280	18.142	18.142	N	N
59	RNU44-4373384	Undetermined		Y	Y
60	hsa-miR-106b-4373155	22.731	22.731	N	N
61	hsa-miR-107-4373154	Undetermined		Y	Y
62	hsa-miR-122-4395356	22.412	22.412	N	N
63	hsa-miR-124-4373295	Undetermined		Y	Y
64	hsa-miR-125a-3p-4395310	36.642	36.642	N	N
65	hsa-miR-125a-5p-4395309	30.226	30.226	N	N
66	hsa-miR-125b-4373148	27.651	27.651	N	N
67	hsa-miR-126-4395339	20.140	20.140	N	N
68	hsa-miR-127-3p-4373147	25.686	25.686	N	N
69	hsa-miR-127-5p-4395340	Undetermined		Y	Y
70	hsa-miR-128-4395327	30.485	30.485	N	N
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y
73	hsa-miR-130a-4373145	25.173	25.173	N	N
74	hsa-miR-130b-4373144	26.956	26.956	N	N
75	hsa-miR-132-4373143	26.357	26.357	N	N
76	hsa-miR-133a-4395357	25.939	25.939	N	N
77	hsa-miR-133b-4395358	Undetermined		N	N
78	hsa-miR-134-4373299	25.771	25.771	N	N
79	hsa-miR-135a-4373140	Undetermined		Y	Y
80	hsa-miR-135b-4395372	Undetermined		Y	Y
81	hsa-miR-136-4373173	Undetermined		N	N
