* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-04-04 PP09059 PANEL A.eds
* Experiment Name = 2012-04-04 PP09059 PANEL A
* Experiment Run End Time = 2012-04-04 11:15:33 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		N	N	N
2	hsa-let-7c-4373167	28.546	28.546	N	N	N
3	hsa-let-7d-4395394	27.627	27.627	N	N	N
4	hsa-let-7e-4395517	28.848	28.848	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y	Y
6	hsa-let-7g-4395393	25.996	25.996	N	N	N
7	hsa-miR-1-4395333	30.191	30.191	N	N	N
8	hsa-miR-9-4373285	Undetermined		N	N	Y
9	hsa-miR-10a-4373153	29.555	29.555	N	N	N
10	hsa-miR-10b-4395329	Undetermined		N	N	Y
11	MammU6-4395470	28.290	28.369	N	N	N
12	MammU6-4395470	28.375	28.369	N	N	N
13	hsa-miR-15a-4373123	Undetermined		N	N	N
14	hsa-miR-15b-4373122	27.440	27.440	N	N	N
15	hsa-miR-16-4373121	18.141	18.141	N	N	N
16	hsa-miR-17-4395419	16.459	16.459	N	N	N
17	hsa-miR-18a-4395533	26.024	26.024	N	N	N
18	hsa-miR-18b-4395328	39.672	39.672	N	N	N
19	hsa-miR-19a-4373099	20.966	20.966	N	N	N
20	hsa-miR-19b-4373098	16.521	16.521	N	N	N
21	hsa-miR-20a-4373286	18.060	18.060	N	N	N
22	hsa-miR-20b-4373263	21.433	21.433	N	N	N
23	hsa-miR-21-4373090	22.119	22.119	N	N	N
24	hsa-miR-22-4373079	Undetermined		N	N	Y
25	hsa-miR-23a-4373074	Undetermined		N	N	N
26	hsa-miR-23b-4373073	Undetermined		N	N	Y
27	hsa-miR-24-4373072	17.664	17.664	N	N	N
28	hsa-miR-25-4373071	21.967	21.967	N	N	N
29	hsa-miR-26a-4395166	22.576	22.576	N	N	N
30	hsa-miR-26b-4395167	23.331	23.331	N	N	N
31	hsa-miR-27a-4373287	22.419	22.419	N	N	N
32	hsa-miR-27b-4373068	23.920	23.920	N	N	N
33	hsa-miR-28-3p-4395557	24.821	24.821	N	N	N
34	hsa-miR-28-5p-4373067	28.102	28.102	N	N	N
35	MammU6-4395470	28.312	28.369	N	N	N
36	MammU6-4395470	28.498	28.369	N	N	N
37	hsa-miR-29a-4395223	23.429	23.429	N	N	N
38	hsa-miR-29b-4373288	Undetermined		N	Y	Y
39	hsa-miR-29c-4395171	26.648	26.648	N	N	N
40	hsa-miR-30b-4373290	24.237	24.237	N	N	N
41	hsa-miR-30c-4373060	22.976	22.976	N	N	N
42	hsa-miR-31-4395390	34.674	34.674	N	N	N
43	hsa-miR-32-4395220	Undetermined		N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	Y	Y
45	hsa-miR-34a-4395168	27.085	27.085	N	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		N	Y	Y
47	hsa-miR-92a-4395169	19.750	19.750	N	N	N
48	hsa-miR-93-4373302	20.594	20.594	N	N	N
49	hsa-miR-95-4373011	36.814	36.814	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	N	Y
52	hsa-miR-99a-4373008	34.887	34.887	N	N	N
53	hsa-miR-99b-4373007	29.577	29.577	N	N	N
54	hsa-miR-100-4373160	29.122	29.122	N	N	N
55	hsa-miR-101-4395364	24.881	24.881	N	N	N
56	hsa-miR-103-4373158	30.294	30.294	N	N	N
57	hsa-miR-105-4395278	Undetermined		N	Y	Y
58	hsa-miR-106a-4395280	16.323	16.323	N	N	N
59	RNU44-4373384	Undetermined		N	Y	Y
60	hsa-miR-106b-4373155	22.168	22.168	N	N	N
61	hsa-miR-107-4373154	33.485	33.485	N	N	N
62	hsa-miR-122-4395356	24.458	24.458	N	N	N
63	hsa-miR-124-4373295	Undetermined		N	Y	Y
64	hsa-miR-125a-3p-4395310	Undetermined		N	N	Y
65	hsa-miR-125a-5p-4395309	27.358	27.358	N	N	N
66	hsa-miR-125b-4373148	28.224	28.224	N	N	N
67	hsa-miR-126-4395339	17.329	17.329	N	N	N
68	hsa-miR-127-3p-4373147	25.131	25.131	N	N	N
69	hsa-miR-127-5p-4395340	Undetermined		N	Y	Y
70	hsa-miR-128-4395327	29.120	29.120	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		N	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	Y	Y
