* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-05-25 PP09074A.eds
* Experiment Name = 2012-05-25 PP09074A
* Experiment Run End Time = 2012-05-25 19:40:15 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL
1	hsa-let-7a-4373169	Undetermined		Y	Y
2	hsa-let-7c-4373167	33.880	33.880	N	N
3	hsa-let-7d-4395394	28.070	28.070	N	N
4	hsa-let-7e-4395517	27.227	27.227	N	N
5	hsa-let-7f-4373164	Undetermined		Y	Y
6	hsa-let-7g-4395393	25.673	25.673	N	N
7	hsa-miR-1-4395333	Undetermined		Y	Y
8	hsa-miR-9-4373285	Undetermined		Y	Y
9	hsa-miR-10a-4373153	Undetermined		N	Y
10	hsa-miR-10b-4395329	Undetermined		N	Y
11	MammU6-4395470	29.902	29.831	N	N
12	MammU6-4395470	29.881	29.831	N	N
13	hsa-miR-15a-4373123	Undetermined		N	N
14	hsa-miR-15b-4373122	26.621	26.621	N	N
15	hsa-miR-16-4373121	19.250	19.250	N	N
16	hsa-miR-17-4395419	19.426	19.426	N	N
17	hsa-miR-18a-4395533	28.239	28.239	N	N
18	hsa-miR-18b-4395328	36.483	36.483	N	N
19	hsa-miR-19a-4373099	24.337	24.337	N	N
20	hsa-miR-19b-4373098	18.298	18.298	N	N
21	hsa-miR-20a-4373286	22.573	22.573	N	N
22	hsa-miR-20b-4373263	23.578	23.578	N	N
23	hsa-miR-21-4373090	25.841	25.841	N	N
24	hsa-miR-22-4373079	Undetermined		N	Y
25	hsa-miR-23a-4373074	Undetermined		Y	Y
26	hsa-miR-23b-4373073	Undetermined		Y	Y
27	hsa-miR-24-4373072	19.768	19.768	N	N
28	hsa-miR-25-4373071	25.705	25.705	N	N
29	hsa-miR-26a-4395166	25.876	25.876	N	N
30	hsa-miR-26b-4395167	27.033	27.033	N	N
31	hsa-miR-27a-4373287	25.585	25.585	N	N
32	hsa-miR-27b-4373068	30.340	30.340	N	N
33	hsa-miR-28-3p-4395557	23.059	23.059	N	N
34	hsa-miR-28-5p-4373067	28.135	28.135	N	N
35	MammU6-4395470	29.817	29.831	N	N
36	MammU6-4395470	29.725	29.831	N	N
37	hsa-miR-29a-4395223	23.682	23.682	N	N
38	hsa-miR-29b-4373288	Undetermined		Y	Y
39	hsa-miR-29c-4395171	30.454	30.454	N	N
40	hsa-miR-30b-4373290	26.180	26.180	N	N
41	hsa-miR-30c-4373060	24.634	24.634	N	N
42	hsa-miR-31-4395390	29.944	29.944	N	N
43	hsa-miR-32-4395220	Undetermined		Y	Y
44	hsa-miR-33b-4395196	Undetermined		Y	Y
45	hsa-miR-34a-4395168	36.820	36.820	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y
47	hsa-miR-92a-4395169	22.746	22.746	N	N
48	hsa-miR-93-4373302	23.620	23.620	N	N
49	hsa-miR-95-4373011	Undetermined		N	Y
50	hsa-miR-96-4373372	Undetermined		N	Y
51	hsa-miR-98-4373009	Undetermined		Y	Y
52	hsa-miR-99a-4373008	39.330	39.330	N	N
53	hsa-miR-99b-4373007	29.882	29.882	N	N
54	hsa-miR-100-4373160	31.310	31.310	N	N
55	hsa-miR-101-4395364	Undetermined		Y	Y
56	hsa-miR-103-4373158	26.176	26.176	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y
58	hsa-miR-106a-4395280	19.187	19.187	N	N
59	RNU44-4373384	Undetermined		Y	Y
60	hsa-miR-106b-4373155	23.120	23.120	N	N
61	hsa-miR-107-4373154	Undetermined		Y	Y
62	hsa-miR-122-4395356	22.959	22.959	N	N
63	hsa-miR-124-4373295	29.917	29.917	N	N
64	hsa-miR-125a-3p-4395310	Undetermined		N	Y
65	hsa-miR-125a-5p-4395309	24.368	24.368	N	N
66	hsa-miR-125b-4373148	27.222	27.222	N	N
67	hsa-miR-126-4395339	17.846	17.846	N	N
68	hsa-miR-127-3p-4373147	27.844	27.844	N	N
69	hsa-miR-127-5p-4395340	Undetermined		Y	Y
70	hsa-miR-128-4395327	Undetermined		Y	Y
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y
73	hsa-miR-130a-4373145	29.101	29.101	N	N
74	hsa-miR-130b-4373144	32.681	32.681	N	N
75	hsa-miR-132-4373143	31.849	31.849	N	N
76	hsa-miR-133a-4395357	24.856	24.856	N	N
77	hsa-miR-133b-4395358	35.806	35.806	N	N
78	hsa-miR-134-4373299	27.455	27.455	N	N
79	hsa-miR-135a-4373140	Undetermined		N	Y
80	hsa-miR-135b-4395372	Undetermined		Y	Y
81	hsa-miR-136-4373173	36.563	36.563	N	N
82	hsa-miR-137-4373301	Undetermined		Y	Y
83	hsa-miR-138-4395395	30.415	30.415	N	N
84	hsa-miR-139-3p-4395424	27.617	27.617	N	N
85	hsa-miR-139-5p-4395400	24.645	24.645	N	N
86	hsa-miR-140-3p-4395345	26.124	26.124	N	N
87	hsa-miR-140-5p-4373374	24.753	24.753	N	N
88	hsa-miR-141-4373137	Undetermined		Y	Y
89	hsa-miR-142-3p-4373136	24.330	24.330	N	N
90	hsa-miR-142-5p-4395359	28.852	28.852	N	N
91	hsa-miR-143-4395360	26.297	26.297	N	N
92	hsa-miR-145-4395389	27.915	27.915	N	N
93	hsa-miR-146a-4373132	18.697	18.697	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		Y	Y
95	hsa-miR-146b-5p-4373178	21.550	21.550	N	N
96	hsa-miR-147b-4395373	Undetermined		Y	Y
97	hsa-miR-148a-4373130	28.934	28.934	N	N
98	hsa-miR-148b-4373129	31.485	31.485	N	N
99	hsa-miR-149-4395366	Undetermined		Y	Y
100	hsa-miR-150-4373127	20.080	20.080	N	N
101	hsa-miR-152-4395170	27.016	27.016	N	N
102	hsa-miR-153-4373305	Undetermined		Y	Y
103	hsa-miR-154-4373270	Undetermined		Y	Y
104	hsa-miR-181a-4373117	31.894	31.894	N	N
105	hsa-miR-181c-4373115	37.642	37.642	N	N
106	hsa-miR-182-4395445	Undetermined		Y	Y
107	RNU48-4373383	29.493	29.493	N	N
108	hsa-miR-183-4395380	Undetermined		Y	Y
109	hsa-miR-184-4373113	27.360	27.360	N	N
110	hsa-miR-185-4395382	24.145	24.145	N	N
111	hsa-miR-186-4395396	22.611	22.611	N	N
112	hsa-miR-187-4373307	Undetermined		Y	Y
113	hsa-miR-188-3p-4395217	Undetermined		Y	Y
114	hsa-miR-190-4373110	Undetermined		Y	Y
115	hsa-miR-191-4395410	17.048	17.048	N	N
116	hsa-miR-192-4373108	24.123	24.123	N	N
117	hsa-miR-193a-3p-4395361	Undetermined		N	Y
118	hsa-miR-193a-5p-4395392	29.012	29.012	N	N
119	hsa-miR-193b-4395478	23.692	23.692	N	N
120	hsa-miR-194-4373106	28.685	28.685	N	N
121	hsa-miR-195-4373105	27.300	27.300	N	N
122	hsa-miR-196b-4395326	32.234	32.234	N	N
123	hsa-miR-197-4373102	24.585	24.585	N	N
124	hsa-miR-198-4395384	Undetermined		Y	Y
125	hsa-miR-199a-5p-4373272	Undetermined		Y	Y
126	hsa-miR-199a-3p-4395415	24.108	24.108	N	N
127	hsa-miR-199b-5p-4373100	Undetermined		Y	Y
128	hsa-miR-200a-4378069	30.902	30.902	N	N
129	hsa-miR-200b-4395362	Undetermined		N	N
130	hsa-miR-200c-4395411	28.791	28.791	N	N
131	hsa-miR-202-4395474	Undetermined		N	Y
132	hsa-miR-203-4373095	32.053	32.053	N	N
133	hsa-miR-204-4373094	32.531	32.531	N	N
134	hsa-miR-205-4373093	Undetermined		N	Y
135	hsa-miR-208b-4395401	Undetermined		N	Y
136	hsa-miR-210-4373089	27.261	27.261	N	N
137	hsa-miR-214-4395417	30.530	30.530	N	N
138	hsa-miR-215-4373084	33.466	33.466	N	N
139	hsa-miR-216a-4395331	Undetermined		Y	Y
140	hsa-miR-216b-4395437	Undetermined		Y	Y
141	hsa-miR-217-4395448	Undetermined		Y	Y
142	hsa-miR-218-4373081	27.119	27.119	N	N
143	hsa-miR-219-5p-4373080	Undetermined		Y	Y
144	hsa-miR-221-4373077	25.045	25.045	N	N
145	hsa-miR-222-4395387	18.361	18.361	N	N
146	hsa-miR-223-4395406	17.478	17.478	N	N
147	hsa-miR-224-4395210	28.402	28.402	N	N
148	hsa-miR-296-3p-4395212	Undetermined		Y	Y
149	hsa-miR-296-5p-4373066	34.486	34.486	N	N
150	hsa-miR-299-3p-4373189	Undetermined		Y	Y
151	hsa-miR-299-5p-4373188	Undetermined		Y	Y
152	hsa-miR-301a-4373064	28.639	28.639	N	N
153	hsa-miR-301b-4395503	33.761	33.761	N	N
154	hsa-miR-302a-4378070	Undetermined		N	Y
155	ath-miR159a-4373390	20.649	20.649	N	N
156	hsa-miR-302b-4378071	Undetermined		N	N
157	hsa-miR-302c-4378072	Undetermined		N	Y
158	hsa-miR-320-4395388	19.359	19.359	N	N
159	hsa-miR-323-3p-4395338	38.256	38.256	N	N
160	hsa-miR-324-3p-4395272	25.682	25.682	N	N
161	hsa-miR-324-5p-4373052	Undetermined		Y	Y
