* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-20 PP09075 A.eds
* Experiment Name = 2012-06-20 PP09075 A
* Experiment Run End Time = 2012-06-20 18:02:35 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	21.784	21.784	N	N	N	N
2	hsa-let-7c-4373167	24.316	24.316	N	N	N	N
3	hsa-let-7d-4395394	23.600	23.600	N	N	N	N
4	hsa-let-7e-4395517	21.856	21.856	N	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	Y	Y
6	hsa-let-7g-4395393	22.889	22.889	N	N	N	N
7	hsa-miR-1-4395333	34.128	34.128	N	N	N	N
8	hsa-miR-9-4373285	27.926	27.926	N	N	N	Y
9	hsa-miR-10a-4373153	24.293	24.293	N	N	N	N
10	hsa-miR-10b-4395329	26.638	26.638	N	N	N	N
11	MammU6-4395470	24.343	24.449	N	N	N	N
12	MammU6-4395470	24.525	24.449	N	N	N	N
13	hsa-miR-15a-4373123	23.701	23.701	N	N	N	N
14	hsa-miR-15b-4373122	21.495	21.495	N	N	N	N
15	hsa-miR-16-4373121	14.956	14.956	N	N	N	N
16	hsa-miR-17-4395419	15.686	15.686	N	N	N	N
17	hsa-miR-18a-4395533	23.134	23.134	N	N	N	N
18	hsa-miR-18b-4395328	24.751	24.751	N	N	N	Y
19	hsa-miR-19a-4373099	19.404	19.404	N	N	N	N
20	hsa-miR-19b-4373098	14.035	14.035	N	N	N	N
21	hsa-miR-20a-4373286	16.069	16.069	N	N	N	N
22	hsa-miR-20b-4373263	20.799	20.799	N	N	N	N
23	hsa-miR-21-4373090	16.668	16.668	N	N	N	N
24	hsa-miR-22-4373079	19.462	19.462	N	N	N	N
25	hsa-miR-23a-4373074	22.527	22.527	N	N	N	Y
26	hsa-miR-23b-4373073	Undetermined		N	N	Y	Y
27	hsa-miR-24-4373072	15.511	15.511	N	N	N	N
28	hsa-miR-25-4373071	17.823	17.823	N	N	N	N
29	hsa-miR-26a-4395166	20.197	20.197	N	N	N	N
30	hsa-miR-26b-4395167	22.562	22.562	N	N	N	N
31	hsa-miR-27a-4373287	19.286	19.286	N	N	N	N
32	hsa-miR-27b-4373068	20.344	20.344	N	N	N	N
33	hsa-miR-28-3p-4395557	20.748	20.748	N	N	N	N
34	hsa-miR-28-5p-4373067	22.592	22.592	N	N	N	N
35	MammU6-4395470	24.454	24.449	N	N	N	N
36	MammU6-4395470	24.473	24.449	N	N	N	N
37	hsa-miR-29a-4395223	20.468	20.468	N	N	N	N
38	hsa-miR-29b-4373288	26.627	26.627	N	N	N	N
39	hsa-miR-29c-4395171	25.138	25.138	N	N	N	N
40	hsa-miR-30b-4373290	18.403	18.403	N	N	N	N
41	hsa-miR-30c-4373060	18.136	18.136	N	N	N	N
42	hsa-miR-31-4395390	24.732	24.732	N	N	N	N
43	hsa-miR-32-4395220	29.256	29.256	N	N	N	N
44	hsa-miR-33b-4395196	Undetermined		N	N	Y	Y
45	hsa-miR-34a-4395168	23.992	23.992	N	N	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		N	N	Y	Y
47	hsa-miR-92a-4395169	15.213	15.213	N	N	N	N
48	hsa-miR-93-4373302	18.425	18.425	N	N	N	N
49	hsa-miR-95-4373011	26.133	26.133	N	N	N	N
50	hsa-miR-96-4373372	Undetermined		N	N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	N	Y	Y
52	hsa-miR-99a-4373008	26.099	26.099	N	N	N	N
53	hsa-miR-99b-4373007	20.318	20.318	N	N	N	N
54	hsa-miR-100-4373160	24.548	24.548	N	N	N	N
55	hsa-miR-101-4395364	23.005	23.005	N	N	N	N
56	hsa-miR-103-4373158	20.297	20.297	N	N	N	N
57	hsa-miR-105-4395278	Undetermined		N	Y	Y	Y
58	hsa-miR-106a-4395280	15.452	15.452	N	N	N	N
59	RNU44-4373384	Undetermined		N	N	Y	Y
60	hsa-miR-106b-4373155	18.618	18.618	N	N	N	N
61	hsa-miR-107-4373154	25.616	25.616	N	N	N	N
62	hsa-miR-122-4395356	16.329	16.329	N	N	N	N
63	hsa-miR-124-4373295	28.060	28.060	N	N	N	N
64	hsa-miR-125a-3p-4395310	30.369	30.369	N	N	N	N
65	hsa-miR-125a-5p-4395309	25.121	25.121	N	N	N	N
66	hsa-miR-125b-4373148	20.766	20.766	N	N	N	N
67	hsa-miR-126-4395339	15.427	15.427	N	N	N	N
68	hsa-miR-127-3p-4373147	20.519	20.519	N	N	N	N
69	hsa-miR-127-5p-4395340	30.405	30.405	N	N	N	N
70	hsa-miR-128-4395327	23.639	23.639	N	N	N	N
71	hsa-miR-129-3p-4373297	31.018	31.018	N	N	N	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	Y	Y	Y
73	hsa-miR-130a-4373145	19.710	19.710	N	N	N	N
74	hsa-miR-130b-4373144	21.163	21.163	N	N	N	N
75	hsa-miR-132-4373143	22.367	22.367	N	N	N	N
76	hsa-miR-133a-4395357	23.250	23.250	N	N	N	N
77	hsa-miR-133b-4395358	27.847	27.847	N	N	N	N
78	hsa-miR-134-4373299	23.416	23.416	N	N	N	N
79	hsa-miR-135a-4373140	26.503	26.503	N	N	N	N
80	hsa-miR-135b-4395372	29.982	29.982	N	N	N	N
81	hsa-miR-136-4373173	32.239	32.239	N	N	N	Y
82	hsa-miR-137-4373301	24.348	24.348	Y	N	N	Y
83	hsa-miR-138-4395395	29.354	29.354	N	N	N	N
84	hsa-miR-139-3p-4395424	22.601	22.601	N	N	N	N
85	hsa-miR-139-5p-4395400	20.556	20.556	N	N	N	N
86	hsa-miR-140-3p-4395345	23.250	23.250	N	N	N	N
87	hsa-miR-140-5p-4373374	21.504	21.504	N	N	N	N
88	hsa-miR-141-4373137	26.522	26.522	N	N	N	N
89	hsa-miR-142-3p-4373136	17.536	17.536	N	N	N	N
90	hsa-miR-142-5p-4395359	23.623	23.623	N	N	N	N
91	hsa-miR-143-4395360	23.549	23.549	N	N	N	N
92	hsa-miR-145-4395389	21.565	21.565	N	N	N	N
93	hsa-miR-146a-4373132	15.562	15.562	N	N	N	N
94	hsa-miR-146b-3p-4395472	27.682	27.682	N	N	N	N
95	hsa-miR-146b-5p-4373178	19.241	19.241	N	N	N	N
96	hsa-miR-147b-4395373	Undetermined		N	Y	Y	Y
97	hsa-miR-148a-4373130	21.035	21.035	N	N	N	N
98	hsa-miR-148b-4373129	24.324	24.324	N	N	N	N
99	hsa-miR-149-4395366	Undetermined		N	Y	Y	Y
100	hsa-miR-150-4373127	16.059	16.059	N	N	N	N
101	hsa-miR-152-4395170	21.877	21.877	N	N	N	N
102	hsa-miR-153-4373305	Undetermined		N	Y	Y	Y
103	hsa-miR-154-4373270	27.558	27.558	N	N	N	N
104	hsa-miR-181a-4373117	22.045	22.045	N	N	N	N
105	hsa-miR-181c-4373115	27.461	27.461	N	N	N	N
106	hsa-miR-182-4395445	33.217	33.217	N	N	N	N
107	RNU48-4373383	27.290	27.290	N	N	N	N
