* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-20 PP09081 A.eds
* Experiment Name = 2012-06-20 PP09081 A
* Experiment Run End Time = 2012-06-21 12:11:44 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	OUTLIERRG	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	27.155	27.155	N	N	N	N	N
2	hsa-let-7c-4373167	25.774	25.774	N	N	N	N	N
3	hsa-let-7d-4395394	24.789	24.789	Y	N	N	N	N
4	hsa-let-7e-4395517	22.142	22.142	N	N	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	N	N	Y	Y
6	hsa-let-7g-4395393	22.211	22.211	N	N	N	N	N
7	hsa-miR-1-4395333	28.444	28.444	N	N	N	N	N
8	hsa-miR-9-4373285	29.943	29.943	N	N	N	N	N
9	hsa-miR-10a-4373153	27.245	27.245	N	N	N	N	N
10	hsa-miR-10b-4395329	34.412	34.412	N	N	N	N	N
11	MammU6-4395470	21.653	21.337	N	N	Y	N	N
12	MammU6-4395470	21.278	21.337	N	N	N	N	N
13	hsa-miR-15a-4373123	23.564	23.564	N	N	N	N	N
14	hsa-miR-15b-4373122	21.476	21.476	N	N	N	N	N
15	hsa-miR-16-4373121	13.957	13.957	N	N	N	N	N
16	hsa-miR-17-4395419	14.687	14.687	N	N	N	N	N
17	hsa-miR-18a-4395533	24.293	24.293	N	N	N	N	N
18	hsa-miR-18b-4395328	26.171	26.171	N	N	N	N	Y
19	hsa-miR-19a-4373099	19.544	19.544	N	N	N	N	N
20	hsa-miR-19b-4373098	13.810	13.810	N	N	N	N	N
21	hsa-miR-20a-4373286	16.326	16.326	N	N	N	N	N
22	hsa-miR-20b-4373263	20.308	20.308	N	N	N	N	N
23	hsa-miR-21-4373090	18.102	18.102	N	N	N	N	N
24	hsa-miR-22-4373079	21.339	21.339	N	N	N	N	Y
25	hsa-miR-23a-4373074	24.621	24.621	N	N	N	N	N
26	hsa-miR-23b-4373073	Undetermined		N	N	N	Y	Y
27	hsa-miR-24-4373072	13.981	13.981	N	N	N	N	N
28	hsa-miR-25-4373071	19.421	19.421	N	N	N	N	N
29	hsa-miR-26a-4395166	19.775	19.775	N	N	N	N	N
30	hsa-miR-26b-4395167	22.347	22.347	N	N	N	N	N
31	hsa-miR-27a-4373287	20.097	20.097	N	N	N	N	N
32	hsa-miR-27b-4373068	21.135	21.135	N	N	N	N	N
33	hsa-miR-28-3p-4395557	20.020	20.020	N	N	N	N	N
34	hsa-miR-28-5p-4373067	23.058	23.058	N	N	N	N	N
35	MammU6-4395470	21.221	21.337	N	N	N	N	N
36	MammU6-4395470	21.198	21.337	N	N	N	N	N
37	hsa-miR-29a-4395223	20.595	20.595	N	N	N	N	N
