* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-29 PP09095A.eds
* Experiment Name = 2012-06-29 PP09095A
* Experiment Run End Time = 2012-06-29 18:30:58 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	NOAMP	EXPFAIL	THOLDFAIL
1	hsa-let-7a-4373169	23.246	23.246	N	N	N
2	hsa-let-7c-4373167	25.816	25.816	N	N	N
3	hsa-let-7d-4395394	24.421	24.421	N	N	N
4	hsa-let-7e-4395517	21.224	21.224	N	N	N
5	hsa-let-7f-4373164	Undetermined		N	Y	Y
6	hsa-let-7g-4395393	23.521	23.521	N	N	N
7	hsa-miR-1-4395333	28.833	28.833	N	N	N
8	hsa-miR-9-4373285	Undetermined		N	Y	Y
9	hsa-miR-10a-4373153	27.295	27.295	N	N	N
10	hsa-miR-10b-4395329	34.249	34.249	N	N	N
11	MammU6-4395470	26.121	25.870	N	N	N
12	MammU6-4395470	25.811	25.870	N	N	N
13	hsa-miR-15a-4373123	25.476	25.476	N	N	N
14	hsa-miR-15b-4373122	21.552	21.552	N	N	N
15	hsa-miR-16-4373121	16.058	16.058	N	N	N
16	hsa-miR-17-4395419	16.994	16.994	N	N	N
17	hsa-miR-18a-4395533	24.240	24.240	N	N	N
18	hsa-miR-18b-4395328	26.984	26.984	N	N	Y
19	hsa-miR-19a-4373099	21.122	21.122	N	N	N
20	hsa-miR-19b-4373098	15.133	15.133	N	N	N
21	hsa-miR-20a-4373286	17.357	17.357	N	N	N
22	hsa-miR-20b-4373263	22.148	22.148	N	N	N
23	hsa-miR-21-4373090	18.747	18.747	N	N	N
24	hsa-miR-22-4373079	23.008	23.008	N	N	N
25	hsa-miR-23a-4373074	26.634	26.634	N	N	Y
26	hsa-miR-23b-4373073	Undetermined		N	Y	Y
27	hsa-miR-24-4373072	16.044	16.044	N	N	N
28	hsa-miR-25-4373071	19.299	19.299	N	N	N
29	hsa-miR-26a-4395166	19.781	19.781	N	N	N
30	hsa-miR-26b-4395167	21.733	21.733	N	N	N
31	hsa-miR-27a-4373287	19.885	19.885	N	N	N
32	hsa-miR-27b-4373068	21.055	21.055	N	N	N
33	hsa-miR-28-3p-4395557	23.454	23.454	N	N	N
34	hsa-miR-28-5p-4373067	23.200	23.200	N	N	N
35	MammU6-4395470	25.694	25.870	N	N	N
36	MammU6-4395470	25.856	25.870	N	N	N
37	hsa-miR-29a-4395223	23.321	23.321	N	N	N
38	hsa-miR-29b-4373288	36.912	36.912	N	N	N
39	hsa-miR-29c-4395171	27.399	27.399	N	N	N
40	hsa-miR-30b-4373290	18.821	18.821	N	N	N
41	hsa-miR-30c-4373060	18.361	18.361	N	N	N
42	hsa-miR-31-4395390	26.322	26.322	N	N	N
43	hsa-miR-32-4395220	28.857	28.857	N	N	N
44	hsa-miR-33b-4395196	Undetermined		Y	Y	Y
45	hsa-miR-34a-4395168	25.591	25.591	N	N	N
46	hsa-miR-34c-5p-4373036	Undetermined		Y	Y	Y
47	hsa-miR-92a-4395169	16.154	16.154	N	N	N
48	hsa-miR-93-4373302	20.004	20.004	N	N	N
49	hsa-miR-95-4373011	29.134	29.134	N	N	Y
50	hsa-miR-96-4373372	Undetermined		N	Y	Y
51	hsa-miR-98-4373009	Undetermined		N	Y	Y
52	hsa-miR-99a-4373008	28.134	28.134	N	N	N
53	hsa-miR-99b-4373007	22.457	22.457	N	N	N
54	hsa-miR-100-4373160	26.358	26.358	N	N	N
55	hsa-miR-101-4395364	23.760	23.760	N	N	N
56	hsa-miR-103-4373158	21.108	21.108	N	N	N
57	hsa-miR-105-4395278	Undetermined		Y	Y	Y
58	hsa-miR-106a-4395280	16.684	16.684	N	N	N
59	RNU44-4373384	Undetermined		Y	Y	Y
60	hsa-miR-106b-4373155	19.316	19.316	N	N	N
61	hsa-miR-107-4373154	26.169	26.169	N	N	N
62	hsa-miR-122-4395356	21.400	21.400	N	N	N
63	hsa-miR-124-4373295	27.562	27.562	N	N	N
64	hsa-miR-125a-3p-4395310	Undetermined		N	Y	Y
65	hsa-miR-125a-5p-4395309	27.397	27.397	N	N	N
66	hsa-miR-125b-4373148	23.433	23.433	N	N	N
67	hsa-miR-126-4395339	16.302	16.302	N	N	N
68	hsa-miR-127-3p-4373147	22.234	22.234	N	N	N
69	hsa-miR-127-5p-4395340	30.489	30.489	N	N	N
70	hsa-miR-128-4395327	25.306	25.306	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		Y	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		Y	Y	Y
73	hsa-miR-130a-4373145	20.892	20.892	N	N	N
74	hsa-miR-130b-4373144	22.773	22.773	N	N	N
75	hsa-miR-132-4373143	24.386	24.386	N	N	N
76	hsa-miR-133a-4395357	22.766	22.766	N	N	N
77	hsa-miR-133b-4395358	28.366	28.366	N	N	N
78	hsa-miR-134-4373299	25.749	25.749	N	N	N
79	hsa-miR-135a-4373140	Undetermined		N	Y	Y
80	hsa-miR-135b-4395372	30.719	30.719	N	N	N
81	hsa-miR-136-4373173	33.271	33.271	N	N	Y
82	hsa-miR-137-4373301	Undetermined		N	Y	Y
83	hsa-miR-138-4395395	31.038	31.038	N	N	N
84	hsa-miR-139-3p-4395424	24.737	24.737	N	N	Y
85	hsa-miR-139-5p-4395400	21.895	21.895	N	N	N
86	hsa-miR-140-3p-4395345	25.410	25.410	N	N	N
87	hsa-miR-140-5p-4373374	23.828	23.828	N	N	N
88	hsa-miR-141-4373137	28.309	28.309	N	N	N
89	hsa-miR-142-3p-4373136	18.487	18.487	N	N	N
90	hsa-miR-142-5p-4395359	25.257	25.257	N	N	N
91	hsa-miR-143-4395360	24.289	24.289	N	N	N
92	hsa-miR-145-4395389	23.846	23.846	N	N	N
93	hsa-miR-146a-4373132	17.068	17.068	N	N	N
94	hsa-miR-146b-3p-4395472	Undetermined		Y	Y	Y
95	hsa-miR-146b-5p-4373178	21.103	21.103	N	N	N
96	hsa-miR-147b-4395373	Undetermined		Y	Y	Y
97	hsa-miR-148a-4373130	23.427	23.427	N	N	N
98	hsa-miR-148b-4373129	24.416	24.416	N	N	N
99	hsa-miR-149-4395366	Undetermined		N	Y	Y
