* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-19 PP09096 B.eds
* Experiment Name = 2012-07-19 PP09096 B
* Experiment Run End Time = 2012-07-19 17:26:51 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	OUTLIERRG	EXPFAIL	THOLDFAIL
1	dme-miR-7-000268	28.561	28.561	N	N	N	N	N
2	hsa-miR-548I-002909	Undetermined		N	Y	N	Y	Y
3	hsa-miR-30a-3p-000416	25.257	25.257	N	N	N	N	N
4	hsa-miR-30a-5p-000417	19.541	19.541	N	N	N	N	N
5	hsa-miR-30d-000420	21.808	21.808	Y	N	N	N	N
6	hsa-miR-30e-3p-000422	24.091	24.091	N	N	N	N	N
7	hsa-miR-34b-000427	Undetermined		N	Y	N	Y	Y
8	hsa-miR-126#-000451	21.987	21.987	N	N	N	N	N
9	hsa-miR-154#-000478	Undetermined		N	Y	N	Y	Y
10	hsa-miR-182#-000483	Undetermined		N	Y	N	Y	Y
11	U6 snRNA-001973	26.079	25.976	N	N	N	N	N
12	U6 snRNA-001973	26.066	25.976	N	N	N	N	N
13	hsa-miR-206-000510	27.435	27.435	N	N	N	N	N
14	hsa-miR-213-000516	28.950	28.950	N	N	N	N	N
15	hsa-miR-302c#-000534	Undetermined		N	N	N	Y	Y
16	hsa-miR-302d-000535	Undetermined		N	N	N	Y	Y
17	hsa-miR-378-000567	30.719	30.719	N	N	N	N	N
18	hsa-miR-380-5p-000570	33.257	33.257	N	N	N	N	N
19	hsa-miR-1257-002910	Undetermined		N	N	N	Y	Y
20	hsa-miR-200a#-001011	32.503	32.503	N	N	N	N	N
21	hsa-miR-432-001026	24.243	24.243	Y	N	N	N	N
22	hsa-miR-432#-001027	Undetermined		N	Y	N	Y	Y
23	hsa-miR-497-001043	29.148	29.148	N	N	N	N	N
24	hsa-miR-500-001046	29.861	29.861	N	N	N	N	N
25	hsa-miR-1238-002927	32.308	32.308	N	N	N	N	Y
26	hsa-miR-488-001106	Undetermined		N	Y	N	Y	Y
27	hsa-miR-517#-001113	Undetermined		N	Y	N	Y	Y
28	hsa-miR-516-3p-001149	33.280	33.280	Y	N	N	N	N
29	hsa-miR-518c#-001158	Undetermined		N	Y	N	Y	Y
30	hsa-miR-519e#-001166	Undetermined		N	Y	N	Y	Y
31	hsa-miR-520h-001170	Undetermined		N	N	N	Y	Y
32	hsa-miR-524-001173	Undetermined		N	N	N	Y	Y
33	mmu-let-7d#-001178	24.614	24.614	N	N	N	N	Y
34	hsa-miR-363#-001283	Undetermined		N	Y	N	Y	Y
35	U6 snRNA-001973	25.613	25.976	N	N	Y	N	N
36	U6 snRNA-001973	26.146	25.976	N	N	N	N	N
37	rno-miR-7#-001338	23.523	23.523	N	N	N	N	N
38	hsa-miR-656-001510	28.888	28.888	N	N	N	N	N
39	hsa-miR-549-001511	Undetermined		N	N	N	Y	Y
40	hsa-miR-657-001512	Undetermined		N	N	N	Y	Y
41	hsa-miR-658-001513	Undetermined		N	Y	N	Y	Y
42	hsa-miR-659-001514	Undetermined		N	N	N	Y	Y
43	hsa-miR-551a-001519	31.604	31.604	N	N	N	N	N
44	hsa-miR-552-001520	Undetermined		N	Y	N	Y	Y
45	hsa-miR-553-001521	Undetermined		N	Y	N	Y	Y
46	hsa-miR-554-001522	Undetermined		N	Y	N	Y	Y
47	hsa-miR-555-001523	Undetermined		N	N	N	Y	Y
48	hsa-miR-557-001525	Undetermined		N	Y	N	Y	Y
49	hsa-miR-558-001526	Undetermined		N	Y	N	Y	Y
50	hsa-miR-559-001527	Undetermined		N	N	N	Y	Y
51	hsa-miR-562-001529	Undetermined		N	Y	N	Y	Y
52	hsa-miR-563-001530	Undetermined		N	Y	N	Y	Y
53	hsa-miR-564-001531	Undetermined		N	N	N	Y	Y
54	hsa-miR-566-001533	30.122	30.122	N	N	N	N	Y
55	hsa-miR-567-001534	Undetermined		N	N	N	Y	Y
56	hsa-miR-569-001536	Undetermined		N	Y	N	Y	Y
57	hsa-miR-586-001539	Undetermined		N	N	N	Y	Y
58	hsa-miR-587-001540	34.895	34.895	N	N	N	N	Y
59	RNU44-001094	Undetermined		N	N	N	Y	Y
60	hsa-miR-588-001542	Undetermined		N	Y	N	Y	Y
61	hsa-miR-589-001543	28.996	28.996	N	N	N	N	N
62	hsa-miR-550-001544	31.493	31.493	N	N	N	N	Y
63	hsa-miR-591-001545	Undetermined		N	Y	N	Y	Y
64	hsa-miR-592-001546	32.506	32.506	N	N	N	N	N
65	hsa-miR-593-001547	Undetermined		N	Y	N	Y	Y
66	hsa-miR-596-001550	Undetermined		N	N	N	Y	Y
67	hsa-miR-622-001553	Undetermined		N	Y	N	Y	Y
68	hsa-miR-599-001554	Undetermined		N	Y	N	Y	Y
69	hsa-miR-623-001555	35.107	35.107	N	N	N	N	N
70	hsa-miR-600-001556	Undetermined		N	N	N	Y	Y
71	hsa-miR-624-001557	Undetermined		N	N	N	Y	Y
72	hsa-miR-601-001558	31.203	31.203	N	N	N	N	N
73	hsa-miR-626-001559	Undetermined		N	Y	N	Y	Y
74	hsa-miR-629-001562	27.733	27.733	N	N	N	N	N
75	hsa-miR-630-001563	34.955	34.955	N	N	N	N	Y
76	hsa-miR-631-001564	Undetermined		N	Y	N	Y	Y
77	hsa-miR-603-001566	35.255	35.255	N	N	N	N	N
78	hsa-miR-604-001567	Undetermined		N	Y	N	Y	Y
79	hsa-miR-605-001568	Undetermined		N	N	N	Y	Y
80	hsa-miR-606-001569	Undetermined		N	Y	N	Y	Y
81	hsa-miR-607-001570	Undetermined		N	N	N	Y	Y
82	hsa-miR-608-001571	Undetermined		N	Y	N	Y	Y
83	hsa-miR-609-001573	Undetermined		N	Y	N	Y	Y
84	hsa-miR-633-001574	Undetermined		N	N	N	Y	Y
85	hsa-miR-634-001576	Undetermined		N	N	N	Y	Y
86	hsa-miR-635-001578	Undetermined		N	N	N	Y	Y
87	hsa-miR-637-001581	Undetermined		N	Y	N	Y	Y
88	hsa-miR-638-001582	29.563	29.563	N	N	N	N	N
89	hsa-miR-639-001583	30.808	30.808	N	N	N	N	Y
90	hsa-miR-640-001584	Undetermined		N	Y	N	Y	Y
91	hsa-miR-641-001585	Undetermined		N	Y	N	Y	Y
92	hsa-miR-613-001586	Undetermined		N	Y	N	Y	Y
93	hsa-miR-614-001587	Undetermined		N	Y	N	Y	Y
94	hsa-miR-616-001589	35.249	35.249	N	N	N	N	N
95	hsa-miR-617-001591	32.410	32.410	N	N	N	N	N
96	hsa-miR-643-001594	Undetermined		N	N	N	Y	Y
97	hsa-miR-644-001596	Undetermined		N	Y	N	Y	Y
98	hsa-miR-645-001597	36.077	36.077	N	N	N	N	Y
99	hsa-miR-621-001598	Undetermined		N	Y	N	Y	Y
100	hsa-miR-646-001599	Undetermined		N	N	N	Y	Y
